date, value
18/05/2012,12369.38
21/05/2012,12504.48
22/05/2012,12502.81
23/05/2012,12496.15
24/05/2012,12529.75
25/05/2012,12454.83
29/05/2012,12580.69
30/05/2012,12419.86
31/05/2012,12393.45
01/06/2012,12118.57
04/06/2012,12101.46
05/06/2012,12127.95
06/06/2012,12414.79
07/06/2012,12460.96
08/06/2012,12554.2
11/06/2012,12411.23
12/06/2012,12573.8
13/06/2012,12496.38
14/06/2012,12651.91
15/06/2012,12767.17
18/06/2012,12741.82
19/06/2012,12837.33
20/06/2012,12824.39
21/06/2012,12573.57
22/06/2012,12640.78
25/06/2012,12502.66
26/06/2012,12534.67
27/06/2012,12627.01
28/06/2012,12602.26
29/06/2012,12880.09
02/07/2012,12871.39
03/07/2012,12943.66
05/07/2012,12896.67
06/07/2012,12772.47
09/07/2012,12736.29
10/07/2012,12653.12
11/07/2012,12604.53
12/07/2012,12573.27
13/07/2012,12777.09
16/07/2012,12727.21
17/07/2012,12805.54
18/07/2012,12908.7
19/07/2012,12943.36
20/07/2012,12822.57
23/07/2012,12721.46
24/07/2012,12617.32
25/07/2012,12676.05
26/07/2012,12887.93
27/07/2012,13075.66
30/07/2012,13073.01
31/07/2012,13008.68
01/08/2012,12976.13
02/08/2012,12878.88
03/08/2012,13096.17
06/08/2012,13117.51
07/08/2012,13168.6
08/08/2012,13175.64
09/08/2012,13165.19
10/08/2012,13207.95
13/08/2012,13169.43
14/08/2012,13172.14
15/08/2012,13164.78
16/08/2012,13250.11
17/08/2012,13275.2
20/08/2012,13271.64
21/08/2012,13203.58
22/08/2012,13172.76
23/08/2012,13057.46
24/08/2012,13157.97
27/08/2012,13124.67
28/08/2012,13102.99
29/08/2012,13107.48
30/08/2012,13000.71
31/08/2012,13090.84
04/09/2012,13035.94
05/09/2012,13047.48
06/09/2012,13292
07/09/2012,13306.64
10/09/2012,13254.29
11/09/2012,13323.36
12/09/2012,13333.35
13/09/2012,13539.86
14/09/2012,13593.37
17/09/2012,13553.1
18/09/2012,13564.64
19/09/2012,13577.96
20/09/2012,13596.93
21/09/2012,13579.47
24/09/2012,13558.92
25/09/2012,13457.55
26/09/2012,13413.51
27/09/2012,13485.97
28/09/2012,13437.13
01/10/2012,13515.11
02/10/2012,13482.36
03/10/2012,13494.61
04/10/2012,13575.36
05/10/2012,13610.15
08/10/2012,13583.65
09/10/2012,13473.53
10/10/2012,13344.97
11/10/2012,13326.39
12/10/2012,13328.85
15/10/2012,13424.23
16/10/2012,13551.78
17/10/2012,13557
18/10/2012,13548.94
19/10/2012,13343.51
22/10/2012,13345.89
23/10/2012,13102.53
24/10/2012,13077.34
25/10/2012,13103.68
26/10/2012,13107.21
29/10/2012,13107.21
30/10/2012,13107.21
31/10/2012,13096.46
01/11/2012,13232.62
02/11/2012,13093.16
05/11/2012,13112.44
06/11/2012,13245.68
07/11/2012,12932.73
08/11/2012,12811.32
09/11/2012,12815.39
12/11/2012,12815.08
13/11/2012,12756.18
14/11/2012,12570.95
15/11/2012,12542.38
16/11/2012,12588.31
19/11/2012,12795.96
20/11/2012,12788.51
21/11/2012,12836.89
23/11/2012,13009.53
26/11/2012,12967.37
27/11/2012,12878.13
28/11/2012,12985.11
29/11/2012,13021.82
30/11/2012,13025.58
03/12/2012,12965.6
04/12/2012,12951.78
05/12/2012,13034.49
06/12/2012,13074.04
07/12/2012,13155.13
10/12/2012,13169.88
11/12/2012,13248.44
12/12/2012,13245.45
13/12/2012,13170.72
14/12/2012,13135.01
17/12/2012,13235.39
18/12/2012,13350.96
19/12/2012,13251.97
20/12/2012,13311.72
21/12/2012,13190.84
24/12/2012,13138.93
26/12/2012,13114.59
27/12/2012,13096.31
28/12/2012,12938.11
31/12/2012,13104.14
02/01/2013,13412.55
03/01/2013,13391.36
04/01/2013,13435.21
07/01/2013,13384.29
08/01/2013,13328.85
09/01/2013,13390.51
10/01/2013,13471.22
11/01/2013,13488.43
14/01/2013,13507.32
15/01/2013,13534.89
16/01/2013,13511.23
17/01/2013,13596.02
18/01/2013,13649.7
22/01/2013,13712.21
23/01/2013,13779.33
24/01/2013,13825.33
25/01/2013,13895.98
28/01/2013,13881.93
29/01/2013,13954.42
30/01/2013,13910.42
31/01/2013,13860.58
01/02/2013,14009.79
04/02/2013,13880.08
05/02/2013,13979.3
06/02/2013,13986.52
07/02/2013,13944.05
08/02/2013,13992.97
11/02/2013,13971.24
12/02/2013,14018.7
13/02/2013,13982.91
14/02/2013,13973.39
15/02/2013,13981.76
19/02/2013,14035.67
20/02/2013,13927.54
21/02/2013,13880.62
22/02/2013,14000.57
25/02/2013,13784.17
26/02/2013,13900.13
27/02/2013,14075.37
28/02/2013,14054.49
01/03/2013,14089.66
04/03/2013,14127.82
05/03/2013,14253.77
06/03/2013,14296.24
07/03/2013,14329.49
08/03/2013,14397.07
11/03/2013,14447.29
12/03/2013,14450.06
13/03/2013,14455.28
14/03/2013,14539.14
15/03/2013,14514.11
18/03/2013,14452.06
19/03/2013,14455.82
20/03/2013,14511.73
21/03/2013,14421.49
22/03/2013,14512.03
25/03/2013,14447.75
26/03/2013,14559.65
27/03/2013,14526.16
28/03/2013,14578.54
01/04/2013,14572.85
02/04/2013,14662.01
03/04/2013,14550.35
04/04/2013,14606.11
05/04/2013,14565.25
08/04/2013,14613.48
09/04/2013,14673.46
10/04/2013,14802.24
11/04/2013,14865.14
12/04/2013,14865.06
15/04/2013,14599.2
16/04/2013,14756.78
17/04/2013,14618.59
18/04/2013,14537.14
19/04/2013,14547.51
22/04/2013,14567.17
23/04/2013,14719.46
24/04/2013,14676.3
25/04/2013,14700.8
26/04/2013,14712.55
29/04/2013,14818.75
30/04/2013,14839.8
01/05/2013,14700.95
02/05/2013,14831.58
03/05/2013,14973.96
06/05/2013,14968.89
07/05/2013,15056.2
08/05/2013,15105.12
09/05/2013,15082.62
10/05/2013,15118.49
13/05/2013,15091.68
14/05/2013,15215.25
15/05/2013,15275.69
16/05/2013,15233.22
17/05/2013,15354.4
20/05/2013,15335.28
21/05/2013,15387.58
22/05/2013,15307.17
23/05/2013,15294.5
24/05/2013,15303.1
28/05/2013,15409.39
29/05/2013,15302.8
30/05/2013,15324.53
31/05/2013,15115.57
03/06/2013,15254.03
04/06/2013,15177.54
05/06/2013,14960.59
06/06/2013,15040.62
07/06/2013,15248.12
10/06/2013,15238.59
11/06/2013,15122.02
12/06/2013,14995.23
13/06/2013,15176.08
14/06/2013,15070.18
17/06/2013,15179.85
18/06/2013,15318.23
19/06/2013,15112.19
20/06/2013,14758.32
21/06/2013,14799.4
24/06/2013,14659.56
25/06/2013,14760.31
26/06/2013,14910.14
27/06/2013,15024.49
28/06/2013,14909.6
01/07/2013,14974.96
02/07/2013,14932.41
03/07/2013,14988.37
05/07/2013,15135.84
08/07/2013,15224.69
09/07/2013,15300.34
10/07/2013,15291.66
11/07/2013,15460.92
12/07/2013,15464.3
15/07/2013,15484.26
16/07/2013,15451.85
17/07/2013,15470.52
18/07/2013,15548.54
19/07/2013,15543.74
22/07/2013,15545.55
23/07/2013,15567.74
24/07/2013,15542.24
25/07/2013,15555.61
26/07/2013,15558.83
29/07/2013,15521.97
30/07/2013,15520.59
31/07/2013,15499.54
01/08/2013,15628.02
02/08/2013,15658.36
05/08/2013,15612.13
06/08/2013,15518.74
07/08/2013,15470.67
08/08/2013,15498.32
09/08/2013,15425.51
12/08/2013,15419.68
13/08/2013,15451.01
14/08/2013,15337.66
15/08/2013,15112.19
16/08/2013,15081.47
19/08/2013,15010.74
20/08/2013,15002.99
21/08/2013,14897.55
22/08/2013,14963.74
23/08/2013,15010.51
26/08/2013,14946.46
27/08/2013,14776.13
28/08/2013,14824.51
29/08/2013,14840.95
30/08/2013,14810.31
03/09/2013,14833.96
04/09/2013,14930.87
05/09/2013,14937.48
06/09/2013,14922.5
09/09/2013,15063.12
10/09/2013,15191.06
11/09/2013,15326.6
12/09/2013,15300.64
13/09/2013,15376.06
16/09/2013,15494.78
17/09/2013,15529.73
18/09/2013,15676.94
19/09/2013,15636.55
20/09/2013,15451.09
23/09/2013,15401.38
24/09/2013,15334.59
25/09/2013,15273.26
26/09/2013,15328.3
27/09/2013,15258.24
30/09/2013,15129.67
01/10/2013,15191.7
02/10/2013,15133.14
03/10/2013,14996.48
04/10/2013,15072.58
07/10/2013,14936.24
08/10/2013,14776.53
09/10/2013,14802.98
10/10/2013,15126.07
11/10/2013,15237.11
14/10/2013,15301.26
15/10/2013,15168.01
16/10/2013,15373.83
17/10/2013,15371.65
18/10/2013,15399.65
21/10/2013,15392.2
22/10/2013,15467.66
23/10/2013,15413.33
24/10/2013,15509.21
25/10/2013,15570.28
28/10/2013,15568.93
29/10/2013,15680.35
30/10/2013,15618.76
31/10/2013,15545.75
01/11/2013,15615.55
04/11/2013,15639.12
05/11/2013,15618.22
06/11/2013,15746.88
07/11/2013,15593.98
08/11/2013,15761.78
11/11/2013,15783.1
12/11/2013,15750.67
13/11/2013,15821.63
14/11/2013,15876.22
15/11/2013,15961.7
18/11/2013,15976.02
19/11/2013,15967.03
20/11/2013,15900.82
21/11/2013,16009.99
22/11/2013,16064.77
25/11/2013,16072.54
26/11/2013,16072.8
27/11/2013,16097.33
29/11/2013,16086.41
02/12/2013,16008.77
03/12/2013,15914.62
04/12/2013,15889.77
05/12/2013,15821.51
06/12/2013,16020.2
09/12/2013,16025.53
10/12/2013,15973.13
11/12/2013,15843.53
12/12/2013,15739.43
13/12/2013,15755.36
16/12/2013,15884.57
17/12/2013,15875.26
18/12/2013,16167.97
19/12/2013,16179.08
20/12/2013,16221.14
23/12/2013,16294.61
24/12/2013,16357.55
26/12/2013,16479.88
27/12/2013,16478.41
30/12/2013,16504.29
31/12/2013,16576.66
02/01/2014,16441.35
03/01/2014,16469.99
06/01/2014,16425.1
07/01/2014,16530.94
08/01/2014,16462.74
09/01/2014,16444.76
10/01/2014,16437.05
13/01/2014,16257.94
14/01/2014,16373.86
15/01/2014,16481.94
16/01/2014,16417.01
17/01/2014,16458.56
21/01/2014,16414.44
22/01/2014,16373.34
23/01/2014,16197.35
24/01/2014,15879.11
27/01/2014,15837.88
28/01/2014,15928.56
29/01/2014,15738.79
30/01/2014,15848.61
31/01/2014,15698.85
03/02/2014,15372.8
04/02/2014,15445.24
05/02/2014,15440.23
06/02/2014,15628.53
07/02/2014,15794.08
10/02/2014,15801.79
11/02/2014,15994.77
12/02/2014,15963.94
13/02/2014,16027.59
14/02/2014,16154.39
18/02/2014,16130.4
19/02/2014,16040.56
20/02/2014,16133.23
21/02/2014,16103.3
24/02/2014,16207.14
25/02/2014,16179.66
26/02/2014,16198.41
27/02/2014,16272.65
28/02/2014,16321.71
03/03/2014,16168.03
04/03/2014,16395.88
05/03/2014,16360.18
06/03/2014,16421.89
07/03/2014,16452.72
10/03/2014,16418.68
11/03/2014,16351.25
12/03/2014,16340.08
13/03/2014,16108.89
14/03/2014,16065.67
17/03/2014,16247.22
18/03/2014,16336.19
19/03/2014,16222.17
20/03/2014,16331.05
21/03/2014,16302.77
24/03/2014,16276.69
25/03/2014,16367.88
26/03/2014,16268.99
27/03/2014,16264.23
28/03/2014,16323.06
31/03/2014,16457.66
01/04/2014,16532.61
02/04/2014,16573
03/04/2014,16572.55
04/04/2014,16412.71
07/04/2014,16245.87
08/04/2014,16256.14
09/04/2014,16437.18
10/04/2014,16170.22
11/04/2014,16026.75
14/04/2014,16173.24
