TIMESTAMP,SUIJAK_OPEN_PRICE_USD,SUIJAK_HIGH_PRICE_USD,SUIJAK_LOW_PRICE_USD,SUIJAK_CLOSE_PRICE_USD,SUIJAK_VOLUME_USD,SUIJAK_DIVIDENDS_USD,SUIJAK_STOCK_SPLITS_USD
2024-10-09 00:00:00+00:00,0.00013800000306218863,0.00020900000527035445,9.699999645818025e-05,0.00012599999899975955,597782,0.0,0.0
2024-10-10 00:00:00+00:00,0.00012599999899975955,0.00016799999866634607,9.200000204145908e-05,0.00014600000577047467,460014,0.0,0.0
2024-10-11 00:00:00+00:00,0.00014699999883305281,0.00017299999308306724,0.00011300000187475234,0.00015300000086426735,189684,0.0,0.0
2024-10-12 00:00:00+00:00,0.00015300000086426735,0.0003009999927598983,0.0001429999974789098,0.0002610000083222985,294306,0.0,0.0
2024-10-13 00:00:00+00:00,0.00026699999580159783,0.00028899998869746923,0.00015700000221841037,0.00024900000425986946,320592,0.0,0.0
2024-10-14 00:00:00+00:00,0.00024900000425986946,0.00024900000425986946,9.999999747378752e-05,0.00015500000154133886,352392,0.0,0.0
2024-10-15 00:00:00+00:00,0.00015500000154133886,0.0001740000006975606,8.199999865610152e-05,0.0001140000022132881,301777,0.0,0.0
2024-10-16 00:00:00+00:00,0.0001140000022132881,0.00014600000577047467,7.899999764049426e-05,0.00013600000238511711,257699,0.0,0.0
2024-10-17 00:00:00+00:00,0.00013600000238511711,0.00014099999680183828,9.200000204145908e-05,9.699999645818025e-05,94730,0.0,0.0
2024-10-18 00:00:00+00:00,9.699999645818025e-05,0.00011000000085914508,7.699999696342275e-05,9.7999996796716e-05,86853,0.0,0.0
2024-10-19 00:00:00+00:00,9.7999996796716e-05,9.7999996796716e-05,5.900000178371556e-05,6.800000119255856e-05,116041,0.0,0.0
2024-10-20 00:00:00+00:00,6.800000119255856e-05,9.500000305706635e-05,5.199999941396527e-05,8.099999831756577e-05,114449,0.0,0.0
2024-10-21 00:00:00+00:00,8.099999831756577e-05,9.500000305706635e-05,5.0999999075429514e-05,6.299999949987978e-05,88731,0.0,0.0
2024-10-22 00:00:00+00:00,6.299999949987978e-05,7.200000254670158e-05,5.400000009103678e-05,5.900000178371556e-05,75127,0.0,0.0
2024-10-23 00:00:00+00:00,5.900000178371556e-05,6.900000153109431e-05,5.6000000768108293e-05,6.299999949987978e-05,32413,0.0,0.0
2024-10-24 00:00:00+00:00,6.299999949987978e-05,6.500000017695129e-05,4.400000034365803e-05,4.5000000682193786e-05,33199,0.0,0.0
2024-10-25 00:00:00+00:00,4.5000000682193786e-05,5.6000000768108293e-05,3.9999998989515007e-05,4.8000001697801054e-05,44499,0.0,0.0
2024-10-26 00:00:00+00:00,4.8000001697801054e-05,4.8000001697801054e-05,3.400000059627928e-05,3.600000127335079e-05,20918,0.0,0.0
2024-10-27 00:00:00+00:00,3.600000127335079e-05,4.3000000005122274e-05,2.700000004551839e-05,2.9000000722589903e-05,25143,0.0,0.0
2024-10-28 00:00:00+00:00,2.9000000722589903e-05,4.70000013592653e-05,2.300000051036477e-05,4.3000000005122274e-05,35922,0.0,0.0
2024-10-29 00:00:00+00:00,4.3000000005122274e-05,5.0999999075429514e-05,3.199999991920777e-05,4.70000013592653e-05,52802,0.0,0.0
2024-10-30 00:00:00+00:00,4.70000013592653e-05,5.999999848427251e-05,4.199999966658652e-05,4.999999873689376e-05,35925,0.0,0.0
2024-10-31 00:00:00+00:00,4.999999873689376e-05,5.0999999075429514e-05,3.600000127335079e-05,3.7999998312443495e-05,17897,0.0,0.0
2024-11-01 00:00:00+00:00,3.7999998312443495e-05,3.7999998312443495e-05,2.9000000722589903e-05,3.099999958067201e-05,33421,0.0,0.0
2024-11-02 00:00:00+00:00,3.099999958067201e-05,3.099999958067201e-05,2.5999999706982635e-05,2.5999999706982635e-05,11451,0.0,0.0
2024-11-03 00:00:00+00:00,2.5999999706982635e-05,2.9000000722589903e-05,2.499999936844688e-05,2.9000000722589903e-05,4459,0.0,0.0
2024-11-04 00:00:00+00:00,2.9000000722589903e-05,4.600000102072954e-05,2.499999936844688e-05,2.9000000722589903e-05,34686,0.0,0.0
2024-11-05 00:00:00+00:00,2.9000000722589903e-05,2.9999999242136255e-05,2.4000000848900527e-05,2.8000000384054147e-05,27499,0.0,0.0
2024-11-06 00:00:00+00:00,2.8000000384054147e-05,4.099999932805076e-05,2.4000000848900527e-05,2.700000004551839e-05,49776,0.0,0.0
2024-11-07 00:00:00+00:00,2.700000004551839e-05,3.099999958067201e-05,2.4000000848900527e-05,2.5999999706982635e-05,28718,0.0,0.0
2024-11-08 00:00:00+00:00,2.5999999706982635e-05,3.7000001611886546e-05,2.4000000848900527e-05,2.9999999242136255e-05,38951,0.0,0.0
2024-11-09 00:00:00+00:00,2.9999999242136255e-05,4.999999873689376e-05,2.5999999706982635e-05,4.8999998398358e-05,54018,0.0,0.0
2024-11-10 00:00:00+00:00,4.8999998398358e-05,5.199999941396527e-05,3.300000025774352e-05,3.7000001611886546e-05,78929,0.0,0.0
2024-11-11 00:00:00+00:00,3.7000001611886546e-05,4.400000034365803e-05,2.4000000848900527e-05,2.5999999706982635e-05,86057,0.0,0.0
