,Time,BTC_Google_Trends_Full_Name,ETH_Google_Trends_Full_Name,DOGE_Google_Trends_Full_Name,LTC_Google_Trends_Full_Name,XMR_Google_Trends_Full_Name
0,2010-01-01,,,,,
1,2010-01-02,,,,,
2,2010-01-03,,,,,
3,2010-01-04,,,,,
4,2010-01-05,,,,,
5,2010-01-06,,,,,
6,2010-01-07,,,,,
7,2010-01-08,,,,,
8,2010-01-09,,,,,
9,2010-01-10,,,,,
10,2010-01-11,,,,,
11,2010-01-12,,,,,
12,2010-01-13,,,,,
13,2010-01-14,,,,,
14,2010-01-15,,,,,
15,2010-01-16,,,,,
16,2010-01-17,,,,,
17,2010-01-18,,,,,
18,2010-01-19,,,,,
19,2010-01-20,0.000534,,,,
20,2010-01-21,,,,,
21,2010-01-22,,,,,
22,2010-01-23,,,,,
23,2010-01-24,,,,,
24,2010-01-25,,,,,
25,2010-01-26,,,,,
26,2010-01-27,0.000529,,,,
27,2010-01-28,0.000534,,,,
28,2010-01-29,,,,,
29,2010-01-30,,,,,
30,2010-01-31,0.000688,,,,
31,2010-02-01,,,,,
32,2010-02-02,,,,,
33,2010-02-03,,,,,
34,2010-02-04,,,,,
35,2010-02-05,,,,,
36,2010-02-06,,,,,
37,2010-02-07,,,,,
38,2010-02-08,0.000991,,,,
39,2010-02-09,,,,,
40,2010-02-10,,,,,
41,2010-02-11,,,,,
42,2010-02-12,,,,,
43,2010-02-13,,,,,
44,2010-02-14,,,,,
45,2010-02-15,,,,,
46,2010-02-16,,,,,
47,2010-02-17,0.00107,,,,
48,2010-02-18,0.00107,,,,
49,2010-02-19,0.00107,,,,
50,2010-02-20,,,,,
51,2010-02-21,,,,,
52,2010-02-22,,,,,
53,2010-02-23,,,,,
54,2010-02-24,,,,,
55,2010-02-25,0.00107,,,,
56,2010-02-26,,,,,
57,2010-02-27,,,,,
58,2010-02-28,,,,,
59,2010-03-01,,,,,
60,2010-03-02,,,,,
61,2010-03-03,,,,,
62,2010-03-04,,,,,
63,2010-03-05,0.00107,,,,
64,2010-03-06,,,,,
65,2010-03-07,,,,,
66,2010-03-08,,,,,
67,2010-03-09,,,,,
68,2010-03-10,,,,,
69,2010-03-11,0.000991,,,,
70,2010-03-12,,,,,
71,2010-03-13,,,,,
72,2010-03-14,,,,,
73,2010-03-15,,,,,
74,2010-03-16,,,,,
75,2010-03-17,,,,,
76,2010-03-18,,,,,
77,2010-03-19,,,,,
78,2010-03-20,,,,,
79,2010-03-21,,,,,
80,2010-03-22,,,,,
81,2010-03-23,,,,,
82,2010-03-24,,,,,
83,2010-03-25,0.00107,,,,
84,2010-03-26,,,,,
85,2010-03-27,,,,,
86,2010-03-28,,,,,
87,2010-03-29,,,,,
88,2010-03-30,0.00107,,,,
89,2010-03-31,,,,,
90,2010-04-01,,,,,
91,2010-04-02,,,,,
92,2010-04-03,,,,,
93,2010-04-04,,,,,
94,2010-04-05,,,,,
95,2010-04-06,0.00793,,,,
96,2010-04-07,,,,,
97,2010-04-08,,,,,
98,2010-04-09,,,,,
99,2010-04-10,,,,,
100,2010-04-11,,,,,
101,2010-04-12,0.00743,,,,
102,2010-04-13,,,,,
103,2010-04-14,,,,,
104,2010-04-15,,,,,
105,2010-04-16,,,,,
106,2010-04-17,,,,,
107,2010-04-18,,,,,
108,2010-04-19,,,,,
109,2010-04-20,,,,,
110,2010-04-21,0.00793,,,,
111,2010-04-22,,,,,
112,2010-04-23,0.00743,,,,
113,2010-04-24,,,,,
114,2010-04-25,0.000648,,,,
115,2010-04-26,,,,,
116,2010-04-27,0.000495,,,,
117,2010-04-28,,,,,
118,2010-04-29,,,,,
119,2010-04-30,,,,,
120,2010-05-01,,,,,
121,2010-05-02,,,,,
122,2010-05-03,,,,,
123,2010-05-04,,,,,
124,2010-05-05,,,,,
125,2010-05-06,0.0149,,,,
126,2010-05-07,,,,,
127,2010-05-08,,,,,
128,2010-05-09,0.0191,,,,
129,2010-05-10,,,,,
130,2010-05-11,,,,,
131,2010-05-12,,,,,
132,2010-05-13,0.0149,,,,
133,2010-05-14,,,,,
134,2010-05-15,,,,,
135,2010-05-16,,,,,
136,2010-05-17,,,,,
137,2010-05-18,,,,,
138,2010-05-19,,,,,
139,2010-05-20,,,,,
140,2010-05-21,,,,,
141,2010-05-22,0.0212,,,,
142,2010-05-23,,,,,
143,2010-05-24,0.0149,,,,
144,2010-05-25,0.0297,,,,
145,2010-05-26,,,,,
146,2010-05-27,,,,,
147,2010-05-28,,,,,
148,2010-05-29,0.0212,,,,
149,2010-05-30,,,,,
150,2010-05-31,,,,,
151,2010-06-01,,,,,
152,2010-06-02,,,,,
153,2010-06-03,,,,,
154,2010-06-04,,,,,
155,2010-06-05,,,,,
156,2010-06-06,,,,,
157,2010-06-07,,,,,
158,2010-06-08,,,,,
159,2010-06-09,0.0149,,,,
160,2010-06-10,,,,,
161,2010-06-11,,,,,
162,2010-06-12,,,,,
163,2010-06-13,,,,,
164,2010-06-14,,,,,
165,2010-06-15,,,,,
166,2010-06-16,,,,,
167,2010-06-17,,,,,
168,2010-06-18,,,,,
169,2010-06-19,,,,,
170,2010-06-20,,,,,
171,2010-06-21,,,,,
172,2010-06-22,,,,,
173,2010-06-23,,,,,
174,2010-06-24,,,,,
175,2010-06-25,,,,,
176,2010-06-26,,,,,
177,2010-06-27,,,,,
178,2010-06-28,,,,,
179,2010-06-29,,,,,
180,2010-06-30,,,,,
181,2010-07-01,0.00743,,,,
182,2010-07-02,,,,,
183,2010-07-03,,,,,
184,2010-07-04,0.00956,,,,
185,2010-07-05,,,,,
186,2010-07-06,0.0139,,,,
187,2010-07-07,0.00743,,,,
188,2010-07-08,,,,,
189,2010-07-09,0.00743,,,,
190,2010-07-10,,,,,
191,2010-07-11,0.122,,,,
192,2010-07-12,0.28,,,,
193,2010-07-13,0.157,,,,
194,2010-07-14,0.0677,,,,
195,2010-07-15,0.152,,,,
196,2010-07-16,0.0288,,,,
197,2010-07-17,0.0287,,,,
198,2010-07-18,0.0365,,,,
199,2010-07-19,0.0213,,,,
200,2010-07-20,0.0612,,,,
201,2010-07-21,0.0538,,,,
202,2010-07-22,0.0288,,,,
203,2010-07-23,0.0731,,,,
204,2010-07-24,0.0826,,,,
205,2010-07-25,0.027,,,,
