1733011200000,102.75000000,122.25000000,99.35000000,119.55000000,1983464.76000000,1733097599999,217809899.61107000,563958,1036726.71900000,113961463.85193000,0
1733097600000,119.57000000,139.74000000,114.63000000,132.93000000,4487620.24200000,1733183999999,563110364.88125000,1332219,2259946.34100000,283752445.86587000,0
1733184000000,132.93000000,135.16000000,121.42000000,130.89000000,2454253.32800000,1733270399999,318115882.35362000,636369,1205459.67500000,156345371.29802000,0
1733270400000,130.90000000,135.70000000,121.90000000,133.69000000,1760741.79800000,1733356799999,227827906.20731000,550863,855163.21300000,110839608.23304000,0
1733356800000,133.69000000,147.06000000,124.94000000,135.78000000,2689717.08500000,1733443199999,366673776.70745000,833904,1325021.18600000,180713368.25017000,0
1733443200000,135.79000000,139.28000000,130.08000000,135.93000000,1164106.04400000,1733529599999,156993760.98056000,364222,583918.54000000,78794858.77513000,0
1733529600000,135.94000000,138.67000000,131.76000000,133.79000000,799724.32500000,1733615999999,108495440.69736000,254939,383555.44500000,52070226.61478000,0
1733616000000,133.79000000,135.90000000,130.08000000,134.91000000,633885.20700000,1733702399999,84377830.60894000,207274,308189.47200000,41047133.12944000,0
1733702400000,134.91000000,135.07000000,100.56000000,110.44000000,2110765.15400000,1733788799999,246658432.68700000,625726,1030621.50800000,120084755.52200000,0
1733788800000,110.43000000,114.84000000,101.23000000,109.80000000,2582881.68100000,1733875199999,281842927.16314000,539964,1292302.68500000,140996271.32338000,0
1733875200000,109.79000000,118.68000000,106.01000000,117.30000000,1267462.87700000,1733961599999,143592735.31412000,292094,675869.12500000,76557539.45565000,0
1733961600000,117.30000000,125.01000000,116.46000000,119.24000000,1493639.18600000,1734047999999,180736941.74976000,344538,738166.35600000,89342940.65067000,0
1734048000000,119.23000000,125.30000000,117.04000000,124.52000000,1060225.12300000,1734134399999,127818712.45639000,271433,540807.31300000,65247933.21699000,0
1734134400000,124.52000000,125.34000000,115.42000000,118.21000000,716518.27300000,1734220799999,86276297.49696000,194714,338124.43000000,40758708.45655000,0
1734220800000,118.23000000,122.18000000,114.26000000,121.11000000,657673.17900000,1734307199999,77805504.61429000,177440,331438.89700000,39240867.78924000,0
1734307200000,121.13000000,124.03000000,115.38000000,117.99000000,1018209.99700000,1734393599999,122253585.64465000,242418,505589.83200000,60672445.90609000,0
1734393600000,118.00000000,131.48000000,114.37000000,125.63000000,1814655.99400000,1734479999999,223243280.53294000,429511,916767.71900000,112718933.73955000,0
1734480000000,125.60000000,129.11000000,107.10000000,108.35000000,2148185.76500000,1734566399999,252391930.21178000,495609,1076932.88300000,126491116.26880000,0
1734566400000,108.32000000,111.76000000,94.69000000,99.36000000,2305051.95800000,1734652799999,239379553.95238000,467961,1180729.07000000,122679792.47544000,0
1734652800000,99.36000000,103.30000000,86.69000000,101.38000000,1911581.46500000,1734739199999,182182487.54896000,401681,949381.85200000,90443810.28971000,0
1734739200000,101.37000000,106.04000000,97.74000000,101.56000000,1025955.73300000,1734825599999,104487844.85250000,231719,517236.71000000,52710991.14596000,0
1734825600000,101.57000000,103.93000000,96.62000000,99.78000000,802186.04200000,1734911999999,80455293.42838000,177374,393690.85100000,39480189.81535000,0
1734912000000,99.80000000,107.67000000,97.91000000,106.77000000,954998.50400000,1734998399999,98072230.11990000,214474,481395.57300000,49447095.33470000,0
1734998400000,106.76000000,110.83000000,103.96000000,108.35000000,682252.92400000,1735084799999,73427461.77897000,171246,345511.12000000,37186706.36498000,0
1735084800000,108.34000000,110.67000000,106.92000000,109.82000000,455229.84400000,1735171199999,49447534.68630000,120464,225243.08800000,24466187.29501000,0
1735171200000,109.82000000,110.35000000,101.08000000,102.23000000,579103.40300000,1735257599999,60508855.23889000,160146,290565.93500000,30354128.50076000,0
1735257600000,102.24000000,106.51000000,99.68000000,100.58000000,505959.60600000,1735343999999,52079942.08704000,152482,256093.19400000,26368746.36329000,0
1735344000000,100.58000000,101.80000000,98.67000000,100.74000000,308821.06000000,1735430399999,30945679.37133000,98068,154519.81600000,15488213.31682000,0
1735430400000,100.75000000,101.66000000,96.83000000,98.51000000,382496.60600000,1735516799999,38146441.60263000,101505,180258.97600000,17977142.89671000,0
1735516800000,98.51000000,103.05000000,97.36000000,99.40000000,632333.70300000,1735603199999,63504322.01426000,160422,307472.15400000,30875377.59560000,0
1735603200000,99.40000000,104.79000000,97.75000000,103.28000000,534270.83600000,1735689599999,54593805.40865000,132905,270074.79100000,27614964.13646000,0
