,ETH,Lag
RLC,3.999385157112234e-20,1
SC,1.4893375871679589e-07,28
DOGE,9.541361515164905e-07,30
DGB,2.4088823122673182e-06,27
ETC,2.581876519769053e-06,20
QTUM,5.290973520062716e-06,30
BTC,7.817507500385391e-06,2
GNO,0.0001121758975118,6
ZEN,0.0001808009612574,30
KMD,0.0002306148428908,26
FIRO,0.0008675359330367,13
MIOTA,0.0011198247982152,26
LUNC,0.0012489802207634,20
LTC,0.0014164304325939,30
LSK,0.0030219731743029,29
ZEC,0.0040300631753242,4
BAT,0.0041757763573751,30
XRP,0.004936242208704,1
XMR,0.0054555172047569,29
DASH,0.0092516238283667,4
XLM,0.0098184118821188,1
XEM,0.0243829427972496,1
DCR,0.0584669097241342,3
ANT,0.0637405056977086,29
WAVES,0.0869527691238447,29
STEEM,0.1200267150724329,29
BTS,0.1306668145747221,2
PIVX,0.1583254999836612,23
GAS,0.173951890776294,9
ARK,0.1814136701779147,3
SYS,0.2604182681335996,28
