,ETH
RLC,1.5818835262919367e-13
ETC,0.002606095871197224
QTUM,0.004116807635833694
SC,0.015191412987542698
DGB,0.030161110602927373
LUNC,0.03774765615682795
BTC,0.037945534090210245
FIRO,0.04001104407334465
XMR,0.04553310904390328
KMD,0.04674073067651882
GNO,0.054104876747920236
ZEC,0.055782927105502075
XLM,0.07633375178475311
MIOTA,0.08033849347485525
DOGE,0.08698902881386084
DASH,0.08807767454716382
LSK,0.09790174385368396
LTC,0.11172794072252423
XRP,0.12257283836546501
DCR,0.2652421762433322
XEM,0.31569301916889636
BAT,0.3252622270886673
BTS,0.350484269511042
WAVES,0.36793255811477776
ANT,0.39325415011448517
ZEN,0.4288123948699802
GAS,0.4674266533058909
PIVX,0.4764206747286001
SYS,0.47950003288255005
STEEM,0.6771225218360303
ARK,0.6927216183222072
