TIMESTAMP,DUOLINGOAI_OPEN_PRICE_USD,DUOLINGOAI_HIGH_PRICE_USD,DUOLINGOAI_LOW_PRICE_USD,DUOLINGOAI_CLOSE_PRICE_USD,DUOLINGOAI_VOLUME_USD,DUOLINGOAI_DIVIDENDS_USD,DUOLINGOAI_STOCK_SPLITS_USD
2025-04-11 00:00:00+00:00,,,,0.0,139153,0.0,0.0
2025-04-12 00:00:00+00:00,,,,0.0,22061,0.0,0.0
2025-04-13 00:00:00+00:00,,,,0.0,7374,0.0,0.0
2025-04-14 00:00:00+00:00,,,,0.0,9273,0.0,0.0
2025-04-15 00:00:00+00:00,,,,0.0,6472,0.0,0.0
2025-04-17 00:00:00+00:00,,,,0.0,524,0.0,0.0
2025-04-18 00:00:00+00:00,,,,0.0,693,0.0,0.0
2025-04-20 00:00:00+00:00,,,,0.0,332,0.0,0.0
2025-04-23 00:00:00+00:00,,,,0.0,584,0.0,0.0
2025-04-26 00:00:00+00:00,,,,0.0,5,0.0,0.0
2025-05-05 00:00:00+00:00,,,,0.0,39,0.0,0.0
2025-05-11 00:00:00+00:00,,,,0.0,76,0.0,0.0
2025-05-14 00:00:00+00:00,,,,0.0,69,0.0,0.0
2025-05-26 00:00:00+00:00,,,,0.0,18,0.0,0.0
2025-06-01 00:00:00+00:00,8.737600215840552e-14,8.766099825197049e-14,8.487800035299892e-14,8.766057134736507e-14,8,0.0,0.0
