TIMESTAMP,BEBE29330_OPEN_PRICE_USD,BEBE29330_HIGH_PRICE_USD,BEBE29330_LOW_PRICE_USD,BEBE29330_CLOSE_PRICE_USD,BEBE29330_VOLUME_USD,BEBE29330_DIVIDENDS_USD,BEBE29330_STOCK_SPLITS_USD
2024-02-07 00:00:00+00:00,,,,0.0,444119,0.0,0.0
2024-02-08 00:00:00+00:00,,,,0.0,721320,0.0,0.0
2024-02-09 00:00:00+00:00,,,,0.0,260650,0.0,0.0
2024-02-10 00:00:00+00:00,,,,0.0,390546,0.0,0.0
2024-02-11 00:00:00+00:00,,,,0.0,208510,0.0,0.0
2024-02-12 00:00:00+00:00,,,,0.0,173463,0.0,0.0
2024-02-13 00:00:00+00:00,,,,0.0,102474,0.0,0.0
2024-02-14 00:00:00+00:00,,,,0.0,146125,0.0,0.0
2024-02-15 00:00:00+00:00,,,,0.0,114758,0.0,0.0
2024-02-16 00:00:00+00:00,,,,0.0,122477,0.0,0.0
2024-02-17 00:00:00+00:00,,,,0.0,80283,0.0,0.0
2024-02-18 00:00:00+00:00,,,,0.0,72190,0.0,0.0
2024-02-19 00:00:00+00:00,,,,0.0,120591,0.0,0.0
2024-02-20 00:00:00+00:00,,,,0.0,76847,0.0,0.0
2024-02-21 00:00:00+00:00,,,,0.0,59976,0.0,0.0
2024-02-22 00:00:00+00:00,,,,0.0,95493,0.0,0.0
2024-02-23 00:00:00+00:00,,,,0.0,158943,0.0,0.0
2024-02-24 00:00:00+00:00,,,,0.0,85779,0.0,0.0
2024-02-25 00:00:00+00:00,,,,0.0,131350,0.0,0.0
2024-02-26 00:00:00+00:00,,,,0.0,1000353,0.0,0.0
2024-02-27 00:00:00+00:00,,,,0.0,432758,0.0,0.0
2024-02-28 00:00:00+00:00,,,,0.0,407925,0.0,0.0
2024-02-29 00:00:00+00:00,,,,0.0,819267,0.0,0.0
2024-03-01 00:00:00+00:00,,,,0.0,997029,0.0,0.0
2024-03-02 00:00:00+00:00,,,,0.0,2173874,0.0,0.0
2024-03-03 00:00:00+00:00,,,,0.0,895472,0.0,0.0
2024-03-04 00:00:00+00:00,,,,0.0,625554,0.0,0.0
2024-03-05 00:00:00+00:00,,,,0.0,488453,0.0,0.0
