,XMR,Lag
PIVX,2.137011332614489e-33,30
DOGE,3.135356993606489e-06,26
STEEM,0.0003599092732243,21
ETC,0.0008031040312019,30
DGB,0.0015345355631155,30
QTUM,0.0018988349044563,30
RLC,0.0049332682903069,20
XRP,0.0058223182022313,30
ZEC,0.006557026933057,30
DASH,0.0100790475749652,30
ZEN,0.0130997137986301,30
LSK,0.0148372323258682,30
MIOTA,0.0176315493927928,30
XEM,0.0346633916245664,29
SYS,0.051950794257966,13
BTS,0.054398617704673,30
ARK,0.0576412953866088,29
ANT,0.0625826882256279,2
SC,0.0638637087648708,29
WAVES,0.063996555461028,30
GAS,0.0727775400813627,2
GNO,0.0775356331584227,25
DCR,0.0793306854666276,3
BTC,0.1219023411443845,29
ETH,0.1386495016319737,30
BAT,0.1649740985687545,29
KMD,0.2060850232952163,30
FIRO,0.2193016383718257,29
XLM,0.2494194592201999,6
LUNC,0.2942208522487117,18
LTC,0.3254788441867933,30
