TIMESTAMP,ODIN33132_OPEN_PRICE_USD,ODIN33132_HIGH_PRICE_USD,ODIN33132_LOW_PRICE_USD,ODIN33132_CLOSE_PRICE_USD,ODIN33132_VOLUME_USD,ODIN33132_DIVIDENDS_USD,ODIN33132_STOCK_SPLITS_USD
2024-09-25 00:00:00+00:00,3.600000127335079e-05,4.5000000682193786e-05,3.600000127335079e-05,3.899999865097925e-05,25390,0.0,0.0
2024-09-26 00:00:00+00:00,3.899999865097925e-05,4.3000000005122274e-05,3.400000059627928e-05,3.600000127335079e-05,18387,0.0,0.0
2024-09-27 00:00:00+00:00,3.600000127335079e-05,4.400000034365803e-05,3.5000000934815034e-05,4.099999932805076e-05,24513,0.0,0.0
2024-09-28 00:00:00+00:00,4.099999932805076e-05,4.5000000682193786e-05,3.7000001611886546e-05,3.899999865097925e-05,15231,0.0,0.0
2024-09-29 00:00:00+00:00,3.899999865097925e-05,3.9999998989515007e-05,3.5000000934815034e-05,3.9999998989515007e-05,16909,0.0,0.0
2024-09-30 00:00:00+00:00,3.9999998989515007e-05,3.9999998989515007e-05,3.099999958067201e-05,3.5000000934815034e-05,39715,0.0,0.0
2024-10-01 00:00:00+00:00,3.5000000934815034e-05,5.999999848427251e-05,3.199999991920777e-05,4.3000000005122274e-05,25531,0.0,0.0
2024-10-02 00:00:00+00:00,4.3000000005122274e-05,4.600000102072954e-05,2.9999999242136255e-05,4.099999932805076e-05,16994,0.0,0.0
2024-10-03 00:00:00+00:00,4.099999932805076e-05,4.3000000005122274e-05,3.300000025774352e-05,3.7999998312443495e-05,15567,0.0,0.0
2024-10-04 00:00:00+00:00,3.7999998312443495e-05,3.899999865097925e-05,3.099999958067201e-05,3.5000000934815034e-05,19978,0.0,0.0
2024-10-05 00:00:00+00:00,3.5000000934815034e-05,4.999999873689376e-05,3.199999991920777e-05,4.600000102072954e-05,46184,0.0,0.0
2024-10-06 00:00:00+00:00,4.600000102072954e-05,4.600000102072954e-05,3.300000025774352e-05,3.5000000934815034e-05,27298,0.0,0.0
2024-10-07 00:00:00+00:00,3.5000000934815034e-05,3.9999998989515007e-05,2.9999999242136255e-05,3.099999958067201e-05,43765,0.0,0.0
2024-10-08 00:00:00+00:00,3.099999958067201e-05,3.400000059627928e-05,2.9999999242136255e-05,3.300000025774352e-05,14770,0.0,0.0
2024-10-09 00:00:00+00:00,3.300000025774352e-05,3.5000000934815034e-05,2.9999999242136255e-05,3.199999991920777e-05,13517,0.0,0.0
2024-10-10 00:00:00+00:00,3.199999991920777e-05,3.5000000934815034e-05,2.9999999242136255e-05,3.199999991920777e-05,15060,0.0,0.0
2024-10-11 00:00:00+00:00,3.199999991920777e-05,3.400000059627928e-05,2.9999999242136255e-05,3.199999991920777e-05,10636,0.0,0.0
2024-10-12 00:00:00+00:00,3.199999991920777e-05,3.300000025774352e-05,2.9999999242136255e-05,3.099999958067201e-05,12329,0.0,0.0
2024-10-13 00:00:00+00:00,3.099999958067201e-05,3.099999958067201e-05,2.099999983329326e-05,3.099999958067201e-05,19107,0.0,0.0
2024-10-14 00:00:00+00:00,3.099999958067201e-05,3.7999998312443495e-05,2.700000004551839e-05,2.9999999242136255e-05,50724,0.0,0.0
2024-10-15 00:00:00+00:00,2.9999999242136255e-05,3.5000000934815034e-05,2.700000004551839e-05,3.099999958067201e-05,33517,0.0,0.0
2024-10-16 00:00:00+00:00,3.099999958067201e-05,3.099999958067201e-05,2.700000004551839e-05,2.9000000722589903e-05,12540,0.0,0.0
2024-10-17 00:00:00+00:00,2.9000000722589903e-05,3.099999958067201e-05,2.5999999706982635e-05,2.9000000722589903e-05,12686,0.0,0.0
2024-10-18 00:00:00+00:00,2.9000000722589903e-05,3.300000025774352e-05,2.8000000384054147e-05,3.300000025774352e-05,18218,0.0,0.0
2024-10-19 00:00:00+00:00,3.300000025774352e-05,3.899999865097925e-05,2.9999999242136255e-05,3.199999991920777e-05,31011,0.0,0.0
