TIMESTAMP,BITS_CLOSE_PRICE_USD,BITS_OPEN_PRICE_USD,BITS_HIGH_PRICE_USD,BITS_LOW_PRICE_USD
2018-03-02,0.054135,0.053649,0.054922,0.052915
2018-03-03,0.056146,0.054129,0.05656,0.054129
2018-03-04,0.056502,0.056146,0.056671,0.054314
2018-03-05,0.056404,0.056502,0.057427,0.056089
2018-03-06,0.052649,0.056404,0.056404,0.051958
2018-03-07,0.048518,0.052649,0.053509,0.046325
2018-03-08,0.045657,0.048518,0.049521,0.04441
2018-03-09,0.04527,0.045657,0.046251,0.041002
2018-03-10,0.042991,0.04527,0.046638,0.042774
2018-03-11,0.046695,0.042991,0.047688,0.041389
2018-03-12,0.044779,0.046695,0.048571,0.043222
2018-03-13,0.044852,0.044779,0.046518,0.043436
2018-03-14,0.040187,0.044852,0.045922,0.038903
2018-03-15,0.040528,0.040187,0.041264,0.037708
2018-03-16,0.040713,0.040528,0.042179,0.038808
2018-03-17,0.038643,0.040713,0.040951,0.038053
2018-03-18,0.040299,0.038643,0.040582,0.035958
2018-03-19,0.042226,0.040299,0.042711,0.039831
2018-03-20,0.043679,0.042226,0.04431,0.040825
2018-03-21,0.043699,0.043679,0.045005,0.04301
2018-03-22,0.0428,0.043699,0.044612,0.041631
2018-03-23,0.043711,0.0428,0.043714,0.040622
2018-03-24,0.041766,0.043711,0.044238,0.04172
2018-03-25,0.041466,0.041766,0.042507,0.041115
2018-03-26,0.039243,0.041466,0.041699,0.037909
2018-03-27,0.037596,0.039243,0.039636,0.03739
2018-03-28,0.038355,0.037596,0.039144,0.037335
2018-03-29,0.034255,0.038355,0.038455,0.033297
2018-03-30,0.033039,0.034255,0.035056,0.031774
2018-03-31,0.033449,0.033039,0.034881,0.03281
2018-04-01,0.032893,0.033449,0.033954,0.031081
2018-04-02,0.034064,0.032893,0.03437,0.032721
2018-04-03,0.035765,0.034064,0.036264,0.033907
2018-04-04,0.032779,0.035765,0.035823,0.032342
2018-04-05,0.032659,0.032779,0.033361,0.031743
2018-04-06,0.031947,0.032659,0.033057,0.031435
2018-04-07,0.033267,0.031947,0.034115,0.031877
2018-04-08,0.03388,0.033267,0.034326,0.033248
2018-04-09,0.032657,0.03388,0.034696,0.03194
2018-04-10,0.033037,0.032657,0.033278,0.032134
2018-04-11,0.03353,0.033037,0.033677,0.032821
2018-04-12,0.038215,0.03353,0.038945,0.032657
2018-04-13,0.038055,0.038215,0.039727,0.037471
2018-04-14,0.038665,0.038055,0.039516,0.037782
2018-04-15,0.040364,0.038665,0.040677,0.038655
2018-04-16,0.038911,0.040364,0.040595,0.038164
2018-04-17,0.03811,0.038911,0.039438,0.037805
2018-04-18,0.039445,0.03811,0.03972,0.038037
2018-04-19,0.039967,0.039445,0.040073,0.03917
2018-04-20,0.041338,0.039967,0.041615,0.039381
2018-04-21,0.04154,0.041338,0.042077,0.040165
2018-04-22,0.041007,0.04154,0.042062,0.040788
2018-04-23,0.041659,0.041007,0.041967,0.040881
2018-04-24,0.045076,0.041659,0.045379,0.041615
2018-04-25,0.04136,0.044972,0.045459,0.040935
2018-04-26,0.043321,0.04136,0.043373,0.040378
2018-04-27,0.041611,0.043317,0.043715,0.041492
2018-04-28,0.043523,0.041611,0.043962,0.041345
2018-04-29,0.043797,0.043523,0.044551,0.042799
2018-04-30,0.043041,0.043797,0.044037,0.042479
2018-05-01,0.042248,0.043041,0.043052,0.041177
2018-05-02,0.043037,0.042248,0.043196,0.041846
2018-05-03,0.045508,0.043037,0.045839,0.042744
2018-05-04,0.045238,0.045508,0.045722,0.044559
2018-05-05,0.045916,0.045238,0.046535,0.045138
2018-05-06,0.045011,0.04597,0.046433,0.044058
2018-05-07,0.043937,0.045011,0.045089,0.04287
2018-05-08,0.042799,0.043613,0.04376,5e-06
2018-05-09,0.043423,0.042799,0.043668,0.041846
2018-05-10,0.042027,0.043423,0.043757,0.041955
2018-05-11,0.039108,0.042027,0.042027,0.038889
2018-05-12,0.039403,0.039108,0.040202,0.038241
2018-05-13,0.040465,0.039493,0.040789,0.038809
2018-05-14,0.040388,0.040465,0.041373,0.038574
2018-05-15,0.039452,0.040385,0.041131,0.039264
2018-05-16,0.03887,0.039451,0.039555,0.037764
2018-05-17,0.037588,0.038903,0.039442,0.037259
2018-05-18,0.038394,0.037539,0.038559,0.036943
2018-05-19,0.038398,0.038394,0.039106,0.037948
2018-05-20,0.039718,0.038398,0.039997,0.038079
2018-05-21,0.039122,0.039718,0.039819,0.038972
2018-05-22,0.037187,0.039122,0.039167,0.037044
2018-05-23,0.034992,0.037174,0.037372,0.034706
2018-05-24,0.035289,0.034966,0.035958,0.033852
2018-05-25,0.034754,0.035304,0.035636,0.034168
2018-05-26,0.034146,0.034748,0.035484,0.033965
2018-05-27,0.034203,0.034154,0.034426,0.033656
2018-05-28,0.033085,0.034217,0.034624,0.032944
2018-05-29,0.034747,0.033105,0.035047,0.032846
2018-05-30,0.034368,0.034788,0.035218,0.033927
2018-05-31,0.034887,0.034353,0.035414,0.034195
2018-06-01,0.035048,0.034884,0.035415,0.034257
2018-06-02,0.035593,0.035076,0.035832,0.034737
2018-06-03,0.035966,0.035566,0.036235,0.035417
2018-06-04,0.034925,0.035998,0.036148,0.034754
2018-06-05,0.035517,0.034899,0.035749,0.034357
2018-06-06,0.035666,0.035547,0.035861,0.034928
2018-06-07,0.035831,0.035667,0.036143,0.03563
2018-06-08,0.035487,0.035816,0.035866,0.035155
2018-06-09,0.034934,0.035487,0.035812,0.034816
2018-06-10,0.031455,0.034943,0.034943,0.030949
2018-06-11,0.032031,0.031491,0.03214,0.030936
2018-06-12,0.030487,0.032016,0.032016,0.030015
2018-06-13,0.019724,0.030495,3297.828369,0.0
2018-06-14,0.02476,0.019798,0.031173,0.019792
2018-06-15,0.022337,0.024807,0.024807,0.020526
2018-06-16,0.019295,0.022347,0.022695,0.017451
2018-06-17,0.017704,0.019299,0.019626,0.017609
2018-06-18,0.015196,0.017718,0.017742,0.014727
2018-06-19,0.019782,0.015201,0.021587,0.014963
2018-06-20,0.038534,0.019726,0.043926,0.018545
2018-06-21,0.03246,0.037248,0.064322,0.02383
2018-06-22,0.018732,0.032461,0.032472,0.018732
2018-06-23,0.016949,0.018671,0.022002,0.016451
2018-06-24,0.016907,0.016979,0.018311,0.015834
2018-06-25,0.016085,0.016902,0.017012,0.015912
2018-06-26,0.013966,0.016095,0.016119,0.013891
2018-06-27,0.012665,0.013922,0.01394,0.012665
2018-06-28,0.022703,0.012666,0.023247,0.010415
2018-06-29,0.014682,0.022666,0.022842,0.012889
2018-06-30,0.014637,0.01467,0.015503,0.013628
2018-07-01,0.018509,0.014636,0.018757,0.014422
2018-07-02,0.017305,0.018444,0.020158,0.0
2018-07-03,0.016997,0.017305,0.018293,0.000236
2018-07-04,0.02089,0.016997,0.021318,0.016783
2018-07-05,0.021485,0.02089,0.022085,0.02069
2018-07-06,0.021025,0.021485,0.021542,0.019126
2018-07-07,0.019575,0.021025,0.021216,0.018984
2018-07-08,0.019252,0.019575,0.019659,0.019176
2018-07-09,0.019048,0.019252,0.019402,0.01898
2018-07-10,0.018083,0.019048,0.019342,0.018055
2018-07-11,0.01773,0.018083,0.018353,0.017504
2018-07-12,0.018382,0.01773,0.020238,0.017408
2018-07-13,0.017758,0.018382,0.018666,0.017326
2018-07-14,0.018375,0.017758,0.019934,0.017424
2018-07-15,0.016628,0.018375,0.018525,0.016623
2018-07-16,0.020984,0.016628,0.02102,0.016233
2018-07-17,0.022655,0.020984,0.024916,0.018034
2018-07-18,0.019262,0.022655,0.023042,0.019223
2018-07-19,0.018871,0.019262,0.021373,0.018661
2018-07-20,0.019321,0.018871,0.020359,0.018519
2018-07-21,0.019471,0.019321,0.019584,0.018991
2018-07-22,0.018504,0.019471,0.019893,0.018441
2018-07-23,0.018243,0.018504,0.01984,0.018006
2018-07-24,0.017331,0.018243,0.018792,0.017143
2018-07-25,0.016683,0.017331,0.01748,0.016473
2018-07-26,0.017234,0.016683,0.017322,0.016656
2018-07-27,0.016285,0.017234,0.017605,0.015997
2018-07-28,0.015213,0.016285,0.016285,0.015213
2018-07-29,0.015293,0.015213,0.015393,0.014924
2018-07-30,0.01528,0.015293,0.015435,0.014709
2018-07-31,0.014483,0.01528,0.017255,0.012354
2018-08-01,0.014382,0.014483,0.01454,0.014071
2018-08-02,0.013978,0.014382,0.014553,0.013841
2018-08-03,0.013943,0.013978,0.014008,0.013511
2018-08-04,0.016254,0.013943,0.020307,0.0135
2018-08-05,0.016316,0.016254,0.022513,0.015019
2018-08-06,0.01953,0.016316,0.02013,0.016295
2018-08-07,0.018508,0.01953,0.020127,0.018185
2018-08-08,0.01513,0.018508,0.018508,0.015036
2018-08-09,0.0158,0.01513,0.016256,0.013648
2018-08-10,0.013301,0.0158,0.017128,0.013203
2018-08-11,0.013225,0.013301,0.015373,0.011705
2018-08-12,0.012944,0.013225,0.013543,0.012905
2018-08-13,0.012316,0.012944,0.0134,0.012221
2018-08-14,0.010764,0.012316,0.012337,0.010654
2018-08-15,0.010158,0.010764,0.011205,0.009965
2018-08-16,0.008394,0.010158,0.010484,0.00835
2018-08-17,0.010279,0.008394,0.010279,0.00837
2018-08-18,0.009362,0.010279,0.010279,0.009236
2018-08-19,0.009371,0.009362,0.00945,0.009078
2018-08-20,0.008913,0.009371,0.009422,0.008878
2018-08-21,0.009103,0.008913,0.009155,0.008906
2018-08-22,0.009373,0.009103,0.009647,0.008785
2018-08-23,0.009693,0.009373,0.00975,0.009367
