TIMESTAMP,DOGEAI35414_OPEN_PRICE_USD,DOGEAI35414_HIGH_PRICE_USD,DOGEAI35414_LOW_PRICE_USD,DOGEAI35414_CLOSE_PRICE_USD,DOGEAI35414_VOLUME_USD,DOGEAI35414_DIVIDENDS_USD,DOGEAI35414_STOCK_SPLITS_USD
2025-03-14 00:00:00+00:00,,,,0.0,99,0.0,0.0
2025-03-17 00:00:00+00:00,,,,0.0,32,0.0,0.0
2025-03-29 00:00:00+00:00,,,,0.0,144,0.0,0.0
2025-03-30 00:00:00+00:00,,,,0.0,204,0.0,0.0
2025-03-31 00:00:00+00:00,,,,0.0,3,0.0,0.0
2025-04-06 00:00:00+00:00,,,,0.0,155,0.0,0.0
2025-04-10 00:00:00+00:00,,,,0.0,19,0.0,0.0
2025-04-11 00:00:00+00:00,,,,0.0,231,0.0,0.0
2025-04-12 00:00:00+00:00,,,,0.0,180,0.0,0.0
2025-04-16 00:00:00+00:00,,,,0.0,148,0.0,0.0
2025-04-25 00:00:00+00:00,,,,0.0,718,0.0,0.0
2025-04-26 00:00:00+00:00,,,,0.0,176,0.0,0.0
2025-05-03 00:00:00+00:00,,,,0.0,4469,0.0,0.0
2025-05-08 00:00:00+00:00,,,,0.0,480,0.0,0.0
2025-05-10 00:00:00+00:00,,,,0.0,87,0.0,0.0
2025-05-17 00:00:00+00:00,,,,0.0,687,0.0,0.0
2025-05-26 00:00:00+00:00,,,,0.0,8899,0.0,0.0
2025-05-27 00:00:00+00:00,,,,0.0,2179,0.0,0.0
2025-05-31 00:00:00+00:00,,,,0.0,69,0.0,0.0
2025-06-01 00:00:00+00:00,1.6703400273175573e-13,1.6703400273175573e-13,1.5724300659290813e-13,1.6463536805545742e-13,167,0.0,0.0
