TIMESTAMP,SUIMON_OPEN_PRICE_USD,SUIMON_HIGH_PRICE_USD,SUIMON_LOW_PRICE_USD,SUIMON_CLOSE_PRICE_USD,SUIMON_VOLUME_USD,SUIMON_DIVIDENDS_USD,SUIMON_STOCK_SPLITS_USD
2024-10-31 00:00:00+00:00,3.199999991920777e-05,4.600000102072954e-05,3.199999991920777e-05,3.7999998312443495e-05,67362,0.0,0.0
2024-11-01 00:00:00+00:00,3.7999998312443495e-05,4.199999966658652e-05,2.4000000848900527e-05,2.9000000722589903e-05,75158,0.0,0.0
2024-11-02 00:00:00+00:00,2.9000000722589903e-05,3.7000001611886546e-05,2.300000051036477e-05,2.499999936844688e-05,48882,0.0,0.0
2024-11-03 00:00:00+00:00,2.499999936844688e-05,2.9999999242136255e-05,2.4000000848900527e-05,2.9000000722589903e-05,6566,0.0,0.0
2024-11-04 00:00:00+00:00,2.9000000722589903e-05,3.300000025774352e-05,1.4000000192027073e-05,1.8000000636675395e-05,46862,0.0,0.0
2024-11-05 00:00:00+00:00,1.8000000636675395e-05,2.099999983329326e-05,1.4999999621068127e-05,1.8999999156221747e-05,25187,0.0,0.0
2024-11-06 00:00:00+00:00,1.8999999156221747e-05,2.099999983329326e-05,9.999999974752427e-07,3.999999989900971e-06,96579,0.0,0.0
2024-11-07 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,1.9999999949504854e-06,3.000000106112566e-06,14300,0.0,0.0
2024-11-08 00:00:00+00:00,3.000000106112566e-06,4.999999873689376e-06,3.000000106112566e-06,4.999999873689376e-06,12615,0.0,0.0
2024-11-09 00:00:00+00:00,4.999999873689376e-06,7.999999979801942e-06,3.999999989900971e-06,7.999999979801942e-06,14126,0.0,0.0
2024-11-10 00:00:00+00:00,7.999999979801942e-06,9.000000318337698e-06,6.000000212225132e-06,7.000000096013537e-06,16589,0.0,0.0
2024-11-11 00:00:00+00:00,7.000000096013537e-06,7.000000096013537e-06,4.999999873689376e-06,6.000000212225132e-06,13689,0.0,0.0
2024-11-12 00:00:00+00:00,6.000000212225132e-06,7.000000096013537e-06,4.999999873689376e-06,6.000000212225132e-06,7970,0.0,0.0
2024-11-13 00:00:00+00:00,6.000000212225132e-06,1.2999999853491317e-05,6.000000212225132e-06,1.1000000085914508e-05,19932,0.0,0.0
2024-11-14 00:00:00+00:00,1.1000000085914508e-05,5.400000009103678e-05,1.1000000085914508e-05,3.199999991920777e-05,75473,0.0,0.0
2024-11-15 00:00:00+00:00,3.199999991920777e-05,5.2999999752501026e-05,2.5999999706982635e-05,4.400000034365803e-05,109688,0.0,0.0
2024-11-16 00:00:00+00:00,4.3000000005122274e-05,4.3000000005122274e-05,1.8000000636675395e-05,2.5999999706982635e-05,48949,0.0,0.0
2024-11-17 00:00:00+00:00,2.5999999706982635e-05,3.300000025774352e-05,1.8999999156221747e-05,2.099999983329326e-05,22257,0.0,0.0
2024-11-18 00:00:00+00:00,2.099999983329326e-05,2.300000051036477e-05,1.5999999959603883e-05,1.8000000636675395e-05,22518,0.0,0.0
2024-11-19 00:00:00+00:00,1.8000000636675395e-05,1.8999999156221747e-05,7.999999979801942e-06,1.1000000085914508e-05,30330,0.0,0.0
2024-11-20 00:00:00+00:00,1.1000000085914508e-05,3.9999998989515007e-05,1.1000000085914508e-05,1.8999999156221747e-05,63696,0.0,0.0
2024-11-21 00:00:00+00:00,1.8999999156221747e-05,2.4000000848900527e-05,1.2999999853491317e-05,2.4000000848900527e-05,29418,0.0,0.0
2024-11-22 00:00:00+00:00,2.4000000848900527e-05,2.8000000384054147e-05,1.5999999959603883e-05,2.499999936844688e-05,39459,0.0,0.0
2024-11-23 00:00:00+00:00,2.499999936844688e-05,2.499999936844688e-05,7.000000096013537e-06,1.4999999621068127e-05,42993,0.0,0.0
2024-11-24 00:00:00+00:00,1.4999999621068127e-05,1.8000000636675395e-05,1.4999999621068127e-05,1.8000000636675395e-05,5189,0.0,0.0
2024-11-25 00:00:00+00:00,1.8000000636675395e-05,1.8000000636675395e-05,1.4999999621068127e-05,1.4999999621068127e-05,2937,0.0,0.0
2024-11-26 00:00:00+00:00,1.4999999621068127e-05,1.5999999959603883e-05,1.2000000424450263e-05,1.2999999853491317e-05,5622,0.0,0.0
2024-11-27 00:00:00+00:00,1.2999999853491317e-05,1.8999999156221747e-05,1.2999999853491317e-05,1.4999999621068127e-05,18148,0.0,0.0
2024-11-28 00:00:00+00:00,1.4999999621068127e-05,1.5999999959603883e-05,1.4999999621068127e-05,1.5999999959603883e-05,3067,0.0,0.0
2024-11-29 00:00:00+00:00,1.5999999959603883e-05,1.8000000636675395e-05,1.4999999621068127e-05,1.700000029813964e-05,4726,0.0,0.0
2024-11-30 00:00:00+00:00,1.700000029813964e-05,1.700000029813964e-05,9.000000318337698e-06,1.2000000424450263e-05,22720,0.0,0.0
2024-12-01 00:00:00+00:00,1.2000000424450263e-05,1.5999999959603883e-05,1.1000000085914508e-05,1.5999999959603883e-05,13772,0.0,0.0
2024-12-02 00:00:00+00:00,1.5999999959603883e-05,5.6000000768108293e-05,1.5999999959603883e-05,4.8000001697801054e-05,129697,0.0,0.0
