TIMESTAMP,DYOR_OPEN_PRICE_USD,DYOR_HIGH_PRICE_USD,DYOR_LOW_PRICE_USD,DYOR_CLOSE_PRICE_USD,DYOR_VOLUME_USD,DYOR_DIVIDENDS_USD,DYOR_STOCK_SPLITS_USD
2021-11-07 00:00:00+00:00,,,,0.0,7267717,0.0,0.0
2021-11-08 00:00:00+00:00,,,,0.0,9420630,0.0,0.0
2021-11-09 00:00:00+00:00,,,,0.0,3302039,0.0,0.0
2021-11-10 00:00:00+00:00,,,,0.0,1157238,0.0,0.0
2021-11-11 00:00:00+00:00,,,,0.0,779447,0.0,0.0
2021-11-12 00:00:00+00:00,,,,0.0,918334,0.0,0.0
2021-11-13 00:00:00+00:00,,,,0.0,596739,0.0,0.0
2021-11-14 00:00:00+00:00,,,,0.0,699630,0.0,0.0
2021-11-15 00:00:00+00:00,,,,0.0,818833,0.0,0.0
2021-11-16 00:00:00+00:00,,,,0.0,239009,0.0,0.0
2021-11-17 00:00:00+00:00,,,,0.0,29169,0.0,0.0
2021-11-20 00:00:00+00:00,,,,0.0,163175,0.0,0.0
2021-11-21 00:00:00+00:00,,,,0.0,201839,0.0,0.0
2021-11-22 00:00:00+00:00,,,,0.0,64764,0.0,0.0
2021-11-23 00:00:00+00:00,,,,0.0,50635,0.0,0.0
2021-11-24 00:00:00+00:00,,,,0.0,29980,0.0,0.0
2021-11-25 00:00:00+00:00,,,,0.0,53615,0.0,0.0
2021-11-26 00:00:00+00:00,,,,0.0,96603,0.0,0.0
2021-11-27 00:00:00+00:00,,,,0.0,72944,0.0,0.0
2021-11-28 00:00:00+00:00,,,,0.0,58152,0.0,0.0
2021-11-29 00:00:00+00:00,,,,0.0,43597,0.0,0.0
2021-11-30 00:00:00+00:00,,,,0.0,43153,0.0,0.0
2021-12-01 00:00:00+00:00,,,,0.0,88488,0.0,0.0
2021-12-02 00:00:00+00:00,,,,0.0,117754,0.0,0.0
2021-12-03 00:00:00+00:00,,,,0.0,77294,0.0,0.0
2021-12-04 00:00:00+00:00,,,,0.0,30295,0.0,0.0
2021-12-05 00:00:00+00:00,,,,0.0,105986,0.0,0.0
2021-12-06 00:00:00+00:00,,,,0.0,125385,0.0,0.0
2021-12-07 00:00:00+00:00,,,,0.0,26303,0.0,0.0
2021-12-08 00:00:00+00:00,,,,0.0,37892,0.0,0.0
2021-12-09 00:00:00+00:00,,,,0.0,39254,0.0,0.0
2021-12-10 00:00:00+00:00,,,,0.0,49111,0.0,0.0
2021-12-11 00:00:00+00:00,,,,0.0,66851,0.0,0.0
2021-12-12 00:00:00+00:00,,,,0.0,35265,0.0,0.0
2021-12-13 00:00:00+00:00,,,,0.0,10312,0.0,0.0
2021-12-14 00:00:00+00:00,,,,0.0,11055,0.0,0.0
2021-12-15 00:00:00+00:00,,,,0.0,17033,0.0,0.0
2021-12-16 00:00:00+00:00,,,,0.0,14410,0.0,0.0
2021-12-17 00:00:00+00:00,,,,0.0,11080,0.0,0.0
2021-12-18 00:00:00+00:00,,,,0.0,8978,0.0,0.0
2021-12-19 00:00:00+00:00,,,,0.0,9553,0.0,0.0
2021-12-20 00:00:00+00:00,,,,0.0,10135,0.0,0.0
2021-12-21 00:00:00+00:00,,,,0.0,12279,0.0,0.0
2021-12-22 00:00:00+00:00,,,,0.0,13652,0.0,0.0
2021-12-23 00:00:00+00:00,,,,0.0,10201,0.0,0.0
2021-12-24 00:00:00+00:00,,,,0.0,17405,0.0,0.0
2021-12-25 00:00:00+00:00,,,,0.0,19771,0.0,0.0
2021-12-26 00:00:00+00:00,,,,0.0,12890,0.0,0.0
2021-12-27 00:00:00+00:00,,,,0.0,26462,0.0,0.0
2021-12-28 00:00:00+00:00,,,,0.0,28939,0.0,0.0
2021-12-29 00:00:00+00:00,,,,0.0,16628,0.0,0.0
2021-12-30 00:00:00+00:00,,,,0.0,15108,0.0,0.0
2021-12-31 00:00:00+00:00,,,,0.0,19774,0.0,0.0
2022-01-01 00:00:00+00:00,,,,0.0,20097,0.0,0.0
