TIMESTAMP,ANK_OPEN_PRICE_USD,ANK_HIGH_PRICE_USD,ANK_LOW_PRICE_USD,ANK_CLOSE_PRICE_USD,ANK_VOLUME_USD,ANK_DIVIDENDS_USD,ANK_STOCK_SPLITS_USD
2020-03-24 00:00:00+00:00,1.4000000192027073e-05,1.5999999959603883e-05,9.999999747378752e-06,1.2999999853491317e-05,1558,0.0,0.0
2020-03-25 00:00:00+00:00,1.2999999853491317e-05,1.2999999853491317e-05,1.2000000424450263e-05,1.2000000424450263e-05,11,0.0,0.0
2020-03-26 00:00:00+00:00,1.2000000424450263e-05,0.00010800000018207356,1.2000000424450263e-05,2.700000004551839e-05,27609,0.0,0.0
2020-03-27 00:00:00+00:00,2.700000004551839e-05,2.8000000384054147e-05,2.4000000848900527e-05,2.499999936844688e-05,159,0.0,0.0
2020-03-28 00:00:00+00:00,2.499999936844688e-05,2.499999936844688e-05,2.300000051036477e-05,2.4000000848900527e-05,65,0.0,0.0
2020-03-29 00:00:00+00:00,2.4000000848900527e-05,3.199999991920777e-05,1.4999999621068127e-05,2.4000000848900527e-05,3717,0.0,0.0
2020-03-30 00:00:00+00:00,2.4000000848900527e-05,2.700000004551839e-05,6.000000212225132e-06,1.1000000085914508e-05,4171,0.0,0.0
2020-03-31 00:00:00+00:00,1.1000000085914508e-05,1.2999999853491317e-05,9.999999747378752e-06,1.2999999853491317e-05,758,0.0,0.0
2020-04-01 00:00:00+00:00,1.2999999853491317e-05,1.4000000192027073e-05,9.999999747378752e-06,1.2999999853491317e-05,8089,0.0,0.0
2020-04-02 00:00:00+00:00,1.2999999853491317e-05,1.4999999621068127e-05,9.999999747378752e-06,1.2000000424450263e-05,4605,0.0,0.0
2020-04-03 00:00:00+00:00,1.2000000424450263e-05,1.700000029813964e-05,1.1000000085914508e-05,1.2000000424450263e-05,7030,0.0,0.0
2020-04-04 00:00:00+00:00,1.2000000424450263e-05,1.2999999853491317e-05,9.000000318337698e-06,9.999999747378752e-06,475,0.0,0.0
2020-04-05 00:00:00+00:00,9.999999747378752e-06,1.4000000192027073e-05,7.000000096013537e-06,1.1000000085914508e-05,5487,0.0,0.0
2020-04-06 00:00:00+00:00,1.1000000085914508e-05,1.700000029813964e-05,7.000000096013537e-06,9.999999747378752e-06,4738,0.0,0.0
2020-04-07 00:00:00+00:00,9.999999747378752e-06,1.2999999853491317e-05,7.999999979801942e-06,1.1000000085914508e-05,8468,0.0,0.0
2020-04-08 00:00:00+00:00,1.1000000085914508e-05,1.1000000085914508e-05,7.999999979801942e-06,9.999999747378752e-06,819,0.0,0.0
2020-04-09 00:00:00+00:00,9.999999747378752e-06,1.2000000424450263e-05,9.999999747378752e-06,1.1000000085914508e-05,1688,0.0,0.0
2020-04-10 00:00:00+00:00,1.1000000085914508e-05,1.4000000192027073e-05,7.999999979801942e-06,7.999999979801942e-06,8762,0.0,0.0
2020-04-11 00:00:00+00:00,7.999999979801942e-06,9.999999747378752e-06,7.000000096013537e-06,9.000000318337698e-06,1354,0.0,0.0
2020-04-12 00:00:00+00:00,9.000000318337698e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,78,0.0,0.0
2020-04-13 00:00:00+00:00,7.999999979801942e-06,9.999999747378752e-06,7.000000096013537e-06,9.000000318337698e-06,3622,0.0,0.0
2020-04-14 00:00:00+00:00,9.000000318337698e-06,9.999999747378752e-06,7.000000096013537e-06,7.000000096013537e-06,1229,0.0,0.0
2020-04-15 00:00:00+00:00,7.000000096013537e-06,7.999999979801942e-06,6.000000212225132e-06,7.000000096013537e-06,908,0.0,0.0
2020-04-16 00:00:00+00:00,7.000000096013537e-06,9.999999747378752e-06,6.000000212225132e-06,7.999999979801942e-06,2778,0.0,0.0
2020-04-17 00:00:00+00:00,7.999999979801942e-06,5.199999941396527e-05,7.999999979801942e-06,2.5999999706982635e-05,6728,0.0,0.0
2020-04-18 00:00:00+00:00,2.5999999706982635e-05,2.700000004551839e-05,1.1000000085914508e-05,1.1000000085914508e-05,8499,0.0,0.0
2020-04-19 00:00:00+00:00,1.1000000085914508e-05,1.1000000085914508e-05,9.000000318337698e-06,9.000000318337698e-06,374,0.0,0.0
2020-04-20 00:00:00+00:00,9.000000318337698e-06,1.5999999959603883e-05,7.000000096013537e-06,1.4999999621068127e-05,12,0.0,0.0
2020-04-21 00:00:00+00:00,1.4999999621068127e-05,1.5999999959603883e-05,9.000000318337698e-06,9.000000318337698e-06,250,0.0,0.0
2020-04-22 00:00:00+00:00,9.000000318337698e-06,1.4999999621068127e-05,7.999999979801942e-06,7.999999979801942e-06,3623,0.0,0.0
2020-04-23 00:00:00+00:00,7.999999979801942e-06,9.000000318337698e-06,7.000000096013537e-06,7.999999979801942e-06,962,0.0,0.0
2020-04-24 00:00:00+00:00,7.999999979801942e-06,1.4000000192027073e-05,7.999999979801942e-06,7.999999979801942e-06,1116,0.0,0.0
2020-04-25 00:00:00+00:00,7.999999979801942e-06,9.999999747378752e-06,7.000000096013537e-06,9.000000318337698e-06,517,0.0,0.0
2020-04-26 00:00:00+00:00,9.000000318337698e-06,1.5999999959603883e-05,7.999999979801942e-06,9.000000318337698e-06,4269,0.0,0.0
2020-04-27 00:00:00+00:00,9.000000318337698e-06,9.999999747378752e-06,7.999999979801942e-06,9.000000318337698e-06,3723,0.0,0.0
2020-04-28 00:00:00+00:00,9.000000318337698e-06,1.4999999621068127e-05,7.000000096013537e-06,9.000000318337698e-06,8234,0.0,0.0
2020-04-29 00:00:00+00:00,9.000000318337698e-06,9.000000318337698e-06,7.000000096013537e-06,9.000000318337698e-06,765,0.0,0.0
2020-04-30 00:00:00+00:00,9.000000318337698e-06,9.000000318337698e-06,7.000000096013537e-06,7.000000096013537e-06,630,0.0,0.0
2020-05-01 00:00:00+00:00,7.000000096013537e-06,9.000000318337698e-06,7.000000096013537e-06,7.999999979801942e-06,270,0.0,0.0
2020-05-02 00:00:00+00:00,7.999999979801942e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,29,0.0,0.0
2020-05-03 00:00:00+00:00,7.999999979801942e-06,1.4999999621068127e-05,3.999999989900971e-06,1.4999999621068127e-05,747,0.0,0.0
2020-05-04 00:00:00+00:00,1.4999999621068127e-05,1.9999999494757503e-05,7.000000096013537e-06,7.000000096013537e-06,11,0.0,0.0
2020-05-05 00:00:00+00:00,7.000000096013537e-06,7.999999979801942e-06,7.000000096013537e-06,7.000000096013537e-06,165,0.0,0.0
2020-05-06 00:00:00+00:00,7.000000096013537e-06,1.1000000085914508e-05,6.000000212225132e-06,7.000000096013537e-06,2298,0.0,0.0
2020-05-07 00:00:00+00:00,7.000000096013537e-06,7.000000096013537e-06,6.000000212225132e-06,6.000000212225132e-06,604,0.0,0.0
2020-05-08 00:00:00+00:00,6.000000212225132e-06,9.000000318337698e-06,6.000000212225132e-06,9.000000318337698e-06,1,0.0,0.0
2020-05-09 00:00:00+00:00,9.000000318337698e-06,9.000000318337698e-06,7.999999979801942e-06,9.000000318337698e-06,0,0.0,0.0
2020-05-10 00:00:00+00:00,9.000000318337698e-06,1.4999999621068127e-05,7.000000096013537e-06,1.4999999621068127e-05,3,0.0,0.0
2020-05-11 00:00:00+00:00,1.4999999621068127e-05,1.4999999621068127e-05,4.999999873689376e-06,6.000000212225132e-06,1699,0.0,0.0
2020-05-12 00:00:00+00:00,6.000000212225132e-06,1.4999999621068127e-05,3.999999989900971e-06,4.999999873689376e-06,662,0.0,0.0
2020-05-13 00:00:00+00:00,4.999999873689376e-06,1.4000000192027073e-05,4.999999873689376e-06,1.4000000192027073e-05,7,0.0,0.0
2020-05-14 00:00:00+00:00,1.4000000192027073e-05,1.4000000192027073e-05,6.000000212225132e-06,6.000000212225132e-06,104,0.0,0.0
2020-05-15 00:00:00+00:00,6.000000212225132e-06,7.999999979801942e-06,4.999999873689376e-06,4.999999873689376e-06,497,0.0,0.0
2020-05-16 00:00:00+00:00,4.999999873689376e-06,1.1000000085914508e-05,4.999999873689376e-06,7.000000096013537e-06,87,0.0,0.0
2020-05-17 00:00:00+00:00,7.000000096013537e-06,7.999999979801942e-06,6.000000212225132e-06,6.000000212225132e-06,512,0.0,0.0
2020-05-18 00:00:00+00:00,6.000000212225132e-06,7.999999979801942e-06,6.000000212225132e-06,6.000000212225132e-06,112,0.0,0.0
2020-05-19 00:00:00+00:00,6.000000212225132e-06,1.700000029813964e-05,6.000000212225132e-06,1.700000029813964e-05,2,0.0,0.0
2020-05-20 00:00:00+00:00,1.700000029813964e-05,1.700000029813964e-05,6.000000212225132e-06,6.000000212225132e-06,69,0.0,0.0
2020-05-21 00:00:00+00:00,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,22,0.0,0.0
2020-05-22 00:00:00+00:00,6.000000212225132e-06,1.5999999959603883e-05,6.000000212225132e-06,6.000000212225132e-06,687,0.0,0.0
