TIMESTAMP,WOME_OPEN_PRICE_USD,WOME_HIGH_PRICE_USD,WOME_LOW_PRICE_USD,WOME_CLOSE_PRICE_USD,WOME_VOLUME_USD,WOME_DIVIDENDS_USD,WOME_STOCK_SPLITS_USD
2024-03-25 00:00:00+00:00,9.000000136438757e-05,9.7999996796716e-05,3.7999998312443495e-05,4.5000000682193786e-05,622111,0.0,0.0
2024-03-26 00:00:00+00:00,4.5000000682193786e-05,6.500000017695129e-05,2.9999999242136255e-05,3.199999991920777e-05,130563,0.0,0.0
2024-03-27 00:00:00+00:00,3.199999991920777e-05,5.999999848427251e-05,3.099999958067201e-05,5.8000001445179805e-05,124212,0.0,0.0
2024-03-28 00:00:00+00:00,5.8000001445179805e-05,0.00011500000255182385,4.600000102072954e-05,7.699999696342275e-05,280279,0.0,0.0
2024-03-29 00:00:00+00:00,7.699999696342275e-05,0.00011500000255182385,2.5999999706982635e-05,5.199999941396527e-05,255074,0.0,0.0
2024-03-30 00:00:00+00:00,5.199999941396527e-05,8.800000068731606e-05,3.5000000934815034e-05,5.700000110664405e-05,460508,0.0,0.0
2024-03-31 00:00:00+00:00,5.700000110664405e-05,0.00010299999848939478,4.70000013592653e-05,5.0999999075429514e-05,332412,0.0,0.0
2024-04-01 00:00:00+00:00,5.0999999075429514e-05,5.6000000768108293e-05,3.5000000934815034e-05,4.5000000682193786e-05,119584,0.0,0.0
2024-04-02 00:00:00+00:00,4.5000000682193786e-05,4.600000102072954e-05,2.5999999706982635e-05,2.700000004551839e-05,80885,0.0,0.0
2024-04-03 00:00:00+00:00,2.700000004551839e-05,3.5000000934815034e-05,2.4000000848900527e-05,2.499999936844688e-05,52141,0.0,0.0
2024-04-04 00:00:00+00:00,2.499999936844688e-05,2.5999999706982635e-05,1.5999999959603883e-05,2.2000000171829015e-05,33772,0.0,0.0
2024-04-05 00:00:00+00:00,2.2000000171829015e-05,2.2000000171829015e-05,1.4999999621068127e-05,1.4999999621068127e-05,18942,0.0,0.0
2024-04-06 00:00:00+00:00,1.4999999621068127e-05,1.5999999959603883e-05,4.999999873689376e-06,6.000000212225132e-06,29430,0.0,0.0
2024-04-07 00:00:00+00:00,6.000000212225132e-06,7.000000096013537e-06,4.999999873689376e-06,6.000000212225132e-06,10077,0.0,0.0
2024-04-08 00:00:00+00:00,6.000000212225132e-06,6.000000212225132e-06,3.999999989900971e-06,3.999999989900971e-06,6451,0.0,0.0
2024-04-09 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,3842,0.0,0.0
2024-04-10 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,1651,0.0,0.0
2024-04-11 00:00:00+00:00,3.999999989900971e-06,4.999999873689376e-06,3.999999989900971e-06,4.999999873689376e-06,2449,0.0,0.0
2024-04-12 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,3.999999989900971e-06,3.999999989900971e-06,4937,0.0,0.0
2024-04-13 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,1844,0.0,0.0
2024-04-14 00:00:00+00:00,3.000000106112566e-06,1.2999999853491317e-05,3.000000106112566e-06,9.000000318337698e-06,32642,0.0,0.0
2024-04-15 00:00:00+00:00,9.000000318337698e-06,9.000000318337698e-06,4.999999873689376e-06,6.000000212225132e-06,7185,0.0,0.0
2024-04-16 00:00:00+00:00,6.000000212225132e-06,1.1000000085914508e-05,6.000000212225132e-06,1.1000000085914508e-05,14683,0.0,0.0
2024-04-17 00:00:00+00:00,1.1000000085914508e-05,1.2000000424450263e-05,6.000000212225132e-06,7.999999979801942e-06,18279,0.0,0.0
2024-04-18 00:00:00+00:00,7.999999979801942e-06,1.1000000085914508e-05,7.000000096013537e-06,9.000000318337698e-06,21424,0.0,0.0
2024-04-19 00:00:00+00:00,9.000000318337698e-06,1.2999999853491317e-05,7.999999979801942e-06,9.999999747378752e-06,13259,0.0,0.0
2024-04-20 00:00:00+00:00,9.999999747378752e-06,1.1000000085914508e-05,9.999999747378752e-06,1.1000000085914508e-05,5471,0.0,0.0
2024-04-21 00:00:00+00:00,9.999999747378752e-06,9.999999747378752e-06,9.000000318337698e-06,9.000000318337698e-06,1506,0.0,0.0
2024-04-22 00:00:00+00:00,9.000000318337698e-06,9.999999747378752e-06,7.000000096013537e-06,7.999999979801942e-06,6809,0.0,0.0
2024-04-23 00:00:00+00:00,7.999999979801942e-06,7.999999979801942e-06,7.000000096013537e-06,7.000000096013537e-06,3125,0.0,0.0
2024-04-24 00:00:00+00:00,7.000000096013537e-06,7.999999979801942e-06,7.000000096013537e-06,7.000000096013537e-06,2631,0.0,0.0
2024-04-25 00:00:00+00:00,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,1591,0.0,0.0
2024-04-26 00:00:00+00:00,7.000000096013537e-06,7.000000096013537e-06,6.000000212225132e-06,6.000000212225132e-06,1148,0.0,0.0
2024-04-27 00:00:00+00:00,6.000000212225132e-06,6.000000212225132e-06,4.999999873689376e-06,6.000000212225132e-06,1837,0.0,0.0
2024-04-28 00:00:00+00:00,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,475,0.0,0.0
2024-04-29 00:00:00+00:00,6.000000212225132e-06,6.000000212225132e-06,3.999999989900971e-06,4.999999873689376e-06,1409,0.0,0.0
2024-04-30 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,3.999999989900971e-06,3.999999989900971e-06,288,0.0,0.0
2024-05-01 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,1716,0.0,0.0
2024-05-02 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.999999989900971e-06,359,0.0,0.0
2024-05-03 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,1195,0.0,0.0
2024-05-04 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,1037,0.0,0.0
