,K,Alpha,Tau,Non_Stationary_IMFs,MSE,IMF_1_P_Val
0,15,500,0.3,0,89.3956253440495,0.01303021210520394
1,14,500,0.3,0,89.58591556036421,0.04196446173885249
2,15,500,0.25,0,89.86964763361956,0.013467597373458293
3,15,500,0.2,0,90.66385646232936,0.014293595595215378
4,14,500,0.25,0,90.90370165915945,0.04399963237619634
5,15,500,0.15,0,92.55718566474509,0.01564700777851658
6,13,500,0.3,0,94.20406285841327,0.02903924120693745
7,14,500,0.2,0,94.73593435491131,0.04724592393148062
8,13,500,0.25,0,95.84319973468388,0.032732899166615384
9,13,500,0.2,0,97.23660412836004,0.040195150078988766
10,13,500,0.15,0,98.573422675162,0.03758203575415521
11,15,500,0.1,0,100.72735077045512,0.01759909470055567
12,13,500,0.1,0,104.26069327497723,0.035315295281127375
13,15,1500,0.25,0,147.59345520921917,0.015388123533058911
14,14,500,0.15,0,159.10167286218757,0.04353733722250556
15,15,500,0.05,0,182.26327114926409,0.018185773822007357
16,13,500,0.05,0,205.23673254366864,0.0385186410441929
17,12,750,0.2,0,251.84425972001208,0.040262954315379004
18,14,500,0.1,0,644.9019763651811,0.026734845043448516
19,14,500,0.05,0,692.4517866909248,0.02236790454131252
20,15,1750,0.2,0,739.9230689436656,0.039781405875473574
21,15,1500,0.15,0,797.8587833544169,0.046247464955018476
22,15,1250,0.1,0,807.9576407431441,0.034334202764041755
23,12,500,0.05,0,885.3335336764582,0.035607635499580445
24,15,1750,0.3,0,955.3563202287456,0.029960977913852813
25,15,2000,0.2,0,1055.1781187325073,0.014632125376426802
26,12,1000,0.25,0,1215.816391560728,0.04549492642682358
27,15,1750,0.25,0,1417.7546889402865,0.018838436556426665
28,12,750,0.05,0,1646.592051249491,0.03431912244338114
29,15,1750,0.15,0,1781.9918316215724,0.04046800921547058
30,15,1500,0.2,0,1829.8029987298112,0.016218405322677345
31,15,1500,0.1,0,1838.7783314260516,0.030207782230193356
32,12,1000,0.2,0,2523.877868039247,0.04045220396196672
33,14,500,0.0,0,2802.3518541439303,0.036953563200000546
34,9,500,0.15,0,3070.37969960818,0.04896307538299247
35,15,2000,0.25,0,3100.7875564561,0.0031087807754869956
36,14,1250,0.1,0,3533.2208186514304,0.032886061839548515
37,15,2250,0.2,0,3578.419531375842,0.00016159168435598935
38,14,2250,0.25,0,3615.50405905168,3.714249666048992e-05
39,12,1750,0.2,0,3684.9738400697593,0.038819094628293166
40,15,1250,0.05,0,3763.392350401961,0.03626163265436877
41,14,1250,0.05,0,3927.249427991132,0.027990252642176014
42,15,2500,0.15,0,3981.0633299077076,0.000382070942451388
43,15,1750,0.05,0,4071.0699555179203,0.04107886071930287
44,15,2250,0.15,0,4079.4409627919495,0.001066111426269531
45,15,750,0.0,0,4087.190481684852,0.037370879252623855
46,15,2500,0.25,0,4195.355663563343,0.00035518255290158183
47,15,2000,0.3,0,4238.3967255217485,0.007634743207184961
48,15,2250,0.25,0,4260.910190445077,0.0021365821398464306
49,14,1750,0.15,0,4307.908154338757,0.0026934104993699653
50,14,2000,0.25,0,4911.072407369702,0.005764566715033923
51,14,1500,0.15,0,5373.967167254818,0.029771522667406732
52,15,1750,0.1,0,5389.91681785459,0.02927957833849147
53,14,2000,0.3,0,5443.664788285684,0.013771143604165606
54,15,2000,0.15,0,5510.061825795042,0.0038628354982517413
55,15,2250,0.3,0,5806.619535702832,0.013175188295653334
56,15,2000,0.05,0,5817.02730522182,0.003436706874181362
57,14,2500,0.25,0,6258.069507149352,0.00026245337094354834
58,15,2000,0.1,0,6430.830008811402,0.01365221388825303
59,14,2250,0.1,0,6874.586292199883,0.027255267162448447
60,15,2500,0.3,0,6921.371651046369,0.004794622822276399
61,15,3000,0.3,0,6991.091268480219,0.0010198541646827882
62,13,750,0.0,0,7108.297177056046,0.023814307111493717
