,XMR,Lag
PIVX,1.4877925487384863e-68,30
DOGE,1.464235486367283e-07,23
STEEM,3.0043179256972207e-06,14
DGB,0.0002679636710319,29
LSK,0.000815340381523,30
ETC,0.0008286582394966,30
XEM,0.0008784994944693,25
XRP,0.0013904864813158,9
ARK,0.0018171898791261,30
ZEN,0.0021430120906358,30
DASH,0.0023576078211737,30
BTS,0.002744768943629,30
QTUM,0.0028591592075557,25
RLC,0.0043929401722051,18
ZEC,0.0048761258345204,30
GAS,0.0069921790043395,30
ANT,0.0090224839751445,2
MIOTA,0.0274838904172399,30
GNO,0.0281531432587302,30
SYS,0.0396568779737913,13
SC,0.0680916659237109,29
WAVES,0.0711494384277238,30
KMD,0.0723107347763549,30
DCR,0.0990914038692404,3
BAT,0.1212275974369129,29
LUNC,0.1370774116721238,16
FIRO,0.1896111202968018,24
BTC,0.2074137131510535,29
ETH,0.2076857013259806,30
XLM,0.2518579560429951,6
LTC,0.2763894278862443,5
