,XRP,Lag
IFC,4.0177099503764736e-25,30
RBT,2.434984121548397e-21,27
PXC,1.0676542318132225e-18,26
WC,3.954735782021449e-18,29
TRST,8.405624759225034e-18,30
GRS,1.925535423562441e-17,27
XEM,4.119601121982204e-16,27
RRT,1.4707364237060354e-15,22
STEEM,2.760183014962592e-15,25
ZUR,1.08675043198053e-14,12
DOGE,3.2028799399294845e-14,28
EFL,4.1887869894714626e-14,27
IBANK,2.411195590442116e-12,30
LTC,3.778786580132784e-12,17
QTUM,4.0598405648000966e-12,25
ACES,7.152198986380272e-12,29
LSK,1.8642159681527056e-11,21
ETC,3.9120519394650105e-11,11
LDOGE,4.3152322555148694e-11,29
CAB,7.157195842499625e-11,30
WGR,1.4219679749615916e-10,12
PPC,2.8872502051372956e-10,17
VTC,3.5447155102812827e-10,17
BTC,3.9945728469631226e-10,28
ARK,6.132110723202547e-10,19
XLM,1.985450287962376e-09,26
BAT,3.1541074230523797e-09,17
42,3.4789497932465958e-09,30
GAS,6.889741303414257e-09,28
ETH,1.176263930566887e-08,29
XMR,2.4588024561606573e-08,17
VEC2,2.7142465576999898e-08,30
GNO,2.9944157626951454e-08,28
DGB,7.128430764654474e-08,15
CF,1.318259501304713e-07,27
EVIL,1.363667818491612e-07,19
RBIES,1.614021721513731e-07,11
TAB,2.78579073062043e-07,24
IMS,4.098233789577005e-07,29
PHR,5.479713202253902e-07,29
PAK,5.912102633991134e-07,30
LTCR,9.882425515046154e-07,4
XPM,1.5503993727540055e-06,24
MONA,2.446983810838993e-06,17
KMD,7.350620501895143e-06,19
WAVES,1.077549282975912e-05,24
ZCL,1.306745351269343e-05,6
SXC,1.5078672198744977e-05,13
DCR,1.570147931455892e-05,18
USDT,1.6676206307929132e-05,5
CARBON,1.8979924725867845e-05,23
WBB,1.991988480175459e-05,30
SYS,2.2279479135947543e-05,17
ZEN,2.678127062649132e-05,20
DASH,2.895493165081616e-05,11
ACOIN,3.118650330028294e-05,28
ICON,3.2810521045361865e-05,9
RLC,4.118494882509561e-05,11
BITS,5.831786012083669e-05,11
VIDZ,6.68008220711671e-05,28
WYZ,6.727258403343793e-05,22
SC,8.975575010786904e-05,16
PXI,0.0001092765015553,6
MOTO,0.0001093770864791,30
CKC,0.0001334837407542,29
C2,0.0001409815585615,30
VAL,0.0001585689358966,28
ZEC,0.0002259905992478,17
IOTA,0.0003198117149073,15
SWING,0.0005638052249938,28
ICOB,0.0005809914437268,30
BERN,0.0011614280680486,16
AE,0.0011665969611548,8
XTO,0.0012676984436096,22
BTS,0.0013092995857915,18
ZET,0.0017470932756669,5
ADC,0.00196835361287,26
PIVX,0.0021175837908514,12
SKULL,0.0023061997799783,2
START,0.0026717028454489,28
POST,0.0030365831226257,2
COOL,0.0031662147065296,3
CSC,0.0033331502821557,2
QBC,0.0034963225889567,4
BOLI,0.0037410778672305,4
XQN,0.004172173239856,25
NAV,0.0042836032428343,17
AV,0.004938237395883,5
GBYTE,0.0049950307952332,26
PKB,0.0058032430407004,30
XPX,0.0061748728320946,4
NOBL,0.0070547109301879,28
BCN,0.0071112473048152,12
KIN,0.0076145758090306,17
RBY,0.0077159945837523,18
CREVA,0.0081101980030762,9
LBC,0.0091349877517119,19
HBD,0.0095244966224746,2
MCN,0.0122697928226648,2
FTC,0.0133329233545203,15
NMC,0.0138719604807004,3
BLK,0.014981950754824,22
TAJ,0.0160913055322135,7
XPY,0.0174738899798493,26
AGRS,0.0176444614497206,11
VLT,0.0190588576773661,29
BLAZR,0.0240814852050872,1
SNRG,0.0241538466803209,28
IRL,0.0242675369629889,29
SPR,0.0251781778687762,23
ADZ,0.0257992306720462,11
DCT,0.0269157949310395,18
FIRO,0.0282770472983254,17
XMS,0.0300454730409913,30
WINGS,0.0315851276496554,11
BTCS,0.0325582217548078,7
HNC,0.0326184120227331,30
OPAL,0.0347582075311957,30
SANDG,0.0386186049336762,27
EUC,0.0420161858759657,30
LANA,0.0483211840288255,1
XHI,0.0494175249892974,24
BLU,0.0527759773327522,26
CETI,0.0574454987105102,29
QTZ,0.058474597189375,1
SWT,0.059322300090787,29
SKR,0.064648624800299,29
NXT,0.0702091896460826,2
DCY,0.0710671439423664,2
KOBO,0.0723767126780409,7
FOREX,0.0740386408106741,14
BS,0.0750945978988466,15
HVCO,0.0787835850691138,30
FRN,0.0890829915332676,18
CJ,0.1113205933764934,24
VERI,0.1147769830046738,1
LMC,0.1221454526046802,30
ZYD,0.1224592882900663,12
2GIVE,0.1271579337122511,3
XBY,0.136108782093257,29
PZM,0.136337158865461,5
CRW,0.1368682878646848,13
AXIOM,0.1456564965187815,1
NEWB,0.1491576129050867,1
NXS,0.1510179490295312,8
ARGUS,0.1562151006274184,1
AMBER,0.1565963956504412,1
XCP,0.1631873260531323,3
NVC,0.1671696405101828,9
LAMB,0.1672228847313219,1
XPTX,0.1686224549644716,4
HBN,0.1689356635253573,1
JLP,0.1800637474604471,1
SIGNA,0.1825894550714902,1
ANT,0.1990476327988654,25
INF,0.2048844736052163,1
DEM,0.2068014716452714,27
XWC,0.2242401796473719,21
AMS,0.22692173493152,1
