,XRP
STEEM,2.5550781812617793e-13
XEM,3.922623837694469e-13
ZUR,4.4746522195158037e-13
GRS,4.8775009011431e-13
QTUM,2.3947323234843443e-11
RRT,8.786353964697764e-11
IFC,1.3993947759778224e-10
RBT,2.9818597859605133e-10
PXC,9.22677108576676e-10
ACES,3.262114587233519e-09
LSK,3.4799412374590906e-09
LTC,4.865227383014915e-09
PPC,9.210374214845617e-09
ETC,1.3231397952712396e-08
WGR,1.9489639115493682e-08
DOGE,2.4877679329294047e-08
VTC,3.677192149778154e-08
ARK,1.5206666945153113e-07
ETH,1.550136590692186e-07
CAB,1.8122309439922122e-07
GAS,2.2132189505535299e-07
BAT,2.4338127379034274e-07
IBANK,1.0153770337801411e-06
DGB,1.6397888509310005e-06
XMR,2.430226576406931e-06
TRST,2.901103805236807e-06
BTC,3.547058671787379e-06
EVIL,5.230259158184515e-06
RBIES,5.8657425207866205e-06
GNO,1.4845162820762231e-05
LTCR,1.9318480119795748e-05
MONA,8.710721032318127e-05
XLM,9.464208791415422e-05
WBB,0.0001378204049129
USDT,0.00016035906276195
KMD,0.0001632167234762
ZEN,0.00021461739310925
SYS,0.00026668773003235
CARBON,0.0002890132061114
WAVES,0.0003079106760423
SXC,0.00046914841919015
ICON,0.0006860872055988001
DASH,0.0007526634720621
EFL,0.00077958179963075
ZEC,0.00085594370114355
PHR,0.0008937317262307999
RLC,0.0009075383879571
SC,0.001014121118145
BITS,0.0011315031467806999
VIDZ,0.0011320108914622
C2,0.00131476643748345
ZCL,0.00144358086150225
DCR,0.00194623426573735
PXI,0.0021580548037082497
VEC2,0.00361069808027335
AE,0.0052727130748976
IOTA,0.005681856837215201
XTO,0.0056861421837314
LDOGE,0.00628242020619785
SKULL,0.0073008031160688
BERN,0.00734947430880415
ZET,0.0082195178912314
IMS,0.0084738581445076
VAL,0.0085991096770381
BTS,0.009623926059924449
ICOB,0.013908836246989052
MOTO,0.0201053528702689
ADC,0.02073906291616085
XPM,0.02553731142916435
ACOIN,0.026400303282982297
RBY,0.02709866781672825
NAV,0.0274159664224436
XPX,0.02746366951015245
AV,0.03282342975565275
PIVX,0.033211222119183745
XQN,0.03375883563242085
KIN,0.03875146556446275
HBD,0.0413282448550163
FTC,0.0438709257695993
QBC,0.044914284377384844
SWING,0.047067735450825196
BCN,0.0503395398510256
CSC,0.056368341899139696
LBC,0.0579407021411794
NMC,0.062005398029529854
AGRS,0.06427156943100505
START,0.06804820335773684
PAK,0.07203198600939185
FIRO,0.07225217431144484
TAJ,0.0831726140181932
CF,0.08939576350877035
CREVA,0.09053777167294824
BOLI,0.0961671734235642
ADZ,0.0963876309359091
GBYTE,0.10397901720873144
POST,0.1050069665616341
SPR,0.11300964182157561
LANA,0.11587908086749685
XHI,0.120646251391602
WYZ,0.12924507255556655
DCT,0.13235324968407813
WINGS,0.16112407245157245
TAB,0.16546571863838183
HNC,0.1811562772301794
SNRG,0.18270241311687185
VLT,0.18372307104137264
BS,0.1906705950270654
FOREX,0.19144538517587914
CJ,0.1949591102428596
EUC,0.22224336686527063
QTZ,0.2244556710436289
MCN,0.25174939328932044
CKC,0.25342032125263436
COOL,0.260426346583643
PKB,0.2634588698285325
BLU,0.2781135069224078
FRN,0.2859162628341242
BTCS,0.28941587326045526
SANDG,0.2924105900293541
ZYD,0.304863147955566
XPTX,0.32614420482035034
OPAL,0.3399530922882341
SKR,0.34479209519600473
2GIVE,0.350890933639039
NXS,0.37302953803763605
XMS,0.3751060571365208
HVCO,0.42944834088713957
SIGNA,0.4305721690297245
NVC,0.4311887479045215
DCY,0.4489144271604676
CRW,0.4707149005188952
NXT,0.47127734163169904
KURT,0.4723256279985874
42,0.4777641620173817
BLAZR,0.4975920177788762
VERI,0.5274022907941155
BLK,0.5363014382315879
KOBO,0.5460286923480987
CETI,0.5558079119189641
NOBL,0.5563938924554032
ANT,0.5682029154096531
AXIOM,0.5687086438596322
ZENI,0.5696906460342275
XPY,0.5722502238419931
AMBER,0.5742041845594699
PZM,0.6102609953880316
XST,0.6629541500555104
LOG,0.6652970038150754
XCP,0.6696974965182623
ARGUS,0.702063854579164
XBY,0.7231944819562921
EDRC,0.7296153992375116
NEWB,0.7421834072968739
JLP,0.7592153119411906
IRL,0.7623845693911688
CLUB,0.7898239114638919
LAMB,0.7916131521087395
MAY,0.7922671775431671
AMS,0.7937297872516161
DEM,0.803125980945957
MAID,0.8097574371488998
SWT,0.8209368909259159
XDN,0.8219189749398949
ALIAS,0.8244759377955758
ZER,0.825343472175817
XWC,0.8424113647477496
HBN,0.875833631546203
TES,0.8777259335388682
CLAM,0.8829256299569965
LMC,0.8898914619518485
BSTY,0.9080227022481124
OZO,0.9093426460525489
SWIFT,0.9145685864518411
BIS,0.9241683348086898
RDD,0.9353591567713145
CLOAK,0.93778634484014
CNT,0.9416261919176082
INF,0.9427157043278108
PLU,0.9433786807607126
XBC,0.9493675684432713
LUNC,0.9672637453580947
PTOY,0.9699357061056758
HMQ,0.9727260584601289
POT,0.9740151972095124
SILK,0.9753221121802074
PIE,0.9785872161400602
SIB,0.97967283106711
NEVA,0.9800012367357273
TECH,0.9825637520678392
IXC,0.9826523145928767
CANN,0.9889902998881471
BRIT,0.9893461167210604
GCC,0.9917665995964993
MST,0.993210447993465
BTB,0.9947596188568197
SLS,0.9985045106244783
WC,0.998692011987412
FRC,0.9987481626755328
BTA,0.9992651823603538
ILC,0.9993409974530654
LOOK,0.9996713949808359
DGC,0.9997007019510318
MNTC,0.9997130584884719
EQB,0.9998468457699041
SONG,0.9999433657442326
OK,0.9999703697176997
PASC,0.9999906063937729
PUT,0.9999999036527853
