TIMESTAMP,UNFK_OPEN_PRICE_USD,UNFK_HIGH_PRICE_USD,UNFK_LOW_PRICE_USD,UNFK_CLOSE_PRICE_USD,UNFK_VOLUME_USD,UNFK_DIVIDENDS_USD,UNFK_STOCK_SPLITS_USD
2024-11-20 00:00:00+00:00,,,,0.0,982952,0.0,0.0
2024-11-21 00:00:00+00:00,,,,0.0,799574,0.0,0.0
2024-11-22 00:00:00+00:00,,,,0.0,535770,0.0,0.0
2024-11-23 00:00:00+00:00,,,,0.0,1010378,0.0,0.0
2024-11-24 00:00:00+00:00,,,,0.0,478062,0.0,0.0
2024-11-25 00:00:00+00:00,,,,0.0,721698,0.0,0.0
2024-11-26 00:00:00+00:00,,,,0.0,1073582,0.0,0.0
2024-11-27 00:00:00+00:00,,,,0.0,590751,0.0,0.0
2024-11-28 00:00:00+00:00,,,,0.0,573413,0.0,0.0
2024-11-29 00:00:00+00:00,,,,0.0,442736,0.0,0.0
2024-11-30 00:00:00+00:00,,,,0.0,579773,0.0,0.0
2024-12-01 00:00:00+00:00,,,,0.0,458934,0.0,0.0
2024-12-02 00:00:00+00:00,,,,0.0,251083,0.0,0.0
2024-12-03 00:00:00+00:00,,,,0.0,447928,0.0,0.0
2024-12-04 00:00:00+00:00,,,,0.0,449736,0.0,0.0
2024-12-05 00:00:00+00:00,,,,0.0,390665,0.0,0.0
2024-12-06 00:00:00+00:00,,,,0.0,364970,0.0,0.0
2024-12-07 00:00:00+00:00,,,,0.0,462692,0.0,0.0
2024-12-08 00:00:00+00:00,,,,0.0,232560,0.0,0.0
2024-12-09 00:00:00+00:00,,,,0.0,194520,0.0,0.0
2024-12-10 00:00:00+00:00,,,,0.0,135518,0.0,0.0
2024-12-11 00:00:00+00:00,,,,0.0,226390,0.0,0.0
2024-12-12 00:00:00+00:00,,,,0.0,167322,0.0,0.0
2024-12-13 00:00:00+00:00,,,,0.0,191758,0.0,0.0
2024-12-14 00:00:00+00:00,,,,0.0,234045,0.0,0.0
2024-12-15 00:00:00+00:00,,,,0.0,346556,0.0,0.0
2024-12-16 00:00:00+00:00,,,,0.0,278905,0.0,0.0
2024-12-17 00:00:00+00:00,,,,0.0,393840,0.0,0.0
2024-12-18 00:00:00+00:00,,,,0.0,298857,0.0,0.0
2024-12-19 00:00:00+00:00,,,,0.0,310622,0.0,0.0
2024-12-20 00:00:00+00:00,,,,0.0,221785,0.0,0.0
2024-12-21 00:00:00+00:00,,,,0.0,191217,0.0,0.0
2024-12-22 00:00:00+00:00,,,,0.0,244699,0.0,0.0
2024-12-23 00:00:00+00:00,,,,0.0,280778,0.0,0.0
2024-12-24 00:00:00+00:00,,,,0.0,253644,0.0,0.0
2024-12-25 00:00:00+00:00,,,,0.0,235374,0.0,0.0
2024-12-26 00:00:00+00:00,,,,0.0,425093,0.0,0.0
2024-12-27 00:00:00+00:00,,,,0.0,224231,0.0,0.0
2024-12-28 00:00:00+00:00,,,,0.0,233534,0.0,0.0
2024-12-29 00:00:00+00:00,,,,0.0,262525,0.0,0.0
2024-12-30 00:00:00+00:00,,,,0.0,194313,0.0,0.0
2024-12-31 00:00:00+00:00,,,,0.0,302980,0.0,0.0
2025-01-01 00:00:00+00:00,,,,0.0,146520,0.0,0.0
2025-01-02 00:00:00+00:00,,,,0.0,217048,0.0,0.0
2025-01-03 00:00:00+00:00,,,,0.0,308995,0.0,0.0
2025-01-04 00:00:00+00:00,,,,0.0,143439,0.0,0.0
2025-01-05 00:00:00+00:00,,,,0.0,149954,0.0,0.0
2025-01-06 00:00:00+00:00,,,,0.0,180222,0.0,0.0
2025-01-07 00:00:00+00:00,,,,0.0,208544,0.0,0.0
2025-01-08 00:00:00+00:00,,,,0.0,190370,0.0,0.0
2025-01-09 00:00:00+00:00,,,,0.0,191217,0.0,0.0
