TIMESTAMP,BTC_MARKET_PRICE_USD,BTC_MARKET_CAP_USD,BTC_USD_EXCHANGE_TRADE_VOLUME,BTC_TOTAL_COINS
2009-01-02,0.0,0.0,0.0,50.0
2009-01-03,0.0,0.0,0.0,50.0
2009-01-04,0.0,0.0,0.0,50.0
2009-01-05,0.0,0.0,0.0,50.0
2009-01-06,0.0,0.0,0.0,50.0
2009-01-07,0.0,0.0,0.0,50.0
2009-01-08,0.0,0.0,0.0,750.0
2009-01-09,0.0,0.0,0.0,2300.0
2009-01-10,0.0,0.0,0.0,7600.0
2009-01-11,0.0,0.0,0.0,12050.0
2009-01-12,0.0,0.0,0.0,17800.0
2009-01-13,0.0,0.0,0.0,24100.0
2009-01-14,0.0,0.0,0.0,22050.0
2009-01-15,0.0,0.0,0.0,36250.0
2009-01-16,0.0,0.0,0.0,41650.0
2009-01-17,0.0,0.0,0.0,46700.0
2009-01-18,0.0,0.0,0.0,44050.0
2009-01-19,0.0,0.0,0.0,58450.0
2009-01-20,0.0,0.0,0.0,64100.0
2009-01-21,0.0,0.0,0.0,67850.0
2009-01-22,0.0,0.0,0.0,66050.0
2009-01-23,0.0,0.0,0.0,81150.0
2009-01-24,0.0,0.0,0.0,90850.0
2009-01-25,0.0,0.0,0.0,88050.0
2009-01-26,0.0,0.0,0.0,101800.0
2009-01-27,0.0,0.0,0.0,106950.0
2009-01-28,0.0,0.0,0.0,113050.0
2009-01-29,0.0,0.0,0.0,110050.0
2009-01-30,0.0,0.0,0.0,125550.0
2009-01-31,0.0,0.0,0.0,131350.0
2009-02-01,0.0,0.0,0.0,132150.0
2009-02-02,0.0,0.0,0.0,144500.0
2009-02-03,0.0,0.0,0.0,150650.0
2009-02-04,0.0,0.0,0.0,156700.0
2009-02-05,0.0,0.0,0.0,154150.0
2009-02-06,0.0,0.0,0.0,169450.0
2009-02-07,0.0,0.0,0.0,176150.0
2009-02-08,0.0,0.0,0.0,176150.0
2009-02-09,0.0,0.0,0.0,188900.0
2009-02-10,0.0,0.0,0.0,195450.0
2009-02-11,0.0,0.0,0.0,201350.0
2009-02-12,0.0,0.0,0.0,198150.0
2009-02-13,0.0,0.0,0.0,214600.0
2009-02-14,0.0,0.0,0.0,220700.0
2009-02-15,0.0,0.0,0.0,220200.0
2009-02-16,0.0,0.0,0.0,232750.0
2009-02-17,0.0,0.0,0.0,238950.0
2009-02-18,0.0,0.0,0.0,244800.0
2009-02-19,0.0,0.0,0.0,242200.0
2009-02-20,0.0,0.0,0.0,256700.0
2009-02-21,0.0,0.0,0.0,262750.0
2009-02-22,0.0,0.0,0.0,264200.0
2009-02-23,0.0,0.0,0.0,273650.0
2009-02-24,0.0,0.0,0.0,279000.0
2009-02-25,0.0,0.0,0.0,283800.0
2009-02-26,0.0,0.0,0.0,289950.0
2009-02-27,0.0,0.0,0.0,286200.0
2009-02-28,0.0,0.0,0.0,300350.0
2009-03-01,0.0,0.0,0.0,305550.0
2009-03-02,0.0,0.0,0.0,310850.0
2009-03-03,0.0,0.0,0.0,308200.0
2009-03-04,0.0,0.0,0.0,321450.0
2009-03-05,0.0,0.0,0.0,327350.0
2009-03-06,0.0,0.0,0.0,332900.0
2009-03-07,0.0,0.0,0.0,330550.0
2009-03-08,0.0,0.0,0.0,344150.0
2009-03-09,0.0,0.0,0.0,349400.0
2009-03-10,0.0,0.0,0.0,354800.0
2009-03-11,0.0,0.0,0.0,353000.0
2009-03-12,0.0,0.0,0.0,366400.0
2009-03-13,0.0,0.0,0.0,372200.0
2009-03-14,0.0,0.0,0.0,377750.0
2009-03-15,0.0,0.0,0.0,375100.0
2009-03-16,0.0,0.0,0.0,390000.0
2009-03-17,0.0,0.0,0.0,395500.0
2009-03-18,0.0,0.0,0.0,401600.0
2009-03-19,0.0,0.0,0.0,397150.0
2009-03-20,0.0,0.0,0.0,411350.0
2009-03-21,0.0,0.0,0.0,416100.0
2009-03-22,0.0,0.0,0.0,422700.0
2009-03-23,0.0,0.0,0.0,419500.0
2009-03-24,0.0,0.0,0.0,433750.0
2009-03-25,0.0,0.0,0.0,439400.0
2009-03-26,0.0,0.0,0.0,444900.0
2009-03-27,0.0,0.0,0.0,441600.0
2009-03-28,0.0,0.0,0.0,456450.0
2009-03-29,0.0,0.0,0.0,462700.0
2009-03-30,0.0,0.0,0.0,463650.0
2009-03-31,0.0,0.0,0.0,473700.0
2009-04-01,0.0,0.0,0.0,479700.0
2009-04-02,0.0,0.0,0.0,485350.0
2009-04-03,0.0,0.0,0.0,491000.0
2009-04-04,0.0,0.0,0.0,488250.0
2009-04-05,0.0,0.0,0.0,503200.0
2009-04-06,0.0,0.0,0.0,508150.0
2009-04-07,0.0,0.0,0.0,513350.0
2009-04-08,0.0,0.0,0.0,510350.0
2009-04-09,0.0,0.0,0.0,523450.0
2009-04-10,0.0,0.0,0.0,529550.0
