,MSE,MAE,RMSE,MAPE,R2
0,79.72261953945149,6.863735270182289,8.928752406660825,0.04534565598398634,0.8115054422274017
1,16.804180036676453,3.2422339654737886,4.099290186931935,0.025290892409640494,0.812556173105347
2,51.59911405077376,5.666737434633315,7.183252330996995,0.033608888878301116,0.762462690423446
3,146.09830303030995,8.070282084147136,12.08711309744018,0.0454639996589982,0.7121675038497328
4,52.05234394166349,5.77234369093372,7.214731037375093,0.031184436448376745,0.4919355073409136
5,200.07576090285258,10.281893310546879,14.144813922524841,0.045521979362401196,0.6697485103914498
6,60.16899644143278,5.373616667716734,7.75686769523838,0.03399946004926988,0.7363136153181967
7,30.573645946215763,4.239908083023563,5.529344079202864,0.032773869475624155,0.8788553849402687
8,35.0211323151192,4.815935298374723,5.917865520195538,0.040459339142254074,0.7066010436407661
9,15.151873190745622,3.1135416338520656,3.8925407115077966,0.027953373053061264,0.8485464829368317
10,18.41879639988151,3.3987788391113276,4.291712525307527,0.031380793424529284,0.7237044694715262
11,32.837567267006264,3.953173114407447,5.730407251409472,0.053182900315138636,0.8228945212935075
Mean,61.54369442184407,5.399348282700249,7.231390897065953,0.037180465683465114,0.7481076120782825
