TIMESTAMP,PEPPER_OPEN_PRICE_USD,PEPPER_HIGH_PRICE_USD,PEPPER_LOW_PRICE_USD,PEPPER_CLOSE_PRICE_USD,PEPPER_VOLUME_USD,PEPPER_DIVIDENDS_USD,PEPPER_STOCK_SPLITS_USD
2024-10-24 00:00:00+00:00,,,,0.0,382607,0.0,0.0
2024-10-25 00:00:00+00:00,,,,0.0,350489,0.0,0.0
2024-10-26 00:00:00+00:00,,,,0.0,338881,0.0,0.0
2024-10-27 00:00:00+00:00,,,,0.0,301803,0.0,0.0
2024-10-28 00:00:00+00:00,,,,0.0,293702,0.0,0.0
2024-10-29 00:00:00+00:00,,,,0.0,355676,0.0,0.0
2024-10-30 00:00:00+00:00,,,,0.0,459554,0.0,0.0
2024-10-31 00:00:00+00:00,,,,0.0,437982,0.0,0.0
2024-11-01 00:00:00+00:00,,,,0.0,453447,0.0,0.0
2024-11-02 00:00:00+00:00,,,,0.0,418884,0.0,0.0
2024-11-03 00:00:00+00:00,,,,0.0,361454,0.0,0.0
2024-11-04 00:00:00+00:00,,,,0.0,336221,0.0,0.0
2024-11-05 00:00:00+00:00,,,,0.0,331810,0.0,0.0
2024-11-06 00:00:00+00:00,,,,0.0,313304,0.0,0.0
2024-11-07 00:00:00+00:00,,,,0.0,299164,0.0,0.0
2024-11-08 00:00:00+00:00,,,,0.0,281370,0.0,0.0
2024-11-09 00:00:00+00:00,,,,0.0,289702,0.0,0.0
2024-11-10 00:00:00+00:00,,,,0.0,301246,0.0,0.0
2024-11-11 00:00:00+00:00,,,,0.0,304530,0.0,0.0
2024-11-12 00:00:00+00:00,,,,0.0,262365,0.0,0.0
2024-11-13 00:00:00+00:00,,,,0.0,201645,0.0,0.0
2024-11-14 00:00:00+00:00,,,,0.0,184592,0.0,0.0
2024-11-15 00:00:00+00:00,,,,0.0,204403,0.0,0.0
2024-11-16 00:00:00+00:00,,,,0.0,191760,0.0,0.0
2024-11-17 00:00:00+00:00,,,,0.0,217729,0.0,0.0
2024-11-18 00:00:00+00:00,,,,0.0,272675,0.0,0.0
2024-11-19 00:00:00+00:00,,,,0.0,294256,0.0,0.0
2024-11-20 00:00:00+00:00,,,,0.0,342731,0.0,0.0
2024-11-21 00:00:00+00:00,,,,0.0,382664,0.0,0.0
2024-11-22 00:00:00+00:00,,,,0.0,391152,0.0,0.0
2024-11-23 00:00:00+00:00,,,,0.0,463006,0.0,0.0
2024-11-24 00:00:00+00:00,,,,0.0,460154,0.0,0.0
2024-11-25 00:00:00+00:00,,,,0.0,442003,0.0,0.0
