TIMESTAMP,EDOGE_OPEN_PRICE_USD,EDOGE_HIGH_PRICE_USD,EDOGE_LOW_PRICE_USD,EDOGE_CLOSE_PRICE_USD,EDOGE_VOLUME_USD,EDOGE_DIVIDENDS_USD,EDOGE_STOCK_SPLITS_USD
2021-05-25 00:00:00+00:00,,,,0.0,15366344,0.0,0.0
2021-05-26 00:00:00+00:00,,,,0.0,18736615,0.0,0.0
2021-05-27 00:00:00+00:00,,,,0.0,2305010,0.0,0.0
2021-05-28 00:00:00+00:00,,,,0.0,778040,0.0,0.0
2021-05-29 00:00:00+00:00,,,,0.0,247367,0.0,0.0
2021-05-30 00:00:00+00:00,,,,0.0,154633,0.0,0.0
2021-05-31 00:00:00+00:00,,,,0.0,169512,0.0,0.0
2021-06-01 00:00:00+00:00,,,,0.0,194609,0.0,0.0
2021-06-02 00:00:00+00:00,,,,0.0,220974,0.0,0.0
2021-06-03 00:00:00+00:00,,,,0.0,485506,0.0,0.0
2021-06-04 00:00:00+00:00,,,,0.0,430639,0.0,0.0
2021-06-05 00:00:00+00:00,,,,0.0,194885,0.0,0.0
2021-06-06 00:00:00+00:00,,,,0.0,172465,0.0,0.0
2021-06-07 00:00:00+00:00,,,,0.0,88338,0.0,0.0
2021-06-08 00:00:00+00:00,,,,0.0,69912,0.0,0.0
2021-06-09 00:00:00+00:00,,,,0.0,60920,0.0,0.0
2021-06-10 00:00:00+00:00,,,,0.0,37510,0.0,0.0
2021-06-11 00:00:00+00:00,,,,0.0,32844,0.0,0.0
2021-06-12 00:00:00+00:00,,,,0.0,27242,0.0,0.0
2021-06-13 00:00:00+00:00,,,,0.0,25223,0.0,0.0
2021-06-14 00:00:00+00:00,,,,0.0,16385,0.0,0.0
2021-06-15 00:00:00+00:00,,,,0.0,28969,0.0,0.0
2021-06-16 00:00:00+00:00,,,,0.0,36128,0.0,0.0
2021-06-17 00:00:00+00:00,,,,0.0,35249,0.0,0.0
2021-06-18 00:00:00+00:00,,,,0.0,28562,0.0,0.0
2021-06-19 00:00:00+00:00,,,,0.0,10832,0.0,0.0
2021-06-20 00:00:00+00:00,,,,0.0,8335,0.0,0.0
2021-06-21 00:00:00+00:00,,,,0.0,9746,0.0,0.0
2021-06-22 00:00:00+00:00,,,,0.0,15000,0.0,0.0
2021-06-23 00:00:00+00:00,,,,0.0,17764,0.0,0.0
2021-06-24 00:00:00+00:00,,,,0.0,11802,0.0,0.0
2021-06-25 00:00:00+00:00,,,,0.0,10873,0.0,0.0
2021-06-26 00:00:00+00:00,,,,0.0,6440,0.0,0.0
2021-06-27 00:00:00+00:00,,,,0.0,9293,0.0,0.0
2021-06-28 00:00:00+00:00,,,,0.0,15827,0.0,0.0
2021-06-29 00:00:00+00:00,,,,0.0,22164,0.0,0.0
2021-06-30 00:00:00+00:00,,,,0.0,15955,0.0,0.0
2021-07-01 00:00:00+00:00,,,,0.0,7313,0.0,0.0
2021-07-02 00:00:00+00:00,,,,0.0,16379,0.0,0.0
2021-07-03 00:00:00+00:00,,,,0.0,21561,0.0,0.0
2021-07-04 00:00:00+00:00,,,,0.0,19975,0.0,0.0
2021-07-05 00:00:00+00:00,,,,0.0,73711,0.0,0.0
2021-07-06 00:00:00+00:00,,,,0.0,104048,0.0,0.0
