,XRP
RLC,2.6064729305579307e-06
ETC,0.03303413948579832
DOGE,0.033043687481600935
DGB,0.05535852175076975
QTUM,0.06119483758929149
SC,0.06981022715733927
LSK,0.0758964651762158
BTC,0.12524794213965226
LTC,0.15346051991196688
KMD,0.23733663979080458
PIVX,0.24103387348171604
XMR,0.241934475371414
ETH,0.2570083387211143
DASH,0.26113453415067744
SYS,0.2741238902683035
XEM,0.27591621485727374
ZEC,0.28140508476753795
STEEM,0.2898851919435888
MIOTA,0.3254329578661366
GNO,0.3380768422903577
XLM,0.34115093800741325
ARK,0.3561013897165443
BAT,0.37955511783591195
ZEN,0.4059353123648718
LUNC,0.5137014116177416
BTS,0.5529379541374136
DCR,0.6285785619550703
WAVES,0.7613290762196673
GAS,0.7976141188410758
ANT,0.8240413483340083
FIRO,0.9898057104392699
