,XRP,Lag
RLC,4.9787677308498216e-14,1
DOGE,9.479263420283157e-14,26
SC,1.4824514429891916e-06,28
QTUM,0.0017328509329125,30
DGB,0.0018664850882899,27
ETC,0.0037265005424421,11
LTC,0.0059845932050832,9
LSK,0.0081563527507852,5
BTC,0.0197768774425738,8
ETH,0.0215951297389564,2
KMD,0.0243987862674123,1
DASH,0.0290424379607967,10
GNO,0.0290474012734365,5
XLM,0.0380105927904923,30
LUNC,0.0399542581555903,28
PIVX,0.0413382180121182,29
SYS,0.0439568922701836,2
XMR,0.047954019878977,10
XEM,0.0756109544739685,1
STEEM,0.0766579244866953,2
MIOTA,0.0835657955252415,1
BTS,0.1098079017051707,2
ZEC,0.111012017715847,10
ZEN,0.1111161483509851,2
GAS,0.1138140437097962,1
BAT,0.1398174544651063,28
ARK,0.1434553064512836,13
DCR,0.1687214377460898,29
WAVES,0.4137011311073607,30
ANT,0.4886307185012312,1
FIRO,0.8952564418651824,1
