TIMESTAMP,PUP36111_OPEN_PRICE_USD,PUP36111_HIGH_PRICE_USD,PUP36111_LOW_PRICE_USD,PUP36111_CLOSE_PRICE_USD,PUP36111_VOLUME_USD,PUP36111_DIVIDENDS_USD,PUP36111_STOCK_SPLITS_USD
2025-04-01 00:00:00+00:00,,,,0.0,361,0.0,0.0
2025-04-02 00:00:00+00:00,,,,0.0,805,0.0,0.0
2025-04-03 00:00:00+00:00,,,,0.0,342,0.0,0.0
2025-04-05 00:00:00+00:00,,,,0.0,74,0.0,0.0
2025-04-07 00:00:00+00:00,,,,0.0,334,0.0,0.0
2025-04-20 00:00:00+00:00,,,,0.0,95,0.0,0.0
2025-04-23 00:00:00+00:00,,,,0.0,54,0.0,0.0
2025-04-27 00:00:00+00:00,,,,0.0,6,0.0,0.0
2025-05-24 00:00:00+00:00,,,,0.0,4,0.0,0.0
2025-06-01 00:00:00+00:00,2.7311999707744887e-14,2.7311999707744887e-14,2.693099920587222e-14,2.693148032058626e-14,5,0.0,0.0
