,ETH
GNO,0.819284759505719
LTC,0.7930139872639357
BTC,0.7787144450676279
ETC,0.7363130333832361
QTUM,0.7178507301013548
MIOTA,0.7015496577455558
ZEC,0.6855523006094135
DASH,0.6754563589328643
XMR,0.6698153655996889
BAT,0.658930746621113
XLM,0.636652182126912
XRP,0.6205657058736631
DGB,0.6157721992640207
LSK,0.6099015634987403
PIVX,0.6014396505704949
XEM,0.5905468864516322
SC,0.5830350503400383
ZEN,0.5753793611891612
DCR,0.5664491808510806
RLC,0.5569931406167196
ANT,0.5505773558456983
STEEM,0.5503143007441792
WAVES,0.5407639693837376
SYS,0.5390625393508643
BTS,0.516444380302699
GAS,0.4806943720288743
KMD,0.4790342644098779
FIRO,0.4677645963430825
ARK,0.446811885317167
LUNC,0.4369803800739216
DOGE,0.3198392741702414
