,ETH
LTC,0.771044912066257
BTC,0.757129714166187
GNO,0.7343829767874792
ETC,0.7042854713388103
QTUM,0.6843693882361276
ZEC,0.6708683532047378
MIOTA,0.6641607163724192
DASH,0.6522941952115542
XMR,0.6351704227043238
BAT,0.6238739204119967
XLM,0.612663260964006
DGB,0.5837952919372356
XRP,0.5836925106807402
PIVX,0.5516050787942414
ZEN,0.5493557710935031
SC,0.5482805440265317
XEM,0.5444375134349057
LSK,0.5428258212246965
ANT,0.5084176163121542
WAVES,0.5018562296858967
STEEM,0.4940892478062278
BTS,0.4910224882305172
DCR,0.4879787911945707
SYS,0.4804703068215121
GAS,0.4691987200760835
KMD,0.4527934481155081
ARK,0.4469881745407056
LUNC,0.4308021740357598
FIRO,0.4209578205540564
RLC,0.3428373300475962
DOGE,0.320626129169842
