TIMESTAMP,AIDOGEXLM_OPEN_PRICE_USD,AIDOGEXLM_HIGH_PRICE_USD,AIDOGEXLM_LOW_PRICE_USD,AIDOGEXLM_CLOSE_PRICE_USD,AIDOGEXLM_VOLUME_USD,AIDOGEXLM_DIVIDENDS_USD,AIDOGEXLM_STOCK_SPLITS_USD
2023-05-30 00:00:00+00:00,7.400000322377309e-05,8.600000001024455e-05,7.200000254670158e-05,7.899999764049426e-05,469141,0.0,0.0
2023-05-31 00:00:00+00:00,7.899999764049426e-05,8.70000003487803e-05,7.79999973019585e-05,8.499999967170879e-05,25878,0.0,0.0
2023-06-01 00:00:00+00:00,8.499999967170879e-05,8.600000001024455e-05,6.70000008540228e-05,7.300000288523734e-05,319454,0.0,0.0
2023-06-02 00:00:00+00:00,7.300000288523734e-05,7.300000288523734e-05,5.700000110664405e-05,6.299999949987978e-05,27370,0.0,0.0
2023-06-03 00:00:00+00:00,6.299999949987978e-05,6.299999949987978e-05,4.999999873689376e-05,5.400000009103678e-05,192972,0.0,0.0
2023-06-04 00:00:00+00:00,5.400000009103678e-05,5.6000000768108293e-05,4.600000102072954e-05,4.999999873689376e-05,854585,0.0,0.0
2023-06-05 00:00:00+00:00,4.999999873689376e-05,5.199999941396527e-05,3.5000000934815034e-05,3.7999998312443495e-05,107336,0.0,0.0
2023-06-06 00:00:00+00:00,3.7999998312443495e-05,3.899999865097925e-05,2.9999999242136255e-05,3.5000000934815034e-05,321254,0.0,0.0
2023-06-07 00:00:00+00:00,3.5000000934815034e-05,3.7999998312443495e-05,2.9999999242136255e-05,3.199999991920777e-05,8001,0.0,0.0
2023-06-08 00:00:00+00:00,3.199999991920777e-05,3.300000025774352e-05,2.9999999242136255e-05,2.9999999242136255e-05,249816,0.0,0.0
2023-06-09 00:00:00+00:00,2.9999999242136255e-05,4.8000001697801054e-05,2.9999999242136255e-05,3.099999958067201e-05,244199,0.0,0.0
2023-06-10 00:00:00+00:00,3.099999958067201e-05,6.70000008540228e-05,2.9999999242136255e-05,4.70000013592653e-05,461699,0.0,0.0
2023-06-11 00:00:00+00:00,4.70000013592653e-05,4.999999873689376e-05,4.5000000682193786e-05,4.5000000682193786e-05,5026,0.0,0.0
2023-06-12 00:00:00+00:00,4.5000000682193786e-05,4.999999873689376e-05,4.400000034365803e-05,4.999999873689376e-05,127772,0.0,0.0
2023-06-13 00:00:00+00:00,4.999999873689376e-05,5.900000178371556e-05,4.8000001697801054e-05,5.2999999752501026e-05,2687,0.0,0.0
2023-06-14 00:00:00+00:00,5.2999999752501026e-05,5.8000001445179805e-05,4.70000013592653e-05,4.8999998398358e-05,127703,0.0,0.0
2023-06-15 00:00:00+00:00,4.8999998398358e-05,4.999999873689376e-05,4.3000000005122274e-05,4.600000102072954e-05,2925,0.0,0.0
2023-06-16 00:00:00+00:00,4.600000102072954e-05,4.999999873689376e-05,4.3000000005122274e-05,4.70000013592653e-05,429,0.0,0.0
2023-06-17 00:00:00+00:00,4.70000013592653e-05,4.999999873689376e-05,4.5000000682193786e-05,4.8000001697801054e-05,94547,0.0,0.0
2023-06-18 00:00:00+00:00,4.8000001697801054e-05,4.999999873689376e-05,4.199999966658652e-05,4.999999873689376e-05,2261,0.0,0.0
2023-06-19 00:00:00+00:00,4.999999873689376e-05,4.999999873689376e-05,4.5000000682193786e-05,4.8999998398358e-05,89517,0.0,0.0
2023-06-20 00:00:00+00:00,4.8999998398358e-05,4.8999998398358e-05,4.3000000005122274e-05,4.600000102072954e-05,2425,0.0,0.0
2023-06-21 00:00:00+00:00,4.600000102072954e-05,4.600000102072954e-05,4.5000000682193786e-05,4.5000000682193786e-05,160614,0.0,0.0
2023-06-22 00:00:00+00:00,4.5000000682193786e-05,5.8000001445179805e-05,4.3000000005122274e-05,4.3000000005122274e-05,4774,0.0,0.0
2023-06-23 00:00:00+00:00,4.3000000005122274e-05,4.600000102072954e-05,4.199999966658652e-05,4.5000000682193786e-05,3565,0.0,0.0
2023-06-24 00:00:00+00:00,4.5000000682193786e-05,4.5000000682193786e-05,3.9999998989515007e-05,4.199999966658652e-05,1986,0.0,0.0
2023-06-25 00:00:00+00:00,4.199999966658652e-05,4.400000034365803e-05,3.9999998989515007e-05,4.3000000005122274e-05,1340,0.0,0.0
2023-06-26 00:00:00+00:00,4.3000000005122274e-05,4.3000000005122274e-05,4.099999932805076e-05,4.099999932805076e-05,894,0.0,0.0
