TIMESTAMP,ANT_OPEN_PRICE_USDT,ANT_HIGH_PRICE_USDT,ANT_LOW_PRICE_USDT,ANT_CLOSE_PRICE_USDT,ANT_FIRST_TRADE_PRICE_USDT,ANT_HIGH_TRADE_PRICE_USDT,ANT_LOW_TRADE_PRICE_USDT,ANT_LAST_TRADE_PRICE_USDT,ANT_TOTAL_TRADE_COUNT,ANT_TOTAL_TRADES_BUY,ANT_TOTAL_TRADES_SELL,ANT_VOLUME_USDT,ANT_QUOTE_VOLUME,ANT_VOLUME_BUY,ANT_QUOTE_VOLUME_BUY,ANT_VOLUME_SELL,ANT_QUOTE_VOLUME_SELL
2020-08-13,7.55,43.0,4.8,6.6554,7.55,43.0,4.8,6.6554,79120,41495,37625,4401320.43,34731305.812374,2060524.36,16422554.625896,2340796.07,18308751.186478
2020-08-14,6.6554,7.1866,5.9999,6.1723,6.6489,7.1866,5.9999,6.1723,29668,15763,13905,1092018.81,7252506.577974,451018.26,2994045.124859,641000.55,4258461.453115
2020-08-15,6.1723,6.4994,5.6161,5.995,6.1723,6.4994,5.6161,5.995,21446,11059,10387,820325.2,4895877.505474,385461.4,2303415.89486,434863.8,2592461.610614
2020-08-16,5.995,6.4,5.9,6.1129,5.995,6.4,5.9,6.1129,9434,4617,4817,337278.41,2067932.474975,161221.02,990772.248302,176057.39,1077160.226673
2020-08-17,6.1129,6.1833,5.7014,6.157,6.1129,6.1833,5.7014,6.157,10222,5195,5027,489352.23,2910162.287092,235333.22,1400592.930127,254019.01,1509569.356965
2020-08-18,6.157,6.664,5.6318,5.73,6.1217,6.664,5.6318,5.73,16684,8774,7910,767187.74,4706725.83205,383230.12,2353654.358729,383957.62,2353071.473321
2020-08-19,5.73,5.9271,5.0714,5.2541,5.7536,5.9271,5.0714,5.2541,11400,5569,5831,503913.22,2711237.731268,230270.98,1239203.96054,273642.24,1472033.770728
2020-08-20,5.2541,5.5445,4.9608,5.3627,5.2541,5.5445,4.9608,5.3627,9419,4766,4653,452362.14,2384573.50119,216800.41,1143615.80768,235561.73,1240957.69351
2020-08-21,5.3627,5.3627,4.7802,4.9037,5.3428,5.3481,4.7802,4.9037,8598,4312,4286,461136.39,2356566.601592,215040.29,1100204.972577,246096.1,1256361.629015
2020-08-22,4.9037,5.55,4.58,5.3537,4.9323,5.55,4.58,5.3537,13762,6888,6874,769000.52,3915893.279393,354297.08,1800693.862931,414703.44,2115199.416462
2020-08-23,5.3537,6.3672,5.1473,6.1525,5.3508,6.3672,5.1473,6.1525,19260,10036,9224,1206057.83,7001733.939679,581852.18,3374510.339506,624205.65,3627223.600173
2020-08-24,6.1525,7.3595,6.1525,6.8723,6.2041,7.3595,6.1525,6.8723,33072,16858,16214,1761648.06,12097890.950319,854855.76,5857581.96165,906792.3,6240308.988669
2020-08-25,6.8723,7.6064,6.4501,7.2754,6.8796,7.6064,6.4501,7.2754,30267,15618,14649,1487728.97,10499503.864031,730644.9,5140805.986187,757084.07,5358697.877844
2020-08-26,7.2754,10.8888,7.1361,9.615,7.257,10.8888,7.1361,9.615,66000,32430,33570,3238367.16,28938871.600783,1539277.89,13802579.046545,1699089.27,15136292.554238
2020-08-27,9.615,10.38,7.2101,8.3366,9.6518,10.38,7.2101,8.3366,53659,26013,27646,2369819.02,20961093.56963,1125889.95,9971617.429204,1243929.07,10989476.140426
2020-08-28,8.3366,8.3836,7.39,7.942,8.33,8.3836,7.39,7.942,21445,11141,10304,894923.8,6972536.2444,454978.0,3543657.379918,439945.8,3428878.864482
2020-08-29,7.942,7.942,7.2143,7.3695,7.942,7.942,7.2143,7.3695,18789,9611,9178,850168.72,6419238.417915,442803.63,3340000.759219,407365.09,3079237.658696
2020-08-30,7.3695,9.1628,7.2337,8.9414,7.358,9.1628,7.2337,8.9414,36565,18317,18248,1332900.2,11128359.104084,651441.58,5416238.891706,681458.62,5712120.212378
2020-08-31,8.9414,8.957,7.8,8.18,8.934,8.957,7.8,8.18,27371,13202,14169,1026924.55,8427703.460511,480140.29,3936849.66629,546784.26,4490853.794221
2020-09-01,8.18,8.5,7.3145,7.4176,8.1752,8.5,7.3145,7.4176,17205,8553,8652,630139.63,5008800.699014,320361.0,2545924.04815,309778.63,2462876.650864
2020-09-02,7.4176,7.5378,5.7777,6.346,7.4171,7.5378,5.7777,6.346,25258,12092,13166,1037862.12,6902196.45637,480708.44,3193742.940545,557153.68,3708453.515825
2020-09-03,6.346,6.3769,4.8275,4.8275,6.3292,6.3769,4.8275,4.8275,20901,9995,10906,951356.59,5490045.757615,454502.01,2628830.564719,496854.58,2861215.192896
2020-09-04,4.8275,5.8977,4.65,5.5276,4.8331,5.8977,4.65,5.5276,16319,7864,8455,802123.5,4146892.397931,382869.87,1975302.743775,419253.63,2171589.654156
2020-09-05,5.5276,5.6099,4.0,4.3315,5.5276,5.6099,4.0,4.3315,12303,6167,6136,674124.81,3168095.701303,334382.18,1570037.670603,339742.63,1598058.0307
2020-09-06,4.3315,5.3279,3.7682,4.7415,4.2696,5.3279,3.7682,4.7415,9994,5106,4888,654329.05,2870121.995185,327344.56,1436837.086306,326984.49,1433284.908879
2020-09-07,4.7415,4.925,4.01,4.5307,4.7296,4.925,4.01,4.5307,5823,2665,3158,346788.37,1536481.7677,163219.45,723899.94812,183568.92,812581.81958
2020-09-08,4.5307,4.5557,3.9006,4.0295,4.535,4.5557,3.9006,4.0295,5602,2804,2798,293976.57,1241249.792233,138332.99,586204.985964,155643.58,655044.806269
2020-09-09,4.0295,4.6435,3.9054,4.6143,4.034,4.6435,3.9054,4.6143,9127,4566,4561,537347.2,2280504.096463,265174.62,1124263.083762,272172.58,1156241.012701
2020-09-10,4.6143,4.7498,4.3495,4.6161,4.605,4.7498,4.3495,4.6161,11536,5372,6164,673474.69,3071532.35537,307320.75,1401774.154118,366153.94,1669758.201252
2020-09-11,4.6161,4.629,4.0826,4.4373,4.6142,4.629,4.0826,4.4373,9634,4588,5046,516931.72,2239579.005477,254221.89,1101831.581407,262709.83,1137747.42407
2020-09-12,4.4373,4.8829,4.2761,4.786,4.4373,4.8829,4.2761,4.786,9449,4624,4825,484229.4,2183891.398427,234971.81,1059998.6853,249257.59,1123892.713127
2020-09-13,4.786,5.2719,4.6075,4.9513,4.7998,5.2719,4.6075,4.9513,22319,10252,12067,1403711.22,7002959.310329,647952.72,3232636.694395,755758.5,3770322.615934
2020-09-14,4.9513,5.9946,4.8352,5.5263,4.9497,5.9946,4.8352,5.5263,22528,10301,12227,1399803.14,7514510.135102,645528.49,3458057.049044,754274.65,4056453.086058
2020-09-15,5.5263,5.8195,4.311,4.3375,5.5209,5.8195,4.311,4.3375,21282,9769,11513,1284827.85,6431850.619066,624388.67,3111741.520028,660439.18,3320109.099038
2020-09-16,4.3375,4.5633,4.1361,4.399,4.3369,4.5633,4.1361,4.399,9904,4491,5413,541684.61,2363554.17402,264268.54,1152481.106431,277416.07,1211073.067589
2020-09-17,4.399,4.78,4.1619,4.2963,4.3908,4.78,4.1619,4.2963,11999,5688,6311,632442.13,2735657.366684,292833.43,1268582.433486,339608.7,1467074.933198
2020-09-18,4.2963,4.55,4.2435,4.3064,4.2963,4.55,4.2435,4.3064,9480,4673,4807,462469.63,2002593.331368,220514.68,955557.808868,241954.95,1047035.5225
2020-09-19,4.3064,4.3409,4.04,4.2204,4.3125,4.3409,4.04,4.2204,10575,4760,5815,594503.58,2491632.231112,267243.09,1118836.228799,327260.49,1372796.002313
2020-09-20,4.2204,4.2507,3.7001,3.7598,4.2131,4.2507,3.7001,3.7598,11679,5326,6353,642279.93,2550576.093638,291823.25,1158214.076168,350456.68,1392362.01747
2020-09-21,3.7598,3.8987,2.9364,3.1695,3.7582,3.8987,2.9364,3.1695,24871,11653,13218,1545577.13,5068061.41208,742227.39,2430258.912924,803349.74,2637802.499156
2020-09-22,3.1695,3.3077,2.9784,3.2898,3.1747,3.3077,2.9784,3.2898,19853,10674,9179,1261983.41,4044892.401293,650556.54,2084312.260327,611426.87,1960580.140966
2020-09-23,3.2898,3.3078,3.011,3.111,3.289,3.3078,3.011,3.111,15031,8008,7023,866429.29,2741399.13836,433398.7,1370673.616061,433030.59,1370725.522299
2020-09-24,3.111,3.3866,3.0143,3.3486,3.1147,3.3866,3.0143,3.3486,11820,6451,5369,684904.69,2195215.689578,348536.06,1118206.864821,336368.63,1077008.824757
2020-09-25,3.3486,3.8389,3.3,3.7734,3.3499,3.8389,3.3,3.7734,12696,6690,6006,733126.07,2590932.457626,376852.0,1332347.60583,356274.07,1258584.851796
2020-09-26,3.7734,3.7891,3.5001,3.6092,3.7766,3.7891,3.5001,3.6092,9371,4717,4654,485350.57,1752631.668882,237783.08,858215.363949,247567.49,894416.304933
2020-09-27,3.6092,3.6591,3.1998,3.3498,3.6028,3.6591,3.1998,3.3498,11802,5724,6078,768845.31,2576251.252106,407972.09,1365748.530281,360873.22,1210502.721825
2020-09-28,3.3498,3.5431,3.3,3.376,3.3529,3.5431,3.3,3.376,10221,5029,5192,597169.72,2049879.179773,289982.23,995398.164307,307187.49,1054481.015466
2020-09-29,3.376,3.8299,3.3262,3.689,3.3711,3.8299,3.3262,3.689,15423,8004,7419,886541.47,3203507.285199,455433.95,1648103.007693,431107.52,1555404.277506
2020-09-30,3.689,3.7209,3.4518,3.6753,3.689,3.7209,3.4518,3.6753,8312,4052,4260,438510.53,1567187.674729,209874.29,749468.284095,228636.24,817719.390634
2020-10-01,3.6753,3.8715,3.4852,3.7785,3.6784,3.8715,3.4852,3.7785,9387,4710,4677,500396.18,1854213.510583,253221.77,938555.591268,247174.41,915657.919315
2020-10-02,3.7785,3.7836,3.3165,3.5226,3.777,3.7836,3.3165,3.5226,6614,3059,3555,360459.84,1267630.187972,168993.26,594069.326572,191466.58,673560.8614
