TIMESTAMP,DOGB_OPEN_PRICE_USD,DOGB_HIGH_PRICE_USD,DOGB_LOW_PRICE_USD,DOGB_CLOSE_PRICE_USD,DOGB_VOLUME_USD,DOGB_DIVIDENDS_USD,DOGB_STOCK_SPLITS_USD
2023-11-16 00:00:00+00:00,,,,0.0,167737,0.0,0.0
2023-11-17 00:00:00+00:00,,,,0.0,106244,0.0,0.0
2023-11-18 00:00:00+00:00,,,,0.0,14298,0.0,0.0
2023-11-19 00:00:00+00:00,,,,0.0,11615,0.0,0.0
2023-11-20 00:00:00+00:00,,,,0.0,7280,0.0,0.0
2023-11-21 00:00:00+00:00,,,,0.0,2335,0.0,0.0
2023-11-22 00:00:00+00:00,,,,0.0,10074,0.0,0.0
2023-11-23 00:00:00+00:00,,,,0.0,5211,0.0,0.0
2023-11-24 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,8466,0.0,0.0
2023-11-25 00:00:00+00:00,,,,0.0,10619,0.0,0.0
2023-11-26 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,3156,0.0,0.0
2023-11-27 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,84556,0.0,0.0
2023-11-28 00:00:00+00:00,,,,0.0,72098,0.0,0.0
2023-11-29 00:00:00+00:00,,,,0.0,23807,0.0,0.0
2023-11-30 00:00:00+00:00,,,,0.0,10824,0.0,0.0
2023-12-01 00:00:00+00:00,,,,0.0,22803,0.0,0.0
2023-12-02 00:00:00+00:00,,,,0.0,15866,0.0,0.0
2023-12-03 00:00:00+00:00,,,,0.0,12887,0.0,0.0
2023-12-04 00:00:00+00:00,,,,0.0,10526,0.0,0.0
2023-12-05 00:00:00+00:00,,,,0.0,14415,0.0,0.0
2023-12-06 00:00:00+00:00,,,,0.0,14155,0.0,0.0
2023-12-07 00:00:00+00:00,,,,0.0,14928,0.0,0.0
2023-12-08 00:00:00+00:00,,,,0.0,2851,0.0,0.0
2023-12-09 00:00:00+00:00,,,,0.0,92005,0.0,0.0
2023-12-10 00:00:00+00:00,,,,0.0,12431,0.0,0.0
2023-12-11 00:00:00+00:00,,,,0.0,4448,0.0,0.0
2023-12-12 00:00:00+00:00,,,,0.0,7130,0.0,0.0
2023-12-13 00:00:00+00:00,,,,0.0,5377,0.0,0.0
2023-12-14 00:00:00+00:00,,,,0.0,8078,0.0,0.0
2023-12-15 00:00:00+00:00,,,,0.0,2222,0.0,0.0
2023-12-16 00:00:00+00:00,,,,0.0,9794,0.0,0.0
2023-12-17 00:00:00+00:00,,,,0.0,51263,0.0,0.0
2023-12-18 00:00:00+00:00,,,,0.0,4327,0.0,0.0
2023-12-19 00:00:00+00:00,,,,0.0,2512,0.0,0.0
2023-12-20 00:00:00+00:00,,,,0.0,1984,0.0,0.0
2023-12-21 00:00:00+00:00,,,,0.0,1283,0.0,0.0
2023-12-22 00:00:00+00:00,,,,0.0,4410,0.0,0.0
2023-12-23 00:00:00+00:00,,,,0.0,1516,0.0,0.0
2023-12-24 00:00:00+00:00,,,,0.0,304,0.0,0.0
2023-12-25 00:00:00+00:00,,,,0.0,336,0.0,0.0
2023-12-26 00:00:00+00:00,,,,0.0,2521,0.0,0.0
2023-12-27 00:00:00+00:00,,,,0.0,1904,0.0,0.0
2023-12-28 00:00:00+00:00,,,,0.0,2860,0.0,0.0
2023-12-29 00:00:00+00:00,,,,0.0,1241,0.0,0.0
2023-12-30 00:00:00+00:00,,,,0.0,459,0.0,0.0
2023-12-31 00:00:00+00:00,,,,0.0,2652,0.0,0.0
2024-01-01 00:00:00+00:00,,,,0.0,9544,0.0,0.0
2024-01-02 00:00:00+00:00,,,,0.0,7621,0.0,0.0
2024-01-03 00:00:00+00:00,,,,0.0,7085,0.0,0.0
2024-01-04 00:00:00+00:00,,,,0.0,6819,0.0,0.0
2024-01-05 00:00:00+00:00,,,,0.0,6940,0.0,0.0
