TIMESTAMP,THETA_OPEN_PRICE_USD,THETA_HIGH_PRICE_USD,THETA_LOW_PRICE_USD,THETA_CLOSE_PRICE_USD
2018-01-30,0.2364,0.2364,0.2066,0.2157
2018-01-31,0.2143,0.2505,0.1979,0.218
2018-02-01,0.2184,0.2184,0.169,0.191
2018-02-02,0.191,0.191,0.1522,0.1724
2018-02-03,0.1729,0.2014,0.1729,0.1886
2018-02-04,0.1891,0.1891,0.1488,0.151
2018-02-05,0.151,0.151,0.1145,0.1181
2018-02-06,0.1183,0.138,0.1183,0.1368
2018-02-07,0.1362,0.1362,0.1197,0.1222
2018-02-08,0.1223,0.1413,0.1223,0.1295
2018-02-09,0.1303,0.1546,0.1303,0.1416
2018-02-10,0.1417,0.1446,0.1286,0.1305
2018-02-11,0.1308,0.1308,0.1094,0.1167
2018-02-12,0.1167,0.1296,0.1123,0.1173
2018-02-13,0.1167,0.1167,0.1106,0.1147
2018-02-14,0.1147,0.134,0.1147,0.1297
2018-02-15,0.13,0.169,0.124,0.1406
2018-02-16,0.1408,0.1466,0.1362,0.1409
2018-02-17,0.1408,0.1996,0.1408,0.1679
2018-02-18,0.1679,0.1819,0.1506,0.1674
2018-02-19,0.1672,0.1879,0.1672,0.1703
2018-02-20,0.1703,0.1724,0.1432,0.1457
2018-02-21,0.1443,0.1443,0.1253,0.1275
2018-02-22,0.1279,0.1347,0.1192,0.1304
2018-02-23,0.1296,0.1381,0.1296,0.1311
2018-02-24,0.1323,0.1323,0.1219,0.126
2018-02-25,0.126,0.1276,0.09245,0.1145
2018-02-26,0.1144,0.1355,0.1144,0.1263
2018-02-27,0.1253,0.149,0.1204,0.1389
2018-02-28,0.1385,0.1472,0.1278,0.1462
2018-03-01,0.1465,0.2164,0.1465,0.2137
2018-03-02,0.2137,0.2171,0.1726,0.1965
2018-03-03,0.1948,0.238,0.1857,0.2301
2018-03-04,0.2293,0.2449,0.2049,0.2143
2018-03-05,0.216,0.2239,0.2004,0.2126
2018-03-06,0.213,0.213,0.1786,0.2039
2018-03-07,0.2035,0.2035,0.1566,0.1694
2018-03-08,0.1693,0.1693,0.1307,0.1369
2018-03-09,0.137,0.1746,0.1228,0.1682
2018-03-10,0.1666,0.1803,0.1487,0.1637
2018-03-11,0.1634,0.1954,0.1634,0.1825
2018-03-12,0.1825,0.1825,0.1603,0.1669
2018-03-13,0.1669,0.1687,0.1568,0.1631
2018-03-14,0.1632,0.1632,0.1399,0.1472
2018-03-15,0.1468,0.1531,0.14,0.1465
2018-03-16,0.1467,0.1497,0.1429,0.1463
2018-03-17,0.1458,0.1458,0.1382,0.1422
2018-03-18,0.1422,0.1487,0.1315,0.1401
2018-03-19,0.1397,0.156,0.1397,0.1482
2018-03-20,0.1484,0.1646,0.1451,0.1552
2018-03-21,0.1547,0.1634,0.1491,0.1544
2018-03-22,0.1543,0.1543,0.1427,0.1486
2018-03-23,0.1484,0.1602,0.1469,0.1516
2018-03-24,0.1519,0.1519,0.1409,0.1444
2018-03-25,0.1445,0.1486,0.1415,0.1445
2018-03-26,0.1444,0.1444,0.1282,0.1314
2018-03-27,0.1317,0.1341,0.1242,0.1282
2018-03-28,0.1285,0.1373,0.1285,0.1335
2018-03-29,0.1334,0.1334,0.1151,0.1182
2018-03-30,0.1181,0.1181,0.1121,0.1159
2018-03-31,0.116,0.1208,0.114,0.1164
2018-04-01,0.1167,0.1167,0.1074,0.1083
2018-04-02,0.1085,0.1176,0.1076,0.1145
2018-04-03,0.1146,0.1229,0.1146,0.1192
2018-04-04,0.1192,0.1192,0.1038,0.1088
2018-04-05,0.1089,0.1121,0.1035,0.1072
2018-04-06,0.107,0.1091,0.09919,0.1009
2018-04-07,0.1007,0.1065,0.1007,0.104
2018-04-08,0.104,0.1085,0.104,0.1053
2018-04-09,0.1053,0.1105,0.09967,0.1061
2018-04-10,0.1061,0.1102,0.1033,0.1051
2018-04-11,0.1051,0.1179,0.1051,0.1136
2018-04-12,0.1136,0.1348,0.1136,0.1254
2018-04-13,0.1255,0.1339,0.1231,0.125
2018-04-14,0.1251,0.1297,0.1176,0.1216
2018-04-15,0.1216,0.1303,0.1216,0.1253
2018-04-16,0.1252,0.1252,0.1119,0.1176
2018-04-17,0.1176,0.1192,0.1119,0.1171
2018-04-18,0.1171,0.1256,0.1171,0.1242
2018-04-19,0.1242,0.1473,0.1242,0.1386
2018-04-20,0.1383,0.1581,0.1383,0.1448
2018-04-21,0.1448,0.1523,0.1345,0.1461
2018-04-22,0.146,0.1629,0.142,0.1517
