TIMESTAMP,TATE_OPEN_PRICE_USD,TATE_HIGH_PRICE_USD,TATE_LOW_PRICE_USD,TATE_CLOSE_PRICE_USD,TATE_VOLUME_USD,TATE_DIVIDENDS_USD,TATE_STOCK_SPLITS_USD
2023-04-26 00:00:00+00:00,,,,0.0,4745073,0.0,0.0
2023-04-27 00:00:00+00:00,,,,0.0,7282210,0.0,0.0
2023-04-28 00:00:00+00:00,,,,0.0,2337435,0.0,0.0
2023-04-29 00:00:00+00:00,,,,0.0,1430801,0.0,0.0
2023-04-30 00:00:00+00:00,,,,0.0,1125141,0.0,0.0
2023-05-01 00:00:00+00:00,,,,0.0,1775183,0.0,0.0
2023-05-02 00:00:00+00:00,,,,0.0,1040913,0.0,0.0
2023-05-03 00:00:00+00:00,,,,0.0,453835,0.0,0.0
2023-05-04 00:00:00+00:00,,,,0.0,401265,0.0,0.0
2023-05-05 00:00:00+00:00,,,,0.0,966413,0.0,0.0
2023-05-06 00:00:00+00:00,,,,0.0,1954222,0.0,0.0
2023-05-07 00:00:00+00:00,,,,0.0,938879,0.0,0.0
2023-05-08 00:00:00+00:00,,,,0.0,928690,0.0,0.0
2023-05-09 00:00:00+00:00,,,,0.0,361942,0.0,0.0
2023-05-10 00:00:00+00:00,,,,0.0,441212,0.0,0.0
2023-05-11 00:00:00+00:00,,,,0.0,421343,0.0,0.0
2023-05-12 00:00:00+00:00,,,,0.0,149907,0.0,0.0
2023-05-13 00:00:00+00:00,,,,0.0,153736,0.0,0.0
2023-05-14 00:00:00+00:00,,,,0.0,211646,0.0,0.0
2023-05-15 00:00:00+00:00,,,,0.0,152232,0.0,0.0
2023-05-16 00:00:00+00:00,,,,0.0,128108,0.0,0.0
2023-05-17 00:00:00+00:00,,,,0.0,97272,0.0,0.0
2023-05-18 00:00:00+00:00,,,,0.0,117456,0.0,0.0
2023-05-19 00:00:00+00:00,,,,0.0,81425,0.0,0.0
2023-05-20 00:00:00+00:00,,,,0.0,43414,0.0,0.0
2023-05-21 00:00:00+00:00,,,,0.0,32668,0.0,0.0
2023-05-22 00:00:00+00:00,,,,0.0,53254,0.0,0.0
2023-05-23 00:00:00+00:00,,,,0.0,4268,0.0,0.0
2023-05-24 00:00:00+00:00,,,,0.0,14664,0.0,0.0
2023-05-25 00:00:00+00:00,,,,0.0,8132,0.0,0.0
2023-05-26 00:00:00+00:00,,,,0.0,24331,0.0,0.0
2023-05-27 00:00:00+00:00,,,,0.0,3136,0.0,0.0
2023-05-28 00:00:00+00:00,,,,0.0,1819,0.0,0.0
2023-05-29 00:00:00+00:00,,,,0.0,26269,0.0,0.0
2023-05-30 00:00:00+00:00,,,,0.0,195792,0.0,0.0
2023-05-31 00:00:00+00:00,,,,0.0,21705,0.0,0.0
2023-06-01 00:00:00+00:00,,,,0.0,61701,0.0,0.0
2023-06-02 00:00:00+00:00,,,,0.0,38042,0.0,0.0
2023-06-03 00:00:00+00:00,,,,0.0,32471,0.0,0.0
2023-06-04 00:00:00+00:00,,,,0.0,24422,0.0,0.0
2023-06-05 00:00:00+00:00,,,,0.0,39552,0.0,0.0
2023-06-06 00:00:00+00:00,,,,0.0,5621,0.0,0.0
2023-06-07 00:00:00+00:00,,,,0.0,7848,0.0,0.0
2023-06-08 00:00:00+00:00,,,,0.0,18971,0.0,0.0
2023-06-09 00:00:00+00:00,,,,0.0,2444,0.0,0.0
2023-06-10 00:00:00+00:00,,,,0.0,3458,0.0,0.0
2023-06-11 00:00:00+00:00,,,,0.0,7535,0.0,0.0
2023-06-12 00:00:00+00:00,,,,0.0,10477,0.0,0.0
2023-06-13 00:00:00+00:00,,,,0.0,4676,0.0,0.0
2023-06-14 00:00:00+00:00,,,,0.0,2530,0.0,0.0
2023-06-15 00:00:00+00:00,,,,0.0,4780,0.0,0.0
2023-06-16 00:00:00+00:00,,,,0.0,22983,0.0,0.0
2023-06-17 00:00:00+00:00,,,,0.0,18639,0.0,0.0
2023-06-18 00:00:00+00:00,,,,0.0,62783,0.0,0.0
2023-06-19 00:00:00+00:00,,,,0.0,249453,0.0,0.0
2023-06-20 00:00:00+00:00,,,,0.0,76885,0.0,0.0
2023-06-21 00:00:00+00:00,,,,0.0,24593,0.0,0.0
2023-06-22 00:00:00+00:00,,,,0.0,11443,0.0,0.0
2023-06-23 00:00:00+00:00,,,,0.0,8754,0.0,0.0
2023-06-24 00:00:00+00:00,,,,0.0,7288,0.0,0.0
2023-06-25 00:00:00+00:00,,,,0.0,9048,0.0,0.0
2023-06-26 00:00:00+00:00,,,,0.0,916,0.0,0.0
2023-06-27 00:00:00+00:00,,,,0.0,13177,0.0,0.0
2023-06-28 00:00:00+00:00,,,,0.0,860,0.0,0.0
2023-06-29 00:00:00+00:00,,,,0.0,12440,0.0,0.0
2023-06-30 00:00:00+00:00,,,,0.0,1394,0.0,0.0
