TIMESTAMP,BTB_CLOSE_PRICE_USD,BTB_OPEN_PRICE_USD,BTB_HIGH_PRICE_USD,BTB_LOW_PRICE_USD
2018-03-01,38.5404,31.9355,38.8441,30.9696
2018-03-02,34.1597,38.5867,39.5233,33.6499
2018-03-03,41.8943,34.1785,43.4065,34.1785
2018-03-04,39.0871,41.9087,41.9711,38.1155
2018-03-05,34.7807,39.0512,39.3798,34.429
2018-03-06,31.8609,34.4679,34.5026,31.5412
2018-03-07,28.3491,31.8267,32.3391,26.5974
2018-03-08,27.1452,28.3912,29.2883,26.3993
2018-03-09,24.4211,27.1527,27.5029,22.9641
2018-03-10,23.0268,24.4121,24.8404,21.9246
2018-03-11,24.7208,23.0409,36.6932,22.242
2018-03-12,22.5927,24.7679,25.7136,21.8738
2018-03-13,21.9532,22.6215,23.5456,20.3636
2018-03-14,18.3957,21.9652,22.4762,18.0515
2018-03-15,18.3406,18.3409,19.0757,17.212
2018-03-16,16.914,18.3632,18.4837,16.7389
2018-03-17,15.3011,16.8302,16.9012,15.068
2018-03-18,15.9307,15.2601,16.0427,14.2157
2018-03-19,15.5836,15.9347,16.3964,14.6529
2018-03-20,16.5601,15.5622,16.889,15.1406
2018-03-21,15.9213,16.5673,16.9641,15.6707
2018-03-22,15.5379,15.9198,16.2505,15.1911
2018-03-23,15.8246,15.5001,15.8246,14.7281
2018-03-24,14.6098,15.8387,15.97,14.6098
2018-03-25,13.9785,14.6581,14.8598,13.8922
2018-03-26,12.1107,13.982,14.4484,11.6873
2018-03-27,11.7808,12.1442,12.3101,9.1956
2018-03-28,11.0409,11.7908,13.9213,10.04
2018-03-29,10.2441,11.0591,13.4956,9.0549
2018-03-30,10.7546,10.2626,10.8703,9.6094
2018-03-31,10.558,10.739,11.4219,9.7822
2018-04-01,9.9431,10.5609,11.7097,9.3977
2018-04-02,10.9925,9.9505,11.2787,9.8912
2018-04-03,11.2456,10.9922,11.5894,10.31
2018-04-04,15.4045,11.233,16.4042,10.4647
2018-04-05,13.5553,15.4006,16.4447,13.4418
2018-04-06,12.3909,13.5527,13.6703,11.7043
2018-04-07,12.7115,12.4021,13.0797,12.3781
2018-04-08,12.7504,12.707,12.862,12.4927
2018-04-09,12.512,12.7674,13.2569,12.2338
2018-04-10,13.129,12.5229,13.6312,12.3038
