TIMESTAMP,WLFI33036_OPEN_PRICE_USD,WLFI33036_HIGH_PRICE_USD,WLFI33036_LOW_PRICE_USD,WLFI33036_CLOSE_PRICE_USD,WLFI33036_VOLUME_USD,WLFI33036_DIVIDENDS_USD,WLFI33036_STOCK_SPLITS_USD
2024-09-16 00:00:00+00:00,,,,0.0,139832,0.0,0.0
2024-09-17 00:00:00+00:00,,,,0.0,207380,0.0,0.0
2024-09-18 00:00:00+00:00,,,,0.0,63103,0.0,0.0
2024-09-19 00:00:00+00:00,,,,0.0,93507,0.0,0.0
2024-09-20 00:00:00+00:00,,,,0.0,310509,0.0,0.0
2024-09-21 00:00:00+00:00,,,,0.0,38619,0.0,0.0
2024-09-22 00:00:00+00:00,,,,0.0,19533,0.0,0.0
2024-09-23 00:00:00+00:00,,,,0.0,18262,0.0,0.0
2024-09-24 00:00:00+00:00,,,,0.0,8227,0.0,0.0
2024-09-25 00:00:00+00:00,,,,0.0,7450,0.0,0.0
2024-09-26 00:00:00+00:00,,,,0.0,3312,0.0,0.0
2024-09-27 00:00:00+00:00,,,,0.0,1039,0.0,0.0
2024-09-28 00:00:00+00:00,,,,0.0,3330,0.0,0.0
2024-09-29 00:00:00+00:00,,,,0.0,1692,0.0,0.0
2024-09-30 00:00:00+00:00,,,,0.0,6583,0.0,0.0
2024-10-01 00:00:00+00:00,,,,0.0,3336,0.0,0.0
2024-10-02 00:00:00+00:00,,,,0.0,1341,0.0,0.0
2024-10-03 00:00:00+00:00,,,,0.0,503,0.0,0.0
2024-10-04 00:00:00+00:00,,,,0.0,790,0.0,0.0
2024-10-05 00:00:00+00:00,,,,0.0,614,0.0,0.0
2024-10-06 00:00:00+00:00,,,,0.0,1107,0.0,0.0
2024-10-07 00:00:00+00:00,,,,0.0,873,0.0,0.0
2024-10-08 00:00:00+00:00,,,,0.0,483,0.0,0.0
2024-10-09 00:00:00+00:00,,,,0.0,240,0.0,0.0
2024-10-10 00:00:00+00:00,,,,0.0,605,0.0,0.0
2024-10-11 00:00:00+00:00,,,,0.0,951,0.0,0.0
2024-10-12 00:00:00+00:00,,,,0.0,7026,0.0,0.0
2024-10-13 00:00:00+00:00,,,,0.0,8818,0.0,0.0
2024-10-14 00:00:00+00:00,,,,0.0,21494,0.0,0.0
2024-10-15 00:00:00+00:00,,,,0.0,36842,0.0,0.0
