,ANT,ARK,BTC,BTS,CON,DCR,DGB,DOGE,ETC,ETH,FIRO,GNO,KMD,LSK,MAID,MONA,QTUM,RLC,SC,STEEM,SYS,USDT,VERI,XEM,XRP,XWC,ZEN
ANT,1.0,0.20753266093174524,0.28870469719823505,0.23852275089030767,0.0028652202082234952,0.14566343996941475,0.2294022025331097,0.09728461154836116,0.22264673472570246,0.3600345623138688,0.19919675304266235,0.1864564747991138,0.17509611131162497,0.2515837583944356,0.14838760252438987,0.11414344119235001,0.28682250830073575,0.1799242604552986,0.24312823052116994,0.2243369980846529,0.14871231350597808,0.01635498633100685,0.06741244362441912,0.21363044717578347,0.2378174660580284,0.04848954812956683,0.23389725981609336
ARK,0.20753266093174524,1.0,0.2947054519374126,0.2484623818906219,0.03664056425965489,0.19656106268362253,0.23516052121606237,0.10961399946534231,0.22166198809008172,0.3522688939079846,0.17677235683300335,0.21813097589308073,0.30439496674619654,0.35501596388068674,0.14586489596383972,0.16215708563754025,0.28665937414601417,0.18639849176072285,0.30470788396216447,0.3373741532320668,0.20960019048624112,-0.0045627867582360955,0.08026770482172846,0.2478653467137394,0.22231683781371783,0.03475300776567608,0.23105676708041847
BTC,0.28870469719823505,0.2947054519374126,1.0,0.4418036715487747,0.060052033858260155,0.384821604935718,0.4594127239219394,0.28818304414863993,0.43777940265988274,0.6926717547714139,0.27005286930896455,0.3614302932208156,0.3109212369164362,0.36141821423439985,0.33032750474651973,0.24744486358336848,0.4774720418257522,0.281231912902077,0.47797873231299415,0.3604840731113088,0.22887290922433995,0.1393443840819852,0.16854803207969557,0.36152979210794245,0.36410163880141483,0.08637973837608204,0.3847587799625654
BTS,0.23852275089030767,0.2484623818906219,0.4418036715487747,1.0,0.047976243632703905,0.22578315385573977,0.387093967784226,0.2993591871107503,0.3577939153041204,0.4624019091937127,0.28868972092695516,0.22783413312940268,0.24579191199699948,0.306280165036169,0.2029882641432056,0.1901844313496092,0.39195413575175747,0.24043973843083283,0.4628994788273735,0.30453024021768466,0.16736568908984106,0.025694802872529985,0.09345973123945196,0.29860384371525867,0.3787662543369747,0.04214425324639162,0.2972036783682001
CON,0.0028652202082234952,0.03664056425965489,0.060052033858260155,0.047976243632703905,1.0,0.028842623335073026,0.048938272991530016,-0.0048902043952354516,0.01761690012194937,0.10083157846584616,0.011258379275779865,0.05059383690632128,0.023380675896909765,0.051040836990261976,0.029799775229513062,0.09279345472859553,0.06586849364077946,0.029737315039503633,0.077290773276876,0.030895344463868046,0.05141364654176892,0.00921985903442389,0.00892078101626889,0.07996545418109756,0.05823753274398341,-0.0025897942439278452,0.013550114984316573
DCR,0.14566343996941475,0.19656106268362253,0.384821604935718,0.22578315385573977,0.028842623335073026,1.0,0.25516443373195546,0.1686871181878127,0.24310654761402511,0.38519663916447566,0.16096641184710345,0.19254032742369184,0.23997941709404289,0.2137227805878853,0.19615884114094798,0.14550413733744505,0.24471825004940362,0.20474562747863934,0.264408386538351,0.24836718522753215,0.13649345416372993,0.04024691515181381,0.06157243154022992,0.2340469875399968,0.21365985160545045,0.02239475898856724,0.22018058867071127
DGB,0.2294022025331097,0.23516052121606237,0.4594127239219394,0.387093967784226,0.048938272991530016,0.25516443373195546,1.0,0.2652157315353822,0.3169443983553222,0.461321083965808,0.226829815838122,0.2583858203274807,0.2845961587072723,0.2884835549438613,0.20725972439571416,0.16310947461809694,0.3274910473135993,0.2369789333387115,0.5481578002569826,0.2790006559616642,0.21190168295886364,-0.009407078606405722,0.10734802186533969,0.31043548644143365,0.30932615414605064,0.04615058971041175,0.36238717304137785
DOGE,0.09728461154836116,0.10961399946534231,0.28818304414863993,0.2993591871107503,-0.0048902043952354516,0.1686871181878127,0.2652157315353822,1.0,0.2767674693918647,0.22954979664822037,0.12415515666567106,0.12124046396307595,0.12551326553488554,0.1687151311950013,0.11488325035268264,0.09821109387569528,0.19310259466282406,0.08900908386229675,0.43580487529308776,0.13438973787710426,0.09272258219434613,0.012304075728574443,0.06802249701164657,0.1348815026225059,0.17661885907090583,0.016641434414357587,0.16681175160844083
ETC,0.22264673472570246,0.22166198809008172,0.43777940265988274,0.3577939153041204,0.01761690012194937,0.24310654761402511,0.3169443983553222,0.2767674693918647,1.0,0.5574831807646752,0.23716911405602847,0.2895726507362317,0.2860784566590645,0.32691571771213934,0.2003574215722986,0.25286094574438406,0.5047697535139503,0.2682408184830215,0.3402738569985475,0.2941996984891411,0.20302767543865757,0.10608633412827485,0.08964342672758106,0.3137892859771445,0.3558692763415738,0.019758705498174867,0.34274452791579474
ETH,0.3600345623138688,0.3522688939079846,0.6926717547714139,0.4624019091937127,0.10083157846584616,0.38519663916447566,0.461321083965808,0.22954979664822037,0.5574831807646752,1.0,0.31410692496278625,0.496922864446785,0.3297794671289705,0.3833931566424609,0.30774890644819713,0.25459812458346154,0.5070757303029269,0.3346670720863396,0.4706620285871254,0.36878134767372067,0.24880584262467403,0.12570979377704522,0.18432205257516865,0.425342654617261,0.4719659856111601,0.054621427688292666,0.43367612858385535
