TIMESTAMP,OGSM_OPEN_PRICE_USD,OGSM_HIGH_PRICE_USD,OGSM_LOW_PRICE_USD,OGSM_CLOSE_PRICE_USD,OGSM_VOLUME_USD,OGSM_DIVIDENDS_USD,OGSM_STOCK_SPLITS_USD
2023-04-28 00:00:00+00:00,,,,0.0,154246,0.0,0.0
2023-04-29 00:00:00+00:00,,,,0.0,50085,0.0,0.0
2023-04-30 00:00:00+00:00,,,,0.0,74525,0.0,0.0
2023-05-01 00:00:00+00:00,,,,0.0,30486,0.0,0.0
2023-05-02 00:00:00+00:00,,,,0.0,88412,0.0,0.0
2023-05-03 00:00:00+00:00,,,,0.0,120471,0.0,0.0
2023-05-04 00:00:00+00:00,,,,0.0,71238,0.0,0.0
2023-05-05 00:00:00+00:00,,,,0.0,52520,0.0,0.0
2023-05-06 00:00:00+00:00,,,,0.0,74989,0.0,0.0
2023-05-07 00:00:00+00:00,,,,0.0,212657,0.0,0.0
2023-05-08 00:00:00+00:00,,,,0.0,68999,0.0,0.0
2023-05-09 00:00:00+00:00,,,,0.0,23196,0.0,0.0
2023-05-10 00:00:00+00:00,,,,0.0,21925,0.0,0.0
2023-05-11 00:00:00+00:00,,,,0.0,40058,0.0,0.0
2023-05-12 00:00:00+00:00,,,,0.0,35103,0.0,0.0
2023-05-13 00:00:00+00:00,,,,0.0,8608,0.0,0.0
2023-05-14 00:00:00+00:00,,,,0.0,16979,0.0,0.0
2023-05-15 00:00:00+00:00,,,,0.0,48260,0.0,0.0
2023-05-16 00:00:00+00:00,,,,0.0,83667,0.0,0.0
2023-05-17 00:00:00+00:00,,,,0.0,18913,0.0,0.0
2023-05-18 00:00:00+00:00,,,,0.0,26445,0.0,0.0
2023-05-19 00:00:00+00:00,,,,0.0,25302,0.0,0.0
2023-05-20 00:00:00+00:00,,,,0.0,11844,0.0,0.0
2023-05-21 00:00:00+00:00,,,,0.0,36449,0.0,0.0
2023-05-22 00:00:00+00:00,,,,0.0,12143,0.0,0.0
2023-05-23 00:00:00+00:00,,,,0.0,3308,0.0,0.0
2023-05-24 00:00:00+00:00,,,,0.0,24122,0.0,0.0
2023-05-25 00:00:00+00:00,,,,0.0,9624,0.0,0.0
2023-05-26 00:00:00+00:00,,,,0.0,13750,0.0,0.0
2023-05-27 00:00:00+00:00,,,,0.0,9422,0.0,0.0
2023-05-28 00:00:00+00:00,,,,0.0,17009,0.0,0.0
