,MSE,RMSE,MAE,MAPE,R2
0,14989.775588905259,122.43273904027983,101.8044662211832,0.04478999858214574,0.8299944868659054
1,7586.055954661242,87.09796756906123,70.7328205481872,0.033273179670266544,0.7783653657543974
2,16010.607747954422,126.53303026464837,102.37690032028074,0.03312806704151397,0.6980345859467003
3,34114.97418137985,184.70239354534593,145.73422655647326,0.04463050538820301,0.7326694001065637
4,20645.80882051987,143.68649491347426,114.83872989546138,0.029868382358115605,0.8021921123725884
5,33663.81110675871,183.47700429960892,144.80527770335675,0.0333169716245954,0.2890842284164523
6,20534.28456851398,143.2978875228591,111.56451267836114,0.02777418749291741,0.5975299050948308
7,16189.226473431474,127.23689116538283,99.83138794460004,0.03363372189025512,0.9186345248980856
8,18334.084527755444,135.40341401809425,104.3876815505785,0.0361169568229866,0.5335413312115478
9,7861.078585717577,88.6627237666291,73.93932674551627,0.02613835972072829,0.8967779034698836
10,10069.158170369545,100.34519505372215,77.83885948896993,0.025406736928040182,0.7638860402241705
11,14726.552629932032,121.35300832666668,101.11010094753455,0.04562934307589685,0.8821219214578147
Mean,17893.784862991615,130.35239579048104,104.08035755004192,0.0344755342163054,0.7269026504849116
