,XRP,Lag
DOGE,2.4961165409931817e-19,2
BTS,4.3201775703566006e-11,11
QTUM,5.706602679778692e-07,7
LTC,2.6271756799810823e-06,3
XEM,1.0195642661460449e-05,23
ETC,1.6048615448257393e-05,1
ETH,0.0001184772797234,28
XMR,0.0001829590511354,5
XLM,0.0003935343940717,30
MIOTA,0.0006114804926455,5
ZEN,0.0009464823607794,25
SC,0.0017658107720648,28
BTC,0.0044098478756688,28
ZEC,0.0052696948484947,30
LSK,0.0072521166354829,6
BAT,0.0174576883268678,5
RLC,0.0303315065326693,22
DASH,0.0378398821707145,5
DGB,0.0506793806539921,11
DCR,0.0512508977487986,18
WAVES,0.0526180698879334,4
GNO,0.0633904374495259,3
ARK,0.0891382695514473,30
ANT,0.0945380794618945,27
STEEM,0.1894671414429771,1
PIVX,0.2124688157630639,30
FIRO,0.2859780887451955,1
KMD,0.3181106315371641,1
LUNC,0.3236211671231601,3
SYS,0.3280996474961403,15
GAS,0.506447898709222,2
