TIMESTAMP,XTO_CLOSE_PRICE_USD,XTO_OPEN_PRICE_USD,XTO_HIGH_PRICE_USD,XTO_LOW_PRICE_USD
2018-08-27,0.47786,0.46427,0.47842,0.46153
2018-08-28,0.49316,0.47838,0.49811,0.4672
2018-08-29,0.48621,0.49325,0.49386,0.47808
2018-08-30,0.46983,0.48565,0.48717,0.46757
2018-08-31,0.44159,0.46929,0.46929,0.3907
2018-09-01,0.43437,0.44159,0.44828,0.40278
2018-09-02,0.38114,0.43437,0.44339,0.37981
2018-09-03,0.41668,0.38114,0.42049,0.37684
2018-09-04,0.40294,0.41644,0.41854,0.3988
2018-09-05,0.30835,0.40294,0.4042,0.30817
2018-09-06,0.24613,0.30835,0.3091,0.24164
2018-09-07,0.25315,0.24621,0.25432,0.239
2018-09-08,0.2984,0.25315,0.30547,0.25315
2018-09-09,0.35351,0.2984,0.37006,0.29406
2018-09-10,0.32272,0.3538,0.35654,0.31931
2018-09-11,0.31978,0.32272,0.32666,0.31587
2018-09-12,0.32216,0.31989,0.32283,0.31536
2018-09-13,0.4144,0.32216,0.41747,0.32202
2018-09-14,0.38612,0.4144,0.42147,0.38444
2018-09-15,0.36248,0.3857,0.39098,0.36065
2018-09-16,0.38604,0.3622,0.38718,0.36015
2018-09-17,0.37694,0.38604,0.38802,0.36237
2018-09-18,0.35868,0.37694,0.37714,0.35264
2018-09-19,0.36145,0.35868,0.3658,0.34574
2018-09-20,0.39181,0.36156,0.39329,0.36063
2018-09-21,0.38223,0.39181,0.4105,0.37701
2018-09-22,0.37501,0.38169,0.38608,0.28882
2018-09-23,0.36538,0.37494,0.37558,0.30067
2018-09-24,0.36208,0.36533,0.36808,0.35497
2018-09-25,0.32576,0.36208,0.36208,0.32042
2018-09-26,0.32699,0.3262,0.3315,0.32328
2018-09-27,0.34869,0.32699,0.35069,0.32635
2018-09-28,0.32326,0.34949,0.35579,0.31889
2018-09-29,0.31593,0.32326,0.32326,0.3093
2018-09-30,0.27753,0.31593,0.3184,0.27388
2018-10-01,0.27017,0.27753,0.27873,0.26691
2018-10-02,0.31851,0.27026,0.32025,0.26819
2018-10-03,0.27941,0.31806,0.31924,0.26353
2018-10-04,0.29344,0.27957,0.29483,0.27924
2018-10-05,0.30054,0.29344,0.30145,0.29344
2018-10-06,0.31311,0.30054,0.31469,0.29802
2018-10-07,0.23437,0.31311,0.31374,0.23342
2018-10-08,0.22542,0.23437,0.23509,0.21744
2018-10-09,0.20012,0.22542,0.23007,0.19968
2018-10-10,0.19761,0.20012,0.20012,0.17233
2018-10-11,0.19373,0.19761,0.19761,0.1827
2018-10-12,0.24908,0.19362,0.25339,0.17607
2018-10-13,0.21943,0.24893,0.25044,0.21849
2018-10-14,0.20893,0.21943,0.24902,0.2086
2018-10-15,0.22242,0.209,0.248,0.20784
2018-10-16,0.21497,0.22242,0.23264,0.21249
2018-10-17,0.21424,0.21485,0.21606,0.21253
