TIMESTAMP,PUGDOG_OPEN_PRICE_USD,PUGDOG_HIGH_PRICE_USD,PUGDOG_LOW_PRICE_USD,PUGDOG_CLOSE_PRICE_USD,PUGDOG_VOLUME_USD,PUGDOG_DIVIDENDS_USD,PUGDOG_STOCK_SPLITS_USD
2024-12-01 00:00:00+00:00,0.00010699999984353781,0.00010699999984353781,9.600000339560211e-05,9.600000339560211e-05,1166,0.0,0.0
2024-12-02 00:00:00+00:00,9.600000339560211e-05,9.600000339560211e-05,8.399999933317304e-05,8.800000068731606e-05,2500,0.0,0.0
2024-12-03 00:00:00+00:00,8.800000068731606e-05,0.00013099999341648072,8.299999899463728e-05,0.00012599999899975955,91881,0.0,0.0
2024-12-04 00:00:00+00:00,0.00012599999899975955,0.00013099999341648072,0.00011999999696854502,0.00012599999899975955,21611,0.0,0.0
2024-12-05 00:00:00+00:00,0.00012599999899975955,0.00013499999477062374,0.00012399999832268804,0.00012799999967683107,33423,0.0,0.0
2024-12-06 00:00:00+00:00,0.00012700000661425292,0.00013499999477062374,0.0001140000022132881,0.00011600000289035961,44361,0.0,0.0
2024-12-07 00:00:00+00:00,0.00011600000289035961,0.00011700000322889537,0.00010299999848939478,0.00010699999984353781,44095,0.0,0.0
2024-12-08 00:00:00+00:00,0.00010599999950500205,0.00010699999984353781,0.0001049999991664663,0.0001049999991664663,146,0.0,0.0
2024-12-09 00:00:00+00:00,0.0001049999991664663,0.00011700000322889537,8.499999967170879e-05,8.499999967170879e-05,4205,0.0,0.0
2024-12-10 00:00:00+00:00,8.499999967170879e-05,9.699999645818025e-05,6.900000153109431e-05,6.900000153109431e-05,7183,0.0,0.0
2024-12-11 00:00:00+00:00,6.900000153109431e-05,7.599999662488699e-05,6.800000119255856e-05,7.400000322377309e-05,1221,0.0,0.0
2024-12-12 00:00:00+00:00,7.400000322377309e-05,7.400000322377309e-05,7.000000186963007e-05,7.000000186963007e-05,547,0.0,0.0
2024-12-13 00:00:00+00:00,7.000000186963007e-05,7.100000220816582e-05,6.900000153109431e-05,7.000000186963007e-05,512,0.0,0.0
2024-12-14 00:00:00+00:00,7.000000186963007e-05,7.000000186963007e-05,6.600000051548705e-05,6.600000051548705e-05,250,0.0,0.0
2024-12-15 00:00:00+00:00,6.600000051548705e-05,6.900000153109431e-05,6.600000051548705e-05,6.900000153109431e-05,118,0.0,0.0
2024-12-16 00:00:00+00:00,6.900000153109431e-05,6.900000153109431e-05,6.800000119255856e-05,6.800000119255856e-05,470,0.0,0.0
2024-12-17 00:00:00+00:00,6.800000119255856e-05,7.500000356230885e-05,6.800000119255856e-05,7.300000288523734e-05,758,0.0,0.0
2024-12-18 00:00:00+00:00,7.300000288523734e-05,7.300000288523734e-05,6.70000008540228e-05,6.70000008540228e-05,177,0.0,0.0
2024-12-19 00:00:00+00:00,6.70000008540228e-05,6.800000119255856e-05,6.199999916134402e-05,6.199999916134402e-05,129,0.0,0.0
2024-12-20 00:00:00+00:00,6.199999916134402e-05,7.000000186963007e-05,5.999999848427251e-05,7.000000186963007e-05,1135,0.0,0.0
2024-12-21 00:00:00+00:00,7.000000186963007e-05,7.200000254670158e-05,6.70000008540228e-05,6.70000008540228e-05,585,0.0,0.0
2024-12-22 00:00:00+00:00,6.70000008540228e-05,6.70000008540228e-05,6.0999998822808266e-05,6.0999998822808266e-05,811,0.0,0.0
