,ETH,Lag
SC,7.296756005400085e-08,30
TAJ,9.853495132248124e-08,23
XRP,1.5633645654027509e-07,10
WYZ,7.150650179734554e-07,29
KOBO,1.0501336156544564e-06,16
XWC,1.3331686796440891e-06,20
ACES,3.808602858892774e-06,28
EUC,4.9245038838234895e-06,4
IMS,1.0683157429074193e-05,22
XMS,1.1397309186931149e-05,25
PPC,1.476550912507398e-05,22
PXI,1.5901993475239516e-05,26
ZET,1.9911455087230605e-05,28
COOL,2.2446653584743023e-05,20
UNIT,2.690539643668885e-05,15
SWING,3.035653588338964e-05,28
BTC,4.590233706677772e-05,28
QBC,8.998082013079149e-05,3
XEM,0.0001028354591454,4
IFC,0.0001173411620714,30
ZEN,0.000151894995252,27
CETI,0.0001520467075742,30
OPAL,0.0002052280558547,2
VIDZ,0.0002633427671766,25
XHI,0.0002683730242153,24
GRS,0.0003525601214892,28
VEC2,0.0003754218463355,28
RBT,0.000377959988035,27
SKULL,0.0003966456537842,7
DOGE,0.0006302513867139,27
VLT,0.0006472505667114,30
ETC,0.0007239880472452,29
ARK,0.0007452526515432,1
FOREX,0.0007929616917688,16
FIRO,0.0007999443266005,14
ZCL,0.0008538139925418,30
GAS,0.0009239615062185,7
NMC,0.0010521188911804,4
CJ,0.0010963794139661,14
ZUR,0.0015702603400458,30
EVIL,0.0018184493986361,1
SPR,0.0021461791409746,6
XTO,0.0022683445684044,8
PIVX,0.0025073464939444,1
USDT,0.0027729980075928,30
HBD,0.0029739235600954,29
WBB,0.0030035853324764,30
BCN,0.0031208690194396,3
ENT,0.0031443446731238,25
LTCR,0.0037625942515491,26
IRL,0.0042624319147442,27
GNO,0.0044942888718624,19
MST,0.0047730959626009,2
CAB,0.0060858036666059,30
GBYTE,0.0062732951767588,22
WAVES,0.0066541379870059,28
TRST,0.0071809891311484,26
CARBON,0.0086620747833572,1
MONA,0.0097158941638306,7
POST,0.0098968842940296,11
BLK,0.0099806223735606,23
ACOIN,0.0104910180293996,2
IBANK,0.0105205593266549,6
LSK,0.0105720041736014,10
2GIVE,0.0115485238454704,27
OZO,0.013155742063627,1
XDN,0.0132618818521686,24
DCR,0.0151462336377214,23
MOTO,0.0152791886048947,15
NXS,0.0156829479319585,18
KURT,0.0175877915641926,29
PLU,0.0179144211267173,15
BTB,0.0179882888714528,13
PXC,0.0180078346409508,27
QTUM,0.0188807983954982,27
KMD,0.0197391617189386,7
TAB,0.021870187948018,2
PZM,0.0222351526399903,2
SYS,0.0227022104897845,16
XPY,0.0229235891272764,3
AV,0.0251267001085368,28
NEWB,0.0256082102185676,22
AGRS,0.0258286226211357,29
NOBL,0.0286639467309624,26
CYT,0.0287703796354114,1
IOTA,0.0288661697956346,6
XPM,0.0339921881990902,15
AMBER,0.0346467184043527,2
BS,0.0358634736222416,16
RRT,0.0366124797503965,3
SILK,0.0373440488977638,3
SXC,0.0376194709505899,29
FRN,0.0438760650761171,29
START,0.0455846687758186,30
BTS,0.0495630994101461,20
HVCO,0.0495654385969577,5
CREVA,0.0498207862451378,3
DEM,0.0506160878521389,20
DGB,0.0520982825675694,30
BERN,0.0548046782943568,15
CKC,0.0552759223018858,30
NETKO,0.0554240512543451,14
ICON,0.0554463219566263,18
BLAZR,0.0585527221826,3
ARGUS,0.0604091736382553,9
ADZ,0.0621251855789071,18
EQB,0.062980952682216,4
XMR,0.0664665064117421,1
QTZ,0.068142826753938,1
BTCS,0.0721431977607072,1
SNRG,0.0735655288871798,30
LOG,0.0753111606456571,3
LTC,0.0757469840165955,28
C2,0.0764484956170756,20
WGR,0.0769510042477893,2
LAMB,0.0771048868809026,6
KIN,0.0781421171154513,9
SKR,0.082236508253884,5
42,0.0867397237770753,1
VAL,0.0907001099673905,2
JLP,0.0910703959326041,26
RBIES,0.1003648192757553,4
NXT,0.1007778251609019,1
ZOOM,0.1043566082829716,29
BCDN,0.1045725801777335,4
EFL,0.1047429998517551,6
ZYD,0.1075145685390999,16
AMS,0.1126152450886517,29
XBY,0.1217067749465411,1
ZENI,0.1249069726445948,5
AE,0.135736004925129,5
MAID,0.1359149558914489,10
ZER,0.1391520720429881,18
XST,0.1465395673143291,30
LUNC,0.1478598568872977,30
ADC,0.1489515616376519,2
ZEC,0.1495471484049332,1
XLM,0.1530550110932511,9
BOLI,0.1539002506619659,1
MAY,0.1547371093123235,8
LMC,0.1583368781297759,1
STEEM,0.1611883309809015,29
XPX,0.1676094543872979,4
GLC,0.1698205416387025,24
DASH,0.1730790836923542,20
NAV,0.1811851309505887,1
RLC,0.1823265302348219,16
PUT,0.1951614437968827,2
CSC,0.1962214713119172,10
LDOGE,0.1970641637874153,11
DCY,0.198389664248198,2
FTC,0.1996540859293828,1
BAT,0.2013839414198757,30
PIE,0.2062853151519434,1
RBY,0.2079459749507677,1
HUSH,0.209044562098443,3
SWT,0.2135037665986899,21
BLU,0.2176504127451536,1
CLAM,0.2265519251602087,5
NVC,0.2273962195349804,2
DCT,0.2630321725672742,16
MCN,0.2644940761080244,1
FRC,0.284285735635653,11
LUN,0.286368737156663,3
TECH,0.2867208505699784,9
XCP,0.2875091659810938,29
SIB,0.2924037106931711,5
VTC,0.2967548130224344,27
CF,0.3023152550995956,2
EDRC,0.3097522367551258,18
CLUB,0.323689397881073,30
ICOB,0.323927739344524,4
BRIT,0.3440169113329075,3
BSTY,0.3539709196491267,7
PKB,0.3563708397381757,1
POT,0.365783105267812,1
AXIOM,0.3669471167515089,3
LOOK,0.372429682519329,1
MNTC,0.3779080801717708,1
INF,0.3883852278271912,1
ILC,0.3996296717166214,1
OK,0.4131005134659015,25
XPTX,0.4429832502008257,11
ANT,0.4443001175029731,1
PHR,0.4540804468330194,1
NEVA,0.4582536616224779,2
WINGS,0.464912452674084,1
SLS,0.4672349270165935,30
LBC,0.4726108368601498,2
ALIAS,0.4780387118731368,6
VERI,0.4815713497311766,3
BTA,0.4847044293530899,2
SWIFT,0.4884299533718904,16
PAK,0.4954298570127772,28
WC,0.4959833148306131,7
XQN,0.5088993937310688,5
SANDG,0.5231940983697224,1
CNT,0.5343569852791934,1
BITS,0.5503874168955072,1
HMQ,0.554396209684987,1
DGC,0.5577226974606395,29
LANA,0.5963075082340864,2
RDD,0.622870529339302,1
BIS,0.6257541041493219,2
IXC,0.6431795525761987,15
CANN,0.6716565974313153,4
XBC,0.6783479076354777,9
HBN,0.7044063340135058,2
TES,0.7096419301348951,30
SONG,0.7099598810849593,2
SIGNA,0.7175626369109982,4
CLOAK,0.7274394545751565,1
PASC,0.739760425823488,20
CRW,0.7664841953151604,1
PTOY,0.7963931618527669,4
HNC,0.8017774094400956,4
GCC,0.8679169828730314,2
