TIMESTAMP,DOGEMOON_OPEN_PRICE_USD,DOGEMOON_HIGH_PRICE_USD,DOGEMOON_LOW_PRICE_USD,DOGEMOON_CLOSE_PRICE_USD,DOGEMOON_VOLUME_USD,DOGEMOON_DIVIDENDS_USD,DOGEMOON_STOCK_SPLITS_USD
2025-03-15 00:00:00+00:00,,,,0.0,200,0.0,0.0
2025-03-16 00:00:00+00:00,,,,0.0,131,0.0,0.0
2025-03-17 00:00:00+00:00,,,,0.0,172,0.0,0.0
2025-03-18 00:00:00+00:00,,,,0.0,2125,0.0,0.0
2025-03-19 00:00:00+00:00,,,,0.0,396,0.0,0.0
2025-03-20 00:00:00+00:00,,,,0.0,435,0.0,0.0
2025-03-21 00:00:00+00:00,,,,0.0,450,0.0,0.0
2025-03-22 00:00:00+00:00,,,,0.0,263,0.0,0.0
2025-03-23 00:00:00+00:00,,,,0.0,210,0.0,0.0
2025-03-24 00:00:00+00:00,,,,0.0,285,0.0,0.0
2025-03-25 00:00:00+00:00,,,,0.0,71,0.0,0.0
2025-03-26 00:00:00+00:00,,,,0.0,1193,0.0,0.0
2025-03-27 00:00:00+00:00,,,,0.0,2997,0.0,0.0
2025-03-28 00:00:00+00:00,,,,0.0,281,0.0,0.0
2025-03-29 00:00:00+00:00,,,,0.0,539,0.0,0.0
2025-03-30 00:00:00+00:00,,,,0.0,135,0.0,0.0
2025-03-31 00:00:00+00:00,,,,0.0,110,0.0,0.0
2025-04-01 00:00:00+00:00,,,,0.0,39,0.0,0.0
2025-04-02 00:00:00+00:00,,,,0.0,266,0.0,0.0
2025-04-03 00:00:00+00:00,,,,0.0,321,0.0,0.0
2025-04-05 00:00:00+00:00,,,,0.0,180,0.0,0.0
2025-04-07 00:00:00+00:00,,,,0.0,39,0.0,0.0
2025-04-09 00:00:00+00:00,,,,0.0,48,0.0,0.0
2025-04-20 00:00:00+00:00,,,,0.0,503,0.0,0.0
2025-04-22 00:00:00+00:00,,,,0.0,177,0.0,0.0
2025-04-24 00:00:00+00:00,,,,0.0,431,0.0,0.0
2025-05-01 00:00:00+00:00,,,,0.0,93,0.0,0.0
2025-06-01 00:00:00+00:00,1.595259975549837e-13,1.6085200391698778e-13,1.5685999862295047e-13,1.568602019108578e-13,0,0.0,0.0
