TIMESTAMP,DICKBUTT_OPEN_PRICE_USD,DICKBUTT_HIGH_PRICE_USD,DICKBUTT_LOW_PRICE_USD,DICKBUTT_CLOSE_PRICE_USD,DICKBUTT_VOLUME_USD,DICKBUTT_DIVIDENDS_USD,DICKBUTT_STOCK_SPLITS_USD
2025-02-25 00:00:00+00:00,2.9000000722589903e-05,3.199999991920777e-05,2.4000000848900527e-05,3.199999991920777e-05,239406,0.0,0.0
2025-02-26 00:00:00+00:00,3.199999991920777e-05,3.199999991920777e-05,2.4000000848900527e-05,2.700000004551839e-05,123590,0.0,0.0
2025-02-27 00:00:00+00:00,2.700000004551839e-05,3.099999958067201e-05,2.499999936844688e-05,2.9999999242136255e-05,57439,0.0,0.0
2025-02-28 00:00:00+00:00,2.9999999242136255e-05,2.9999999242136255e-05,2.499999936844688e-05,2.8000000384054147e-05,67494,0.0,0.0
2025-03-01 00:00:00+00:00,2.8000000384054147e-05,3.099999958067201e-05,2.5999999706982635e-05,2.700000004551839e-05,88244,0.0,0.0
2025-03-02 00:00:00+00:00,2.700000004551839e-05,3.199999991920777e-05,2.5999999706982635e-05,3.199999991920777e-05,39026,0.0,0.0
2025-03-03 00:00:00+00:00,3.199999991920777e-05,3.199999991920777e-05,2.5999999706982635e-05,2.5999999706982635e-05,48318,0.0,0.0
2025-03-04 00:00:00+00:00,2.5999999706982635e-05,2.5999999706982635e-05,2.2000000171829015e-05,2.499999936844688e-05,62734,0.0,0.0
2025-03-05 00:00:00+00:00,2.499999936844688e-05,2.5999999706982635e-05,2.4000000848900527e-05,2.4000000848900527e-05,22272,0.0,0.0
2025-03-06 00:00:00+00:00,2.4000000848900527e-05,2.499999936844688e-05,2.099999983329326e-05,2.2000000171829015e-05,28888,0.0,0.0
2025-03-07 00:00:00+00:00,2.2000000171829015e-05,2.2000000171829015e-05,1.5999999959603883e-05,1.5999999959603883e-05,73456,0.0,0.0
2025-03-08 00:00:00+00:00,1.5999999959603883e-05,1.5999999959603883e-05,1.4000000192027073e-05,1.4000000192027073e-05,35143,0.0,0.0
2025-03-09 00:00:00+00:00,1.4000000192027073e-05,1.5999999959603883e-05,1.2999999853491317e-05,1.2999999853491317e-05,67103,0.0,0.0
2025-03-10 00:00:00+00:00,1.2999999853491317e-05,1.700000029813964e-05,1.2000000424450263e-05,1.4000000192027073e-05,85187,0.0,0.0
2025-03-11 00:00:00+00:00,1.4000000192027073e-05,2.499999936844688e-05,1.2000000424450263e-05,1.9999999494757503e-05,295282,0.0,0.0
