,LTC,Lag
KOBO,3.8032552852723293e-13,13
XEM,1.8937757619018815e-10,14
OPAL,3.7354116555272886e-10,1
VEC2,4.2196277215576186e-10,30
WC,1.1891988798187802e-09,23
IBANK,6.497930681907783e-09,14
NOBL,2.2098835860749195e-08,26
LTCR,2.5873982765542834e-08,30
MONA,1.1591356218897333e-07,23
RRT,1.967349239243366e-06,30
GAS,9.464479367312935e-06,3
XTO,9.510559762536492e-06,23
CETI,1.0857742977292475e-05,25
QTUM,1.3321111455063394e-05,19
OZO,1.344458325989964e-05,26
ARK,1.4409045853216046e-05,8
EVIL,1.6541042379377002e-05,22
PIVX,2.334933263445068e-05,1
ZCL,2.657309901360373e-05,1
ENT,3.9564564578692e-05,30
ZEN,4.5276984286785945e-05,27
UNIT,6.121553950844764e-05,14
VLT,8.621512390677826e-05,29
KMD,0.0001114024077947,8
C2,0.0001269879343309,19
ETH,0.0001443385256881,30
ICON,0.0001614182477901,4
DCR,0.000163734930423,17
QBC,0.0001810242185303,9
XMR,0.0002061636176108,6
RBT,0.00020803817139,24
LSK,0.0002343269029922,8
ACES,0.0002572158639255,26
DOGE,0.0004750529708853,26
BTB,0.0005460110666967,28
PPC,0.0005634183955624,13
USDT,0.0006069683376189,14
TAJ,0.0006648766245401,6
GNO,0.0007010167892861,18
HBD,0.0008423872942548,9
SPR,0.0009641461903526,6
XWC,0.0011648582547582,20
IMS,0.0011810547488257,22
VTC,0.0014683497162534,21
XMS,0.0015399084896124,25
ETC,0.0015830918599402,29
WYZ,0.0015962309538634,30
XRP,0.0016070412876586,1
ADC,0.0016154853113179,4
PXI,0.0016384517392072,30
FRN,0.0017097025178632,3
BTC,0.001802291928905,11
SC,0.0018434228802968,28
SWING,0.0018479097273053,12
CJ,0.0019346458862946,17
ZEC,0.002006762170634,1
WBB,0.0021132919785845,30
FRC,0.0022719984275494,12
GRS,0.0028548942642361,30
WAVES,0.0029379990175352,9
PHR,0.0029867821513603,30
JLP,0.0036038733902169,29
DCT,0.0036223209183965,3
ZUR,0.0036962143024774,28
BLK,0.0037848259576301,3
MAID,0.0039777650443706,7
XHI,0.004106529866168,24
IOTA,0.0042960741897024,25
BITS,0.0043390524722458,20
ARGUS,0.0045593262751644,9
ZET,0.0054682926052392,25
SKULL,0.0057708280097506,27
MOTO,0.0059464269366429,15
XLM,0.0069164171949888,1
BCN,0.0076511284368656,7
SILK,0.0077900850067744,3
ZOOM,0.0078590357547131,27
NMC,0.0093341156154793,4
CARBON,0.0094901495625044,3
SWIFT,0.009529100946463,2
DASH,0.009999909187339,30
STEEM,0.0110052573128198,5
IRL,0.0124787121606949,30
DEM,0.0126139515393719,2
FIRO,0.0132715913466645,1
XPY,0.0162594172426873,3
TRST,0.0170939254395472,26
SYS,0.0179763300451545,17
LMC,0.0189430676969833,26
MAY,0.0217805814999167,9
TECH,0.0227574898152184,18
DCY,0.0228332482375101,2
BLU,0.0238732062433186,11
2GIVE,0.0238889390140593,4
PXC,0.0239543271623433,25
SKR,0.0252679242977668,30
CAB,0.025375273119101,30
AMBER,0.026154037409468,30
WGR,0.0281112002592968,26
POST,0.0290778475794216,11
FOREX,0.0291056043115541,24
PZM,0.030531939422734,3
TAB,0.0307465973818938,2
VAL,0.0307560509792591,23
BTS,0.0313210896039546,9
CSC,0.0314472517944481,21
MST,0.0355870044258451,1
VIDZ,0.0358653671602623,25
LAMB,0.0361852087128905,1
PLU,0.0364026697993354,19
RLC,0.0368583358822601,3
IFC,0.0371625000132012,22
NXS,0.0400341806828054,25
MCN,0.0414830668645666,7
BCDN,0.0424369530160117,7
ZYD,0.0436425038417374,1
NETKO,0.0446218362892166,5
EUC,0.0459731162496513,1
ALIAS,0.0461646696294027,30
MNTC,0.0498584064242091,1
CNT,0.0519347021516982,24
PKB,0.0530894150700154,2
ACOIN,0.0531807786228182,5
START,0.0560223516097651,30
