TIMESTAMP,NIHAO_OPEN_PRICE_USD,NIHAO_HIGH_PRICE_USD,NIHAO_LOW_PRICE_USD,NIHAO_CLOSE_PRICE_USD,NIHAO_VOLUME_USD,NIHAO_DIVIDENDS_USD,NIHAO_STOCK_SPLITS_USD
2023-05-30 00:00:00+00:00,,,,0.0,1758703,0.0,0.0
2023-05-31 00:00:00+00:00,,,,0.0,1220970,0.0,0.0
2023-06-01 00:00:00+00:00,,,,0.0,13611520,0.0,0.0
2023-06-02 00:00:00+00:00,,,,0.0,10989155,0.0,0.0
2023-06-03 00:00:00+00:00,,,,0.0,3473098,0.0,0.0
2023-06-04 00:00:00+00:00,,,,0.0,1249966,0.0,0.0
2023-06-05 00:00:00+00:00,,,,0.0,1166144,0.0,0.0
2023-06-06 00:00:00+00:00,,,,0.0,858668,0.0,0.0
2023-06-07 00:00:00+00:00,,,,0.0,478439,0.0,0.0
2023-06-08 00:00:00+00:00,,,,0.0,1240702,0.0,0.0
2023-06-09 00:00:00+00:00,,,,0.0,993243,0.0,0.0
2023-06-10 00:00:00+00:00,,,,0.0,488855,0.0,0.0
2023-06-11 00:00:00+00:00,,,,0.0,306460,0.0,0.0
2023-06-12 00:00:00+00:00,,,,0.0,272159,0.0,0.0
2023-06-13 00:00:00+00:00,,,,0.0,295309,0.0,0.0
2023-06-14 00:00:00+00:00,,,,0.0,216152,0.0,0.0
2023-06-15 00:00:00+00:00,,,,0.0,255584,0.0,0.0
2023-06-16 00:00:00+00:00,,,,0.0,205234,0.0,0.0
2023-06-17 00:00:00+00:00,,,,0.0,202922,0.0,0.0
2023-06-18 00:00:00+00:00,,,,0.0,209319,0.0,0.0
2023-06-19 00:00:00+00:00,,,,0.0,211526,0.0,0.0
2023-06-20 00:00:00+00:00,,,,0.0,219651,0.0,0.0
2023-06-21 00:00:00+00:00,,,,0.0,188425,0.0,0.0
2023-06-22 00:00:00+00:00,,,,0.0,239445,0.0,0.0
2023-06-23 00:00:00+00:00,,,,0.0,452314,0.0,0.0
2023-06-24 00:00:00+00:00,,,,0.0,200838,0.0,0.0
2023-06-25 00:00:00+00:00,,,,0.0,191844,0.0,0.0
2023-06-26 00:00:00+00:00,,,,0.0,209540,0.0,0.0
2023-06-27 00:00:00+00:00,,,,0.0,234560,0.0,0.0
2023-06-28 00:00:00+00:00,,,,0.0,201835,0.0,0.0
2023-06-29 00:00:00+00:00,,,,0.0,211829,0.0,0.0
2023-06-30 00:00:00+00:00,,,,0.0,192951,0.0,0.0
2023-07-01 00:00:00+00:00,,,,0.0,175937,0.0,0.0
2023-07-02 00:00:00+00:00,,,,0.0,157805,0.0,0.0
2023-07-03 00:00:00+00:00,,,,0.0,285111,0.0,0.0
2023-07-04 00:00:00+00:00,,,,0.0,316829,0.0,0.0
2023-07-05 00:00:00+00:00,,,,0.0,287960,0.0,0.0
2023-07-06 00:00:00+00:00,,,,0.0,209675,0.0,0.0
2023-07-07 00:00:00+00:00,,,,0.0,282579,0.0,0.0
2023-07-08 00:00:00+00:00,,,,0.0,795198,0.0,0.0
2023-07-09 00:00:00+00:00,,,,0.0,641194,0.0,0.0
2023-07-10 00:00:00+00:00,,,,0.0,497353,0.0,0.0
2023-07-11 00:00:00+00:00,,,,0.0,211204,0.0,0.0
2023-07-12 00:00:00+00:00,,,,0.0,256346,0.0,0.0
2023-07-13 00:00:00+00:00,,,,0.0,221110,0.0,0.0
2023-07-14 00:00:00+00:00,,,,0.0,254783,0.0,0.0
2023-07-15 00:00:00+00:00,,,,0.0,432583,0.0,0.0
2023-07-16 00:00:00+00:00,,,,0.0,217870,0.0,0.0
2023-07-17 00:00:00+00:00,,,,0.0,256020,0.0,0.0
2023-07-18 00:00:00+00:00,,,,0.0,234966,0.0,0.0
2023-07-19 00:00:00+00:00,,,,0.0,207911,0.0,0.0
2023-07-20 00:00:00+00:00,,,,0.0,710415,0.0,0.0
2023-07-21 00:00:00+00:00,,,,0.0,508995,0.0,0.0
