TIMESTAMP,BABYNEIRO_OPEN_PRICE_USD,BABYNEIRO_HIGH_PRICE_USD,BABYNEIRO_LOW_PRICE_USD,BABYNEIRO_CLOSE_PRICE_USD,BABYNEIRO_VOLUME_USD,BABYNEIRO_DIVIDENDS_USD,BABYNEIRO_STOCK_SPLITS_USD
2024-07-28 00:00:00+00:00,,,,0.0,696216,0.0,0.0
2024-07-29 00:00:00+00:00,,,,0.0,913895,0.0,0.0
2024-07-30 00:00:00+00:00,,,,0.0,289153,0.0,0.0
2024-07-31 00:00:00+00:00,,,,0.0,491615,0.0,0.0
2024-08-01 00:00:00+00:00,,,,0.0,56100,0.0,0.0
2024-08-02 00:00:00+00:00,,,,0.0,94611,0.0,0.0
2024-08-03 00:00:00+00:00,,,,0.0,40361,0.0,0.0
2024-08-04 00:00:00+00:00,,,,0.0,33995,0.0,0.0
2024-08-05 00:00:00+00:00,,,,0.0,25395,0.0,0.0
2024-08-06 00:00:00+00:00,,,,0.0,13106,0.0,0.0
2024-08-07 00:00:00+00:00,,,,0.0,22353,0.0,0.0
2024-08-08 00:00:00+00:00,,,,0.0,39990,0.0,0.0
2024-08-09 00:00:00+00:00,,,,0.0,11884,0.0,0.0
2024-08-10 00:00:00+00:00,,,,0.0,13578,0.0,0.0
2024-08-11 00:00:00+00:00,,,,0.0,9347,0.0,0.0
2024-08-12 00:00:00+00:00,,,,0.0,23995,0.0,0.0
2024-08-13 00:00:00+00:00,,,,0.0,5612,0.0,0.0
2024-08-14 00:00:00+00:00,,,,0.0,15682,0.0,0.0
2024-08-15 00:00:00+00:00,,,,0.0,8009,0.0,0.0
2024-08-16 00:00:00+00:00,,,,0.0,4711,0.0,0.0
2024-08-17 00:00:00+00:00,,,,0.0,2706,0.0,0.0
2024-08-18 00:00:00+00:00,,,,0.0,8065,0.0,0.0
2024-08-19 00:00:00+00:00,,,,0.0,5346,0.0,0.0
2024-08-20 00:00:00+00:00,,,,0.0,7516,0.0,0.0
2024-08-21 00:00:00+00:00,,,,0.0,10060,0.0,0.0
2024-08-22 00:00:00+00:00,,,,0.0,7412,0.0,0.0
2024-08-23 00:00:00+00:00,,,,0.0,8467,0.0,0.0
2024-08-24 00:00:00+00:00,,,,0.0,3586,0.0,0.0
