TIMESTAMP,ZEUS36581_OPEN_PRICE_USD,ZEUS36581_HIGH_PRICE_USD,ZEUS36581_LOW_PRICE_USD,ZEUS36581_CLOSE_PRICE_USD,ZEUS36581_VOLUME_USD,ZEUS36581_DIVIDENDS_USD,ZEUS36581_STOCK_SPLITS_USD
2025-05-22 00:00:00+00:00,,,,0.0,2149792,0.0,0.0
2025-05-23 00:00:00+00:00,,,,0.0,1467781,0.0,0.0
2025-05-24 00:00:00+00:00,,,,0.0,929594,0.0,0.0
2025-05-25 00:00:00+00:00,,,,0.0,3258377,0.0,0.0
2025-05-26 00:00:00+00:00,,,,0.0,2296117,0.0,0.0
2025-05-27 00:00:00+00:00,,,,0.0,4372238,0.0,0.0
2025-05-28 00:00:00+00:00,,,,0.0,9996320,0.0,0.0
2025-05-29 00:00:00+00:00,,,,0.0,8460179,0.0,0.0
2025-05-30 00:00:00+00:00,,,,0.0,7345989,0.0,0.0
2025-05-31 00:00:00+00:00,,,,0.0,4267090,0.0,0.0
2025-06-01 00:00:00+00:00,1.0304012931783291e-07,1.28502108509565e-07,9.649867394045941e-08,1.0248400172940819e-07,3716932,0.0,0.0
