TIMESTAMP,ALF32066_OPEN_PRICE_USD,ALF32066_HIGH_PRICE_USD,ALF32066_LOW_PRICE_USD,ALF32066_CLOSE_PRICE_USD,ALF32066_VOLUME_USD,ALF32066_DIVIDENDS_USD,ALF32066_STOCK_SPLITS_USD
2024-07-03 00:00:00+00:00,1.8000000636675395e-05,1.8999999156221747e-05,1.1000000085914508e-05,1.4000000192027073e-05,110697,0.0,0.0
2024-07-04 00:00:00+00:00,1.4000000192027073e-05,1.4000000192027073e-05,1.1000000085914508e-05,1.4000000192027073e-05,56187,0.0,0.0
2024-07-05 00:00:00+00:00,1.4000000192027073e-05,1.4000000192027073e-05,9.000000318337698e-06,1.1000000085914508e-05,71052,0.0,0.0
2024-07-06 00:00:00+00:00,1.1000000085914508e-05,1.2999999853491317e-05,9.999999747378752e-06,1.1000000085914508e-05,35129,0.0,0.0
2024-07-07 00:00:00+00:00,1.1000000085914508e-05,1.2999999853491317e-05,9.000000318337698e-06,9.999999747378752e-06,47415,0.0,0.0
2024-07-08 00:00:00+00:00,9.999999747378752e-06,1.2000000424450263e-05,9.000000318337698e-06,1.1000000085914508e-05,47051,0.0,0.0
2024-07-09 00:00:00+00:00,1.1000000085914508e-05,1.2999999853491317e-05,7.999999979801942e-06,9.000000318337698e-06,45036,0.0,0.0
2024-07-10 00:00:00+00:00,9.000000318337698e-06,9.999999747378752e-06,6.000000212225132e-06,9.000000318337698e-06,71677,0.0,0.0
2024-07-11 00:00:00+00:00,9.000000318337698e-06,9.999999747378752e-06,7.999999979801942e-06,7.999999979801942e-06,24604,0.0,0.0
2024-07-12 00:00:00+00:00,7.999999979801942e-06,9.000000318337698e-06,6.000000212225132e-06,7.000000096013537e-06,21265,0.0,0.0
2024-07-13 00:00:00+00:00,7.000000096013537e-06,7.999999979801942e-06,7.000000096013537e-06,7.000000096013537e-06,17854,0.0,0.0
2024-07-14 00:00:00+00:00,7.000000096013537e-06,7.999999979801942e-06,7.000000096013537e-06,7.000000096013537e-06,8980,0.0,0.0
2024-07-15 00:00:00+00:00,7.000000096013537e-06,1.2000000424450263e-05,7.000000096013537e-06,1.1000000085914508e-05,39867,0.0,0.0
2024-07-16 00:00:00+00:00,1.1000000085914508e-05,1.4999999621068127e-05,1.1000000085914508e-05,1.2000000424450263e-05,93067,0.0,0.0
2024-07-17 00:00:00+00:00,1.2999999853491317e-05,1.700000029813964e-05,1.1000000085914508e-05,1.4999999621068127e-05,59393,0.0,0.0
