TIMESTAMP,MAXIMUSA_OPEN_PRICE_USD,MAXIMUSA_HIGH_PRICE_USD,MAXIMUSA_LOW_PRICE_USD,MAXIMUSA_CLOSE_PRICE_USD,MAXIMUSA_VOLUME_USD,MAXIMUSA_DIVIDENDS_USD,MAXIMUSA_STOCK_SPLITS_USD
2025-04-09 00:00:00+00:00,,,,0.0,102720,0.0,0.0
2025-04-10 00:00:00+00:00,,,,0.0,283440,0.0,0.0
2025-04-11 00:00:00+00:00,,,,0.0,27555,0.0,0.0
2025-04-12 00:00:00+00:00,,,,0.0,4481,0.0,0.0
2025-04-13 00:00:00+00:00,,,,0.0,10037,0.0,0.0
2025-04-14 00:00:00+00:00,,,,0.0,2621,0.0,0.0
2025-04-15 00:00:00+00:00,,,,0.0,2866,0.0,0.0
2025-04-16 00:00:00+00:00,,,,0.0,3615,0.0,0.0
2025-04-18 00:00:00+00:00,,,,0.0,2744,0.0,0.0
2025-04-20 00:00:00+00:00,,,,0.0,692,0.0,0.0
2025-04-23 00:00:00+00:00,,,,0.0,11,0.0,0.0
2025-04-24 00:00:00+00:00,,,,0.0,33,0.0,0.0
2025-04-26 00:00:00+00:00,,,,0.0,419,0.0,0.0
2025-04-27 00:00:00+00:00,,,,0.0,4131,0.0,0.0
2025-04-29 00:00:00+00:00,,,,0.0,548,0.0,0.0
2025-05-08 00:00:00+00:00,,,,0.0,11693,0.0,0.0
2025-05-14 00:00:00+00:00,,,,0.0,1214,0.0,0.0
2025-05-16 00:00:00+00:00,,,,0.0,191,0.0,0.0
2025-05-20 00:00:00+00:00,,,,0.0,69,0.0,0.0
2025-06-01 00:00:00+00:00,1.7385900119744335e-13,1.7685799927422835e-13,1.7017500418808201e-13,1.7685791795906541e-13,55,0.0,0.0
