TIMESTAMP,DNAPEPE_OPEN_PRICE_USD,DNAPEPE_HIGH_PRICE_USD,DNAPEPE_LOW_PRICE_USD,DNAPEPE_CLOSE_PRICE_USD,DNAPEPE_VOLUME_USD,DNAPEPE_DIVIDENDS_USD,DNAPEPE_STOCK_SPLITS_USD
2025-01-14 00:00:00+00:00,,,,0.0,2027,0.0,0.0
2025-01-15 00:00:00+00:00,,,,0.0,1134,0.0,0.0
2025-01-16 00:00:00+00:00,,,,0.0,1841,0.0,0.0
2025-01-17 00:00:00+00:00,,,,0.0,789,0.0,0.0
2025-01-18 00:00:00+00:00,,,,0.0,1263,0.0,0.0
2025-01-19 00:00:00+00:00,,,,0.0,889,0.0,0.0
2025-01-20 00:00:00+00:00,,,,0.0,723,0.0,0.0
2025-01-21 00:00:00+00:00,,,,0.0,963,0.0,0.0
2025-01-22 00:00:00+00:00,,,,0.0,547,0.0,0.0
2025-01-23 00:00:00+00:00,,,,0.0,658,0.0,0.0
2025-01-24 00:00:00+00:00,,,,0.0,414,0.0,0.0
2025-01-25 00:00:00+00:00,,,,0.0,1330,0.0,0.0
2025-01-26 00:00:00+00:00,,,,0.0,1091,0.0,0.0
2025-01-27 00:00:00+00:00,,,,0.0,1077,0.0,0.0
2025-01-28 00:00:00+00:00,,,,0.0,1263,0.0,0.0
2025-01-29 00:00:00+00:00,,,,0.0,1218,0.0,0.0
2025-01-30 00:00:00+00:00,,,,0.0,1631,0.0,0.0
2025-01-31 00:00:00+00:00,,,,0.0,905,0.0,0.0
2025-02-01 00:00:00+00:00,,,,0.0,961,0.0,0.0
2025-02-02 00:00:00+00:00,,,,0.0,1268,0.0,0.0
2025-02-03 00:00:00+00:00,,,,0.0,897,0.0,0.0
2025-02-04 00:00:00+00:00,,,,0.0,604,0.0,0.0
2025-02-05 00:00:00+00:00,,,,0.0,418,0.0,0.0
2025-02-06 00:00:00+00:00,,,,0.0,288,0.0,0.0
2025-02-07 00:00:00+00:00,,,,0.0,158,0.0,0.0
2025-02-08 00:00:00+00:00,,,,0.0,1537,0.0,0.0
2025-02-09 00:00:00+00:00,,,,0.0,573,0.0,0.0
2025-02-10 00:00:00+00:00,,,,0.0,132,0.0,0.0
2025-02-11 00:00:00+00:00,,,,0.0,147,0.0,0.0
2025-02-12 00:00:00+00:00,,,,0.0,83,0.0,0.0
2025-02-13 00:00:00+00:00,,,,0.0,473,0.0,0.0
2025-02-14 00:00:00+00:00,,,,0.0,392,0.0,0.0
2025-02-15 00:00:00+00:00,,,,0.0,2,0.0,0.0
2025-02-16 00:00:00+00:00,,,,0.0,163,0.0,0.0
2025-02-17 00:00:00+00:00,,,,0.0,91,0.0,0.0
2025-02-18 00:00:00+00:00,,,,0.0,9,0.0,0.0
2025-02-20 00:00:00+00:00,,,,0.0,10976,0.0,0.0
2025-02-21 00:00:00+00:00,,,,0.0,660,0.0,0.0
2025-02-22 00:00:00+00:00,,,,0.0,380,0.0,0.0
2025-02-23 00:00:00+00:00,,,,0.0,111,0.0,0.0
2025-02-24 00:00:00+00:00,,,,0.0,108,0.0,0.0
2025-02-26 00:00:00+00:00,,,,0.0,310,0.0,0.0
2025-02-27 00:00:00+00:00,,,,0.0,245,0.0,0.0
2025-02-28 00:00:00+00:00,,,,0.0,253,0.0,0.0
2025-03-01 00:00:00+00:00,,,,0.0,134,0.0,0.0
2025-03-02 00:00:00+00:00,,,,0.0,572,0.0,0.0
2025-03-03 00:00:00+00:00,,,,0.0,327,0.0,0.0
2025-03-10 00:00:00+00:00,,,,0.0,2,0.0,0.0
2025-03-12 00:00:00+00:00,,,,0.0,72,0.0,0.0
2025-03-18 00:00:00+00:00,,,,0.0,71,0.0,0.0
2025-03-19 00:00:00+00:00,,,,0.0,222,0.0,0.0
2025-03-26 00:00:00+00:00,,,,0.0,91,0.0,0.0
2025-04-01 00:00:00+00:00,,,,0.0,1,0.0,0.0
2025-04-14 00:00:00+00:00,,,,0.0,1473,0.0,0.0
2025-04-24 00:00:00+00:00,,,,0.0,8,0.0,0.0
2025-04-28 00:00:00+00:00,,,,0.0,424,0.0,0.0
2025-06-01 00:00:00+00:00,2.3986899706091025e-13,2.3986899706091025e-13,2.3986872601036713e-13,2.3986872601036713e-13,55,0.0,0.0
