TIMESTAMP,DINGER_OPEN_PRICE_USD,DINGER_HIGH_PRICE_USD,DINGER_LOW_PRICE_USD,DINGER_CLOSE_PRICE_USD,DINGER_VOLUME_USD,DINGER_DIVIDENDS_USD,DINGER_STOCK_SPLITS_USD
2021-10-27 00:00:00+00:00,4.400000034365803e-05,8.70000003487803e-05,1.5999999959603883e-05,6.800000119255856e-05,13671350,0.0,0.0
2021-10-28 00:00:00+00:00,6.800000119255856e-05,0.00013499999477062374,5.8000001445179805e-05,0.00011600000289035961,16704356,0.0,0.0
2021-10-29 00:00:00+00:00,0.00011600000289035961,0.00012399999832268804,5.999999848427251e-05,8.900000102585182e-05,7370815,0.0,0.0
2021-10-30 00:00:00+00:00,9.000000136438757e-05,0.00010599999950500205,7.100000220816582e-05,8.900000102585182e-05,4075155,0.0,0.0
2021-10-31 00:00:00+00:00,8.900000102585182e-05,9.100000170292333e-05,5.2999999752501026e-05,6.70000008540228e-05,2811715,0.0,0.0
2021-11-01 00:00:00+00:00,6.70000008540228e-05,0.00010699999984353781,6.0999998822808266e-05,9.600000339560211e-05,2874842,0.0,0.0
2021-11-02 00:00:00+00:00,9.699999645818025e-05,9.699999645818025e-05,6.199999916134402e-05,7.79999973019585e-05,2695650,0.0,0.0
2021-11-03 00:00:00+00:00,7.79999973019585e-05,0.00010699999984353781,6.500000017695129e-05,0.00010199999815085903,4548412,0.0,0.0
2021-11-04 00:00:00+00:00,0.00010099999781232327,0.00010099999781232327,6.399999983841553e-05,7.79999973019585e-05,3140821,0.0,0.0
2021-11-05 00:00:00+00:00,7.699999696342275e-05,8.70000003487803e-05,6.70000008540228e-05,8.099999831756577e-05,1383068,0.0,0.0
2021-11-06 00:00:00+00:00,8.099999831756577e-05,8.099999831756577e-05,3.400000059627928e-05,5.900000178371556e-05,4455393,0.0,0.0
2021-11-07 00:00:00+00:00,5.900000178371556e-05,7.300000288523734e-05,3.7000001611886546e-05,5.700000110664405e-05,2211224,0.0,0.0
2021-11-08 00:00:00+00:00,5.700000110664405e-05,6.900000153109431e-05,4.099999932805076e-05,6.0999998822808266e-05,1380981,0.0,0.0
2021-11-09 00:00:00+00:00,6.0999998822808266e-05,7.79999973019585e-05,5.2999999752501026e-05,5.6000000768108293e-05,2150718,0.0,0.0
2021-11-10 00:00:00+00:00,5.6000000768108293e-05,5.700000110664405e-05,4.5000000682193786e-05,4.999999873689376e-05,1165306,0.0,0.0
2021-11-11 00:00:00+00:00,4.999999873689376e-05,5.500000042957254e-05,3.899999865097925e-05,5.0999999075429514e-05,1928973,0.0,0.0
2021-11-12 00:00:00+00:00,5.0999999075429514e-05,5.2999999752501026e-05,3.300000025774352e-05,4.400000034365803e-05,1470539,0.0,0.0
2021-11-13 00:00:00+00:00,4.400000034365803e-05,4.5000000682193786e-05,3.199999991920777e-05,3.5000000934815034e-05,873983,0.0,0.0
2021-11-14 00:00:00+00:00,3.5000000934815034e-05,4.8999998398358e-05,2.2000000171829015e-05,4.5000000682193786e-05,1742901,0.0,0.0
2021-11-15 00:00:00+00:00,4.5000000682193786e-05,5.6000000768108293e-05,3.7999998312443495e-05,5.400000009103678e-05,1555499,0.0,0.0
2021-11-16 00:00:00+00:00,5.400000009103678e-05,0.000307999987853691,3.400000059627928e-05,3.5000000934815034e-05,888436,0.0,0.0
2021-11-17 00:00:00+00:00,3.5000000934815034e-05,5.6000000768108293e-05,2.9000000722589903e-05,3.7000001611886546e-05,937873,0.0,0.0
2021-11-18 00:00:00+00:00,3.7000001611886546e-05,4.70000013592653e-05,2.9999999242136255e-05,3.300000025774352e-05,801717,0.0,0.0
2021-11-19 00:00:00+00:00,3.300000025774352e-05,4.099999932805076e-05,3.199999991920777e-05,3.9999998989515007e-05,698056,0.0,0.0
