TIMESTAMP,BABYMYRO_OPEN_PRICE_USD,BABYMYRO_HIGH_PRICE_USD,BABYMYRO_LOW_PRICE_USD,BABYMYRO_CLOSE_PRICE_USD,BABYMYRO_VOLUME_USD,BABYMYRO_DIVIDENDS_USD,BABYMYRO_STOCK_SPLITS_USD
2024-01-12 00:00:00+00:00,,,,0.0,1255500,0.0,0.0
2024-01-13 00:00:00+00:00,,,,0.0,1664523,0.0,0.0
2024-01-14 00:00:00+00:00,,,,0.0,889728,0.0,0.0
2024-01-15 00:00:00+00:00,,,,0.0,726530,0.0,0.0
2024-01-16 00:00:00+00:00,,,,0.0,459643,0.0,0.0
2024-01-17 00:00:00+00:00,,,,0.0,280412,0.0,0.0
2024-01-18 00:00:00+00:00,,,,0.0,155083,0.0,0.0
2024-01-19 00:00:00+00:00,,,,0.0,117776,0.0,0.0
2024-01-20 00:00:00+00:00,,,,0.0,34138,0.0,0.0
2024-01-21 00:00:00+00:00,,,,0.0,170460,0.0,0.0
2024-01-22 00:00:00+00:00,,,,0.0,197745,0.0,0.0
2024-01-23 00:00:00+00:00,,,,0.0,39375,0.0,0.0
2024-01-24 00:00:00+00:00,,,,0.0,12502,0.0,0.0
2024-01-25 00:00:00+00:00,,,,0.0,10130,0.0,0.0
2024-01-26 00:00:00+00:00,,,,0.0,3753,0.0,0.0
2024-01-27 00:00:00+00:00,,,,0.0,4414,0.0,0.0
2024-01-28 00:00:00+00:00,,,,0.0,2388,0.0,0.0
2024-01-29 00:00:00+00:00,,,,0.0,3423,0.0,0.0
2024-01-30 00:00:00+00:00,,,,0.0,3570,0.0,0.0
2024-01-31 00:00:00+00:00,,,,0.0,8110,0.0,0.0
2024-02-01 00:00:00+00:00,,,,0.0,2399,0.0,0.0
2024-02-02 00:00:00+00:00,,,,0.0,3589,0.0,0.0
2024-02-03 00:00:00+00:00,,,,0.0,2298,0.0,0.0
2024-02-04 00:00:00+00:00,,,,0.0,4820,0.0,0.0
2024-02-05 00:00:00+00:00,,,,0.0,698,0.0,0.0
2024-02-06 00:00:00+00:00,,,,0.0,3888,0.0,0.0
2024-02-07 00:00:00+00:00,,,,0.0,938,0.0,0.0
2024-02-08 00:00:00+00:00,,,,0.0,260,0.0,0.0
2024-02-09 00:00:00+00:00,,,,0.0,282,0.0,0.0
2024-02-10 00:00:00+00:00,,,,0.0,988,0.0,0.0
2024-02-11 00:00:00+00:00,,,,0.0,1695,0.0,0.0
2024-02-12 00:00:00+00:00,,,,0.0,280,0.0,0.0
2024-02-13 00:00:00+00:00,,,,0.0,783,0.0,0.0
2024-02-14 00:00:00+00:00,,,,0.0,1106,0.0,0.0
2024-02-15 00:00:00+00:00,,,,0.0,1872,0.0,0.0
2024-02-16 00:00:00+00:00,,,,0.0,433,0.0,0.0
2024-02-17 00:00:00+00:00,,,,0.0,340,0.0,0.0
2024-02-18 00:00:00+00:00,,,,0.0,191,0.0,0.0
2024-02-19 00:00:00+00:00,,,,0.0,1312,0.0,0.0
2024-02-20 00:00:00+00:00,,,,0.0,780,0.0,0.0
2024-02-21 00:00:00+00:00,,,,0.0,1258,0.0,0.0
2024-02-22 00:00:00+00:00,,,,0.0,891,0.0,0.0
2024-02-23 00:00:00+00:00,,,,0.0,2375,0.0,0.0
2024-02-24 00:00:00+00:00,,,,0.0,524,0.0,0.0
2024-02-25 00:00:00+00:00,,,,0.0,867,0.0,0.0
2024-02-26 00:00:00+00:00,,,,0.0,129,0.0,0.0
2024-02-27 00:00:00+00:00,,,,0.0,884,0.0,0.0
2024-02-28 00:00:00+00:00,,,,0.0,361,0.0,0.0
2024-02-29 00:00:00+00:00,,,,0.0,188,0.0,0.0
2024-03-01 00:00:00+00:00,,,,0.0,2370,0.0,0.0
2024-03-02 00:00:00+00:00,,,,0.0,2739,0.0,0.0
2024-03-03 00:00:00+00:00,,,,0.0,4149,0.0,0.0
2024-03-04 00:00:00+00:00,,,,0.0,4841,0.0,0.0
2024-03-05 00:00:00+00:00,,,,0.0,3443,0.0,0.0
2024-03-06 00:00:00+00:00,,,,0.0,3001,0.0,0.0
2024-03-07 00:00:00+00:00,,,,0.0,2172,0.0,0.0
2024-03-08 00:00:00+00:00,,,,0.0,2149,0.0,0.0
2024-03-09 00:00:00+00:00,,,,0.0,2403,0.0,0.0
2024-03-10 00:00:00+00:00,,,,0.0,25185,0.0,0.0
2024-03-11 00:00:00+00:00,,,,0.0,60831,0.0,0.0
2024-03-12 00:00:00+00:00,,,,0.0,6235,0.0,0.0
2024-03-13 00:00:00+00:00,,,,0.0,5003,0.0,0.0
2024-03-14 00:00:00+00:00,,,,0.0,19603,0.0,0.0
2024-03-15 00:00:00+00:00,,,,0.0,3299,0.0,0.0
2024-03-16 00:00:00+00:00,,,,0.0,2940,0.0,0.0
2024-03-17 00:00:00+00:00,,,,0.0,3549,0.0,0.0
2024-03-18 00:00:00+00:00,,,,0.0,750,0.0,0.0
2024-03-19 00:00:00+00:00,,,,0.0,2306,0.0,0.0
2024-03-20 00:00:00+00:00,,,,0.0,1294,0.0,0.0
2024-03-21 00:00:00+00:00,,,,0.0,551,0.0,0.0
2024-03-22 00:00:00+00:00,,,,0.0,889,0.0,0.0
2024-03-23 00:00:00+00:00,,,,0.0,372,0.0,0.0
2024-03-24 00:00:00+00:00,,,,0.0,139,0.0,0.0
2024-03-25 00:00:00+00:00,,,,0.0,1830,0.0,0.0
2024-03-26 00:00:00+00:00,,,,0.0,1694,0.0,0.0
2024-03-27 00:00:00+00:00,,,,0.0,384,0.0,0.0
2024-03-28 00:00:00+00:00,,,,0.0,462,0.0,0.0
2024-03-29 00:00:00+00:00,,,,0.0,430,0.0,0.0
2024-03-30 00:00:00+00:00,,,,0.0,257,0.0,0.0
2024-03-31 00:00:00+00:00,,,,0.0,658,0.0,0.0
2024-04-01 00:00:00+00:00,,,,0.0,137,0.0,0.0
