TIMESTAMP,GRUMPY_OPEN_PRICE_USD,GRUMPY_HIGH_PRICE_USD,GRUMPY_LOW_PRICE_USD,GRUMPY_CLOSE_PRICE_USD,GRUMPY_VOLUME_USD,GRUMPY_DIVIDENDS_USD,GRUMPY_STOCK_SPLITS_USD
2024-09-30 00:00:00+00:00,0.00023700000019744039,0.0003440000000409782,0.00020300000323913991,0.00028300000121816993,154010,0.0,0.0
2024-10-01 00:00:00+00:00,0.00028300000121816993,0.00039500001003034413,0.0001720000000204891,0.0001740000006975606,111574,0.0,0.0
2024-10-02 00:00:00+00:00,0.0001740000006975606,0.00021800000104121864,0.00011899999663000926,0.00013499999477062374,28758,0.0,0.0
2024-10-03 00:00:00+00:00,0.00013499999477062374,0.00013600000238511711,2.2000000171829015e-05,3.300000025774352e-05,35595,0.0,0.0
2024-10-04 00:00:00+00:00,3.300000025774352e-05,3.7999998312443495e-05,2.099999983329326e-05,2.099999983329326e-05,9974,0.0,0.0
2024-10-05 00:00:00+00:00,2.099999983329326e-05,2.8000000384054147e-05,1.8000000636675395e-05,1.8999999156221747e-05,5088,0.0,0.0
2024-10-06 00:00:00+00:00,1.8999999156221747e-05,1.8999999156221747e-05,1.4999999621068127e-05,1.5999999959603883e-05,3501,0.0,0.0
2024-10-07 00:00:00+00:00,1.5999999959603883e-05,1.5999999959603883e-05,1.4999999621068127e-05,1.4999999621068127e-05,1646,0.0,0.0
2024-10-08 00:00:00+00:00,1.4999999621068127e-05,3.600000127335079e-05,1.4999999621068127e-05,2.4000000848900527e-05,14888,0.0,0.0
2024-10-09 00:00:00+00:00,2.4000000848900527e-05,2.4000000848900527e-05,1.4000000192027073e-05,1.5999999959603883e-05,5377,0.0,0.0
2024-10-10 00:00:00+00:00,1.5999999959603883e-05,7.999999797903001e-05,1.2999999853491317e-05,5.500000042957254e-05,98887,0.0,0.0
2024-10-11 00:00:00+00:00,5.500000042957254e-05,0.00013800000306218863,3.7000001611886546e-05,4.5000000682193786e-05,82379,0.0,0.0
2024-10-12 00:00:00+00:00,4.5000000682193786e-05,6.0999998822808266e-05,2.2000000171829015e-05,2.499999936844688e-05,32869,0.0,0.0
2024-10-13 00:00:00+00:00,2.499999936844688e-05,3.9999998989515007e-05,1.700000029813964e-05,2.8000000384054147e-05,25847,0.0,0.0
2024-10-14 00:00:00+00:00,2.8000000384054147e-05,4.8999998398358e-05,2.8000000384054147e-05,3.199999991920777e-05,20657,0.0,0.0
2024-10-15 00:00:00+00:00,3.199999991920777e-05,3.199999991920777e-05,2.300000051036477e-05,2.4000000848900527e-05,7112,0.0,0.0
2024-10-16 00:00:00+00:00,2.4000000848900527e-05,2.9000000722589903e-05,2.099999983329326e-05,2.099999983329326e-05,3355,0.0,0.0
2024-10-17 00:00:00+00:00,2.099999983329326e-05,2.2000000171829015e-05,1.8999999156221747e-05,1.9999999494757503e-05,737,0.0,0.0
2024-10-18 00:00:00+00:00,1.9999999494757503e-05,2.300000051036477e-05,1.8999999156221747e-05,1.9999999494757503e-05,3264,0.0,0.0
2024-10-19 00:00:00+00:00,1.9999999494757503e-05,2.5999999706982635e-05,1.9999999494757503e-05,2.2000000171829015e-05,4052,0.0,0.0
2024-10-20 00:00:00+00:00,2.2000000171829015e-05,2.2000000171829015e-05,2.099999983329326e-05,2.2000000171829015e-05,229,0.0,0.0
2024-10-21 00:00:00+00:00,2.2000000171829015e-05,2.2000000171829015e-05,1.8999999156221747e-05,1.8999999156221747e-05,1348,0.0,0.0
2024-10-22 00:00:00+00:00,1.8999999156221747e-05,2.9000000722589903e-05,1.8999999156221747e-05,2.300000051036477e-05,5242,0.0,0.0
