TIMESTAMP,ASV35226_OPEN_PRICE_USD,ASV35226_HIGH_PRICE_USD,ASV35226_LOW_PRICE_USD,ASV35226_CLOSE_PRICE_USD,ASV35226_VOLUME_USD,ASV35226_DIVIDENDS_USD,ASV35226_STOCK_SPLITS_USD
2025-03-06 00:00:00+00:00,0.1143449991941452,0.1173119992017746,0.10289499908685684,0.10406500101089478,11909,0.0,0.0
2025-03-07 00:00:00+00:00,0.10406500101089478,0.10407499969005585,0.09645300358533859,0.09721300005912781,18803,0.0,0.0
2025-03-08 00:00:00+00:00,0.09721300005912781,0.11037400364875793,0.09392599761486053,0.10028199851512909,29972,0.0,0.0
2025-03-09 00:00:00+00:00,0.10028199851512909,0.10185900330543518,0.09029900282621384,0.09131799638271332,3061,0.0,0.0
2025-03-10 00:00:00+00:00,0.09131799638271332,0.09771399945020676,0.03953099995851517,0.05345600098371506,178224,0.0,0.0
2025-03-11 00:00:00+00:00,0.05345600098371506,0.06147199869155884,0.050188999623060226,0.057367000728845596,10393,0.0,0.0
2025-03-12 00:00:00+00:00,0.057367000728845596,0.06397899985313416,0.05582699924707413,0.06134499981999397,1814,0.0,0.0
2025-03-13 00:00:00+00:00,0.06134499981999397,0.06831400096416473,0.059703998267650604,0.06121499836444855,9753,0.0,0.0
2025-03-14 00:00:00+00:00,0.06121499836444855,0.08186399936676025,0.060878999531269073,0.07117599993944168,10748,0.0,0.0
2025-03-15 00:00:00+00:00,0.07117599993944168,0.07427799701690674,0.06331700086593628,0.06577199697494507,1099,0.0,0.0
2025-03-16 00:00:00+00:00,0.06577199697494507,0.06695400178432465,0.06133300065994263,0.06319999694824219,5318,0.0,0.0
2025-03-17 00:00:00+00:00,0.06319999694824219,0.06713700294494629,0.059282999485731125,0.06290599703788757,31013,0.0,0.0
2025-03-18 00:00:00+00:00,0.06290599703788757,0.06290700286626816,0.055309999734163284,0.05681300163269043,15588,0.0,0.0
2025-03-19 00:00:00+00:00,0.05681300163269043,0.05812099948525429,0.05386500060558319,0.056575000286102295,16907,0.0,0.0
2025-03-20 00:00:00+00:00,0.056575000286102295,0.05683799833059311,0.053199999034404755,0.053957000374794006,10972,0.0,0.0
