TIMESTAMP,BADCAT_OPEN_PRICE_USD,BADCAT_HIGH_PRICE_USD,BADCAT_LOW_PRICE_USD,BADCAT_CLOSE_PRICE_USD,BADCAT_VOLUME_USD,BADCAT_DIVIDENDS_USD,BADCAT_STOCK_SPLITS_USD
2024-05-03 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,79335,0.0,0.0
2024-05-04 00:00:00+00:00,,,,0.0,25625,0.0,0.0
2024-05-05 00:00:00+00:00,,,,0.0,22327,0.0,0.0
2024-05-06 00:00:00+00:00,,,,0.0,22558,0.0,0.0
2024-05-07 00:00:00+00:00,,,,0.0,12076,0.0,0.0
2024-05-08 00:00:00+00:00,,,,0.0,8799,0.0,0.0
2024-05-09 00:00:00+00:00,,,,0.0,19116,0.0,0.0
2024-05-10 00:00:00+00:00,,,,0.0,11097,0.0,0.0
2024-05-11 00:00:00+00:00,,,,0.0,7264,0.0,0.0
2024-05-12 00:00:00+00:00,,,,0.0,13295,0.0,0.0
2024-05-13 00:00:00+00:00,,,,0.0,3045,0.0,0.0
2024-05-14 00:00:00+00:00,,,,0.0,7521,0.0,0.0
2024-05-15 00:00:00+00:00,,,,0.0,10322,0.0,0.0
2024-05-16 00:00:00+00:00,,,,0.0,9599,0.0,0.0
2024-05-17 00:00:00+00:00,,,,0.0,1649,0.0,0.0
2024-05-18 00:00:00+00:00,,,,0.0,9658,0.0,0.0
2024-05-19 00:00:00+00:00,,,,0.0,12124,0.0,0.0
2024-05-20 00:00:00+00:00,,,,0.0,10426,0.0,0.0
2024-05-21 00:00:00+00:00,,,,0.0,325,0.0,0.0
2024-05-22 00:00:00+00:00,,,,0.0,36457,0.0,0.0
2024-05-23 00:00:00+00:00,,,,0.0,42119,0.0,0.0
2024-05-24 00:00:00+00:00,,,,0.0,13072,0.0,0.0
2024-05-25 00:00:00+00:00,,,,0.0,9192,0.0,0.0
2024-05-26 00:00:00+00:00,,,,0.0,22852,0.0,0.0
2024-05-27 00:00:00+00:00,,,,0.0,7655,0.0,0.0
2024-05-28 00:00:00+00:00,,,,0.0,17042,0.0,0.0
2024-05-29 00:00:00+00:00,,,,0.0,6398,0.0,0.0
2024-05-30 00:00:00+00:00,,,,0.0,8812,0.0,0.0
2024-05-31 00:00:00+00:00,,,,0.0,7306,0.0,0.0
2024-06-01 00:00:00+00:00,0.0,4.999999873689376e-06,0.0,1.9999999949504854e-06,178492,0.0,0.0
2024-06-02 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,113703,0.0,0.0
2024-06-03 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,101412,0.0,0.0
