TIMESTAMP,PLANET26585_OPEN_PRICE_USD,PLANET26585_HIGH_PRICE_USD,PLANET26585_LOW_PRICE_USD,PLANET26585_CLOSE_PRICE_USD,PLANET26585_VOLUME_USD,PLANET26585_DIVIDENDS_USD,PLANET26585_STOCK_SPLITS_USD
2023-06-10 00:00:00+00:00,4.099999932805076e-05,4.099999932805076e-05,3.600000127335079e-05,3.9999998989515007e-05,2087354,0.0,0.0
2023-06-11 00:00:00+00:00,3.9999998989515007e-05,4.199999966658652e-05,3.7000001611886546e-05,3.9999998989515007e-05,3005989,0.0,0.0
2023-06-12 00:00:00+00:00,3.9999998989515007e-05,4.8000001697801054e-05,3.7999998312443495e-05,4.5000000682193786e-05,5086289,0.0,0.0
2023-06-13 00:00:00+00:00,4.5000000682193786e-05,5.900000178371556e-05,4.400000034365803e-05,5.6000000768108293e-05,5209220,0.0,0.0
2023-06-14 00:00:00+00:00,5.6000000768108293e-05,6.500000017695129e-05,5.400000009103678e-05,5.999999848427251e-05,6715592,0.0,0.0
2023-06-15 00:00:00+00:00,5.999999848427251e-05,6.399999983841553e-05,5.700000110664405e-05,5.900000178371556e-05,4796938,0.0,0.0
2023-06-16 00:00:00+00:00,5.900000178371556e-05,7.300000288523734e-05,5.400000009103678e-05,6.299999949987978e-05,16072625,0.0,0.0
2023-06-17 00:00:00+00:00,6.299999949987978e-05,7.599999662488699e-05,6.299999949987978e-05,7.500000356230885e-05,5599653,0.0,0.0
2023-06-18 00:00:00+00:00,7.500000356230885e-05,8.099999831756577e-05,7.100000220816582e-05,7.500000356230885e-05,6918297,0.0,0.0
2023-06-19 00:00:00+00:00,7.500000356230885e-05,8.499999967170879e-05,6.500000017695129e-05,7.899999764049426e-05,9456064,0.0,0.0
2023-06-20 00:00:00+00:00,7.899999764049426e-05,8.299999899463728e-05,7.599999662488699e-05,7.999999797903001e-05,6290504,0.0,0.0
2023-06-21 00:00:00+00:00,7.999999797903001e-05,8.900000102585182e-05,7.599999662488699e-05,8.299999899463728e-05,8183595,0.0,0.0
2023-06-22 00:00:00+00:00,8.299999899463728e-05,8.600000001024455e-05,7.599999662488699e-05,7.699999696342275e-05,6977460,0.0,0.0
2023-06-23 00:00:00+00:00,7.699999696342275e-05,7.999999797903001e-05,6.800000119255856e-05,7.79999973019585e-05,9326925,0.0,0.0
2023-06-24 00:00:00+00:00,7.79999973019585e-05,8.299999899463728e-05,7.400000322377309e-05,7.500000356230885e-05,7075736,0.0,0.0
2023-06-25 00:00:00+00:00,7.500000356230885e-05,7.500000356230885e-05,6.600000051548705e-05,6.900000153109431e-05,5524311,0.0,0.0
2023-06-26 00:00:00+00:00,6.900000153109431e-05,7.200000254670158e-05,6.800000119255856e-05,7.000000186963007e-05,8341965,0.0,0.0
2023-06-27 00:00:00+00:00,7.000000186963007e-05,7.300000288523734e-05,6.800000119255856e-05,7.200000254670158e-05,9631502,0.0,0.0
2023-06-28 00:00:00+00:00,7.200000254670158e-05,7.599999662488699e-05,6.800000119255856e-05,6.900000153109431e-05,9152544,0.0,0.0
2023-06-29 00:00:00+00:00,6.900000153109431e-05,7.100000220816582e-05,5.6000000768108293e-05,6.900000153109431e-05,9864759,0.0,0.0
2023-06-30 00:00:00+00:00,6.900000153109431e-05,7.200000254670158e-05,6.70000008540228e-05,7.000000186963007e-05,8915533,0.0,0.0
2023-07-01 00:00:00+00:00,7.000000186963007e-05,7.100000220816582e-05,6.70000008540228e-05,7.100000220816582e-05,8949950,0.0,0.0
2023-07-02 00:00:00+00:00,7.100000220816582e-05,7.100000220816582e-05,6.800000119255856e-05,7.000000186963007e-05,8715917,0.0,0.0
2023-07-03 00:00:00+00:00,7.000000186963007e-05,7.300000288523734e-05,6.800000119255856e-05,7.000000186963007e-05,8919209,0.0,0.0
2023-07-04 00:00:00+00:00,7.000000186963007e-05,7.000000186963007e-05,6.70000008540228e-05,6.800000119255856e-05,8516613,0.0,0.0
2023-07-05 00:00:00+00:00,6.800000119255856e-05,6.800000119255856e-05,6.399999983841553e-05,6.399999983841553e-05,8676411,0.0,0.0
2023-07-06 00:00:00+00:00,6.500000017695129e-05,8.299999899463728e-05,5.700000110664405e-05,7.500000356230885e-05,15172497,0.0,0.0
2023-07-07 00:00:00+00:00,7.500000356230885e-05,7.699999696342275e-05,7.000000186963007e-05,7.500000356230885e-05,13890421,0.0,0.0
2023-07-08 00:00:00+00:00,7.500000356230885e-05,7.79999973019585e-05,5.999999848427251e-05,7.599999662488699e-05,18142812,0.0,0.0
2023-07-09 00:00:00+00:00,7.599999662488699e-05,7.999999797903001e-05,7.100000220816582e-05,7.699999696342275e-05,16505494,0.0,0.0
2023-07-10 00:00:00+00:00,7.699999696342275e-05,7.699999696342275e-05,7.200000254670158e-05,7.300000288523734e-05,9436794,0.0,0.0
