TIMESTAMP,GHIBLIAI_OPEN_PRICE_USD,GHIBLIAI_HIGH_PRICE_USD,GHIBLIAI_LOW_PRICE_USD,GHIBLIAI_CLOSE_PRICE_USD,GHIBLIAI_VOLUME_USD,GHIBLIAI_DIVIDENDS_USD,GHIBLIAI_STOCK_SPLITS_USD
2025-04-01 00:00:00+00:00,,,,0.0,10945,0.0,0.0
2025-04-02 00:00:00+00:00,,,,0.0,5050,0.0,0.0
2025-04-03 00:00:00+00:00,,,,0.0,3073,0.0,0.0
2025-04-07 00:00:00+00:00,,,,0.0,413,0.0,0.0
2025-04-08 00:00:00+00:00,,,,0.0,706,0.0,0.0
2025-04-17 00:00:00+00:00,,,,0.0,234,0.0,0.0
2025-04-24 00:00:00+00:00,,,,0.0,892,0.0,0.0
2025-04-25 00:00:00+00:00,,,,0.0,49,0.0,0.0
2025-05-23 00:00:00+00:00,,,,0.0,30,0.0,0.0
2025-06-01 00:00:00+00:00,9.755899836897883e-14,9.755899836897883e-14,9.203578789926739e-14,9.203578789926739e-14,19,0.0,0.0
