TIMESTAMP,WHY30867_OPEN_PRICE_USD,WHY30867_HIGH_PRICE_USD,WHY30867_LOW_PRICE_USD,WHY30867_CLOSE_PRICE_USD,WHY30867_VOLUME_USD,WHY30867_DIVIDENDS_USD,WHY30867_STOCK_SPLITS_USD
2024-04-24 00:00:00+00:00,,,,0.0,828140,0.0,0.0
2024-04-25 00:00:00+00:00,,,,0.0,500563,0.0,0.0
2024-04-26 00:00:00+00:00,,,,0.0,382298,0.0,0.0
2024-04-27 00:00:00+00:00,,,,0.0,311874,0.0,0.0
2024-04-28 00:00:00+00:00,,,,0.0,310867,0.0,0.0
2024-04-29 00:00:00+00:00,,,,0.0,591394,0.0,0.0
2024-04-30 00:00:00+00:00,,,,0.0,105012,0.0,0.0
2024-05-01 00:00:00+00:00,,,,0.0,21500,0.0,0.0
2024-05-02 00:00:00+00:00,,,,0.0,133206,0.0,0.0
2024-05-03 00:00:00+00:00,,,,0.0,79946,0.0,0.0
2024-05-04 00:00:00+00:00,,,,0.0,41761,0.0,0.0
2024-05-05 00:00:00+00:00,,,,0.0,12400,0.0,0.0
2024-05-06 00:00:00+00:00,,,,0.0,54892,0.0,0.0
2024-05-07 00:00:00+00:00,,,,0.0,28420,0.0,0.0
2024-05-08 00:00:00+00:00,,,,0.0,57273,0.0,0.0
2024-05-09 00:00:00+00:00,,,,0.0,7841,0.0,0.0
2024-05-10 00:00:00+00:00,,,,0.0,70600,0.0,0.0
2024-05-11 00:00:00+00:00,,,,0.0,7671,0.0,0.0
2024-05-12 00:00:00+00:00,,,,0.0,34817,0.0,0.0
2024-05-13 00:00:00+00:00,,,,0.0,27922,0.0,0.0
2024-05-14 00:00:00+00:00,,,,0.0,46735,0.0,0.0
2024-05-15 00:00:00+00:00,,,,0.0,13435,0.0,0.0
2024-05-16 00:00:00+00:00,,,,0.0,8438,0.0,0.0
2024-05-17 00:00:00+00:00,,,,0.0,7301,0.0,0.0
2024-05-18 00:00:00+00:00,,,,0.0,36263,0.0,0.0
2024-05-19 00:00:00+00:00,,,,0.0,1471,0.0,0.0
2024-05-20 00:00:00+00:00,,,,0.0,10454,0.0,0.0
