TIMESTAMP,AFRO_OPEN_PRICE_USD,AFRO_HIGH_PRICE_USD,AFRO_LOW_PRICE_USD,AFRO_CLOSE_PRICE_USD,AFRO_VOLUME_USD,AFRO_DIVIDENDS_USD,AFRO_STOCK_SPLITS_USD
2021-11-02 00:00:00+00:00,,,,0.0,2727638,0.0,0.0
2021-11-03 00:00:00+00:00,,,,0.0,3129391,0.0,0.0
2021-11-04 00:00:00+00:00,,,,0.0,2164744,0.0,0.0
2021-11-05 00:00:00+00:00,,,,0.0,1852245,0.0,0.0
2021-11-06 00:00:00+00:00,,,,0.0,1016090,0.0,0.0
2021-11-07 00:00:00+00:00,,,,0.0,993476,0.0,0.0
2021-11-08 00:00:00+00:00,,,,0.0,1387819,0.0,0.0
2021-11-09 00:00:00+00:00,,,,0.0,1249484,0.0,0.0
2021-11-10 00:00:00+00:00,,,,0.0,803012,0.0,0.0
2021-11-11 00:00:00+00:00,,,,0.0,503969,0.0,0.0
2021-11-12 00:00:00+00:00,,,,0.0,402225,0.0,0.0
2021-11-13 00:00:00+00:00,,,,0.0,507479,0.0,0.0
2021-11-14 00:00:00+00:00,,,,0.0,455817,0.0,0.0
2021-11-15 00:00:00+00:00,,,,0.0,761917,0.0,0.0
2021-11-16 00:00:00+00:00,,,,0.0,869015,0.0,0.0
2021-11-17 00:00:00+00:00,,,,0.0,665596,0.0,0.0
2021-11-18 00:00:00+00:00,,,,0.0,614720,0.0,0.0
2021-11-19 00:00:00+00:00,,,,0.0,617278,0.0,0.0
2021-11-20 00:00:00+00:00,,,,0.0,479833,0.0,0.0
2021-11-21 00:00:00+00:00,,,,0.0,247618,0.0,0.0
2021-11-22 00:00:00+00:00,,,,0.0,185536,0.0,0.0
2021-11-23 00:00:00+00:00,,,,0.0,196234,0.0,0.0
2021-11-24 00:00:00+00:00,,,,0.0,101141,0.0,0.0
2021-11-25 00:00:00+00:00,,,,0.0,105423,0.0,0.0
2021-11-26 00:00:00+00:00,,,,0.0,203883,0.0,0.0
2021-11-27 00:00:00+00:00,,,,0.0,166747,0.0,0.0
2021-11-28 00:00:00+00:00,,,,0.0,124888,0.0,0.0
2021-11-29 00:00:00+00:00,,,,0.0,134529,0.0,0.0
2021-11-30 00:00:00+00:00,,,,0.0,119813,0.0,0.0
2021-12-01 00:00:00+00:00,,,,0.0,283282,0.0,0.0
2021-12-02 00:00:00+00:00,,,,0.0,377834,0.0,0.0
2021-12-03 00:00:00+00:00,,,,0.0,187707,0.0,0.0
2021-12-04 00:00:00+00:00,,,,0.0,77951,0.0,0.0
2021-12-05 00:00:00+00:00,,,,0.0,109724,0.0,0.0
2021-12-06 00:00:00+00:00,,,,0.0,122127,0.0,0.0
2021-12-07 00:00:00+00:00,,,,0.0,93663,0.0,0.0
2021-12-08 00:00:00+00:00,,,,0.0,85723,0.0,0.0
2021-12-09 00:00:00+00:00,,,,0.0,54911,0.0,0.0
2021-12-10 00:00:00+00:00,,,,0.0,53860,0.0,0.0
2021-12-11 00:00:00+00:00,,,,0.0,65163,0.0,0.0
2021-12-12 00:00:00+00:00,,,,0.0,43496,0.0,0.0
2021-12-13 00:00:00+00:00,,,,0.0,178427,0.0,0.0
2021-12-14 00:00:00+00:00,,,,0.0,203180,0.0,0.0
2021-12-15 00:00:00+00:00,,,,0.0,77511,0.0,0.0
2021-12-16 00:00:00+00:00,,,,0.0,84537,0.0,0.0
2021-12-17 00:00:00+00:00,,,,0.0,62447,0.0,0.0
2021-12-18 00:00:00+00:00,,,,0.0,29896,0.0,0.0
2021-12-19 00:00:00+00:00,,,,0.0,36061,0.0,0.0
2021-12-20 00:00:00+00:00,,,,0.0,38022,0.0,0.0
2021-12-21 00:00:00+00:00,,,,0.0,34218,0.0,0.0
2021-12-22 00:00:00+00:00,,,,0.0,47982,0.0,0.0
2021-12-23 00:00:00+00:00,,,,0.0,58303,0.0,0.0
2021-12-24 00:00:00+00:00,,,,0.0,40244,0.0,0.0
2021-12-25 00:00:00+00:00,,,,0.0,21915,0.0,0.0
2021-12-26 00:00:00+00:00,,,,0.0,17713,0.0,0.0
2021-12-27 00:00:00+00:00,,,,0.0,29724,0.0,0.0
2021-12-28 00:00:00+00:00,,,,0.0,22955,0.0,0.0
2021-12-29 00:00:00+00:00,,,,0.0,11681,0.0,0.0
2021-12-30 00:00:00+00:00,,,,0.0,17381,0.0,0.0
2021-12-31 00:00:00+00:00,,,,0.0,16621,0.0,0.0
2022-01-01 00:00:00+00:00,,,,0.0,15379,0.0,0.0
2022-01-02 00:00:00+00:00,,,,0.0,16865,0.0,0.0
2022-01-03 00:00:00+00:00,,,,0.0,33636,0.0,0.0
2022-01-04 00:00:00+00:00,,,,0.0,35083,0.0,0.0
