TIMESTAMP,BABYGORK_OPEN_PRICE_USD,BABYGORK_HIGH_PRICE_USD,BABYGORK_LOW_PRICE_USD,BABYGORK_CLOSE_PRICE_USD,BABYGORK_VOLUME_USD,BABYGORK_DIVIDENDS_USD,BABYGORK_STOCK_SPLITS_USD
2025-05-12 00:00:00+00:00,0.00016700000560376793,0.00019299999985378236,8.900000102585182e-05,9.000000136438757e-05,493304,0.0,0.0
2025-05-13 00:00:00+00:00,9.000000136438757e-05,9.000000136438757e-05,4.8999998398358e-05,5.500000042957254e-05,89122,0.0,0.0
2025-05-14 00:00:00+00:00,5.500000042957254e-05,5.8000001445179805e-05,3.099999958067201e-05,3.099999958067201e-05,15689,0.0,0.0
2025-05-15 00:00:00+00:00,3.099999958067201e-05,3.7999998312443495e-05,3.099999958067201e-05,3.400000059627928e-05,6052,0.0,0.0
2025-05-16 00:00:00+00:00,3.400000059627928e-05,3.400000059627928e-05,2.4000000848900527e-05,2.4000000848900527e-05,4432,0.0,0.0
2025-05-17 00:00:00+00:00,2.4000000848900527e-05,2.499999936844688e-05,2.300000051036477e-05,2.4000000848900527e-05,2648,0.0,0.0
2025-05-18 00:00:00+00:00,2.4000000848900527e-05,2.499999936844688e-05,2.300000051036477e-05,2.300000051036477e-05,0,0.0,0.0
2025-05-19 00:00:00+00:00,2.300000051036477e-05,2.300000051036477e-05,2.2000000171829015e-05,2.300000051036477e-05,265,0.0,0.0
2025-05-20 00:00:00+00:00,2.300000051036477e-05,2.300000051036477e-05,2.2000000171829015e-05,2.2000000171829015e-05,397,0.0,0.0
2025-05-21 00:00:00+00:00,2.2000000171829015e-05,2.300000051036477e-05,2.2000000171829015e-05,2.300000051036477e-05,540,0.0,0.0
2025-05-22 00:00:00+00:00,2.300000051036477e-05,2.300000051036477e-05,2.300000051036477e-05,2.300000051036477e-05,0,0.0,0.0
2025-05-23 00:00:00+00:00,2.300000051036477e-05,2.4000000848900527e-05,2.300000051036477e-05,2.300000051036477e-05,0,0.0,0.0
2025-05-24 00:00:00+00:00,2.300000051036477e-05,2.300000051036477e-05,1.9999999494757503e-05,1.9999999494757503e-05,0,0.0,0.0
2025-05-25 00:00:00+00:00,1.9999999494757503e-05,2.099999983329326e-05,1.9999999494757503e-05,2.099999983329326e-05,645,0.0,0.0
2025-05-26 00:00:00+00:00,2.099999983329326e-05,2.099999983329326e-05,1.9999999494757503e-05,1.9999999494757503e-05,564,0.0,0.0
2025-05-27 00:00:00+00:00,1.9999999494757503e-05,1.9999999494757503e-05,1.9999999494757503e-05,1.9999999494757503e-05,0,0.0,0.0
2025-05-28 00:00:00+00:00,1.9999999494757503e-05,1.9999999494757503e-05,1.9999999494757503e-05,1.9999999494757503e-05,340,0.0,0.0
2025-05-29 00:00:00+00:00,1.9999999494757503e-05,1.9999999494757503e-05,1.8999999156221747e-05,1.8999999156221747e-05,0,0.0,0.0
2025-05-30 00:00:00+00:00,1.8999999156221747e-05,1.8999999156221747e-05,1.8999999156221747e-05,1.8999999156221747e-05,0,0.0,0.0
2025-05-31 00:00:00+00:00,1.8999999156221747e-05,1.8999999156221747e-05,1.8000000636675395e-05,1.8999999156221747e-05,337,0.0,0.0
2025-06-01 00:00:00+00:00,1.8540122255217284e-05,1.8540122255217284e-05,1.8099437511409633e-05,1.824912578740623e-05,93,0.0,0.0
