TIMESTAMP,DOGEGF_OPEN_PRICE_USD,DOGEGF_HIGH_PRICE_USD,DOGEGF_LOW_PRICE_USD,DOGEGF_CLOSE_PRICE_USD,DOGEGF_VOLUME_USD,DOGEGF_DIVIDENDS_USD,DOGEGF_STOCK_SPLITS_USD
2021-09-30 00:00:00+00:00,,,,0.0,7535238,0.0,0.0
2021-10-01 00:00:00+00:00,,,,0.0,13434938,0.0,0.0
2021-10-02 00:00:00+00:00,,,,0.0,8346447,0.0,0.0
2021-10-03 00:00:00+00:00,,,,0.0,12608208,0.0,0.0
2021-10-04 00:00:00+00:00,,,,0.0,1078171,0.0,0.0
2021-10-05 00:00:00+00:00,,,,0.0,706970,0.0,0.0
2021-10-06 00:00:00+00:00,,,,0.0,356065,0.0,0.0
2021-10-07 00:00:00+00:00,,,,0.0,999133,0.0,0.0
2021-10-08 00:00:00+00:00,,,,0.0,1359295,0.0,0.0
2021-10-09 00:00:00+00:00,,,,0.0,871838,0.0,0.0
2021-10-10 00:00:00+00:00,,,,0.0,820842,0.0,0.0
2021-10-11 00:00:00+00:00,,,,0.0,508857,0.0,0.0
2021-10-12 00:00:00+00:00,,,,0.0,2071247,0.0,0.0
2021-10-13 00:00:00+00:00,,,,0.0,3970072,0.0,0.0
2021-10-14 00:00:00+00:00,,,,0.0,1025423,0.0,0.0
2021-10-15 00:00:00+00:00,,,,0.0,1130809,0.0,0.0
2021-10-16 00:00:00+00:00,,,,0.0,1665146,0.0,0.0
2021-10-17 00:00:00+00:00,,,,0.0,1050832,0.0,0.0
2021-10-18 00:00:00+00:00,,,,0.0,476800,0.0,0.0
2021-10-19 00:00:00+00:00,,,,0.0,970440,0.0,0.0
2021-10-20 00:00:00+00:00,,,,0.0,689515,0.0,0.0
2021-10-21 00:00:00+00:00,,,,0.0,879044,0.0,0.0
2021-10-22 00:00:00+00:00,,,,0.0,1070520,0.0,0.0
2021-10-23 00:00:00+00:00,,,,0.0,641120,0.0,0.0
2021-10-24 00:00:00+00:00,,,,0.0,2798804,0.0,0.0
2021-10-25 00:00:00+00:00,,,,0.0,3362248,0.0,0.0
2021-10-26 00:00:00+00:00,,,,0.0,4133268,0.0,0.0
2021-10-27 00:00:00+00:00,,,,0.0,4609974,0.0,0.0
2021-10-28 00:00:00+00:00,,,,0.0,16324556,0.0,0.0
2021-10-29 00:00:00+00:00,,,,0.0,3518023,0.0,0.0
2021-10-30 00:00:00+00:00,,,,0.0,1559728,0.0,0.0
2021-10-31 00:00:00+00:00,,,,0.0,1099402,0.0,0.0
2021-11-01 00:00:00+00:00,,,,0.0,2818380,0.0,0.0
2021-11-02 00:00:00+00:00,,,,0.0,4065182,0.0,0.0
2021-11-03 00:00:00+00:00,,,,0.0,1543212,0.0,0.0
2021-11-04 00:00:00+00:00,,,,0.0,1571226,0.0,0.0
2021-11-05 00:00:00+00:00,,,,0.0,1265099,0.0,0.0
